"year","quarter","impact","recession","total","federal","state_local","consumption","projection"
"1999","Q4",-0.413207219273894,0,-0.0226498602046007,0.230723699250738,0.139537678379002,-0.392911237834341,0
"2000","Q1",-0.724593000618099,0,-1.90075805684946,-1.29467365163399,0.0219218858397271,-0.628006291055203,0
"2000","Q2",-0.602159598576033,0,-0.324643633688904,0.472344556802442,-0.512366645381553,-0.284621545109793,0
"2000","Q3",-0.841160756043165,0,-1.11659147342969,-0.790486539213985,-0.224439199692326,-0.101665734523384,0
"2000","Q4",-0.892400833359771,0,-0.227610169471025,0.0593933256564977,-0.30050537676536,0.0135018816378373,0
"2001","Q1",-0.235641059626148,1,0.726281038085032,0.368635423147844,0.0836683450087233,0.273977269928465,0
"2001","Q2",0.11871912273016,1,1.09279709573633,0.225053045860291,0.4237868451007,0.443957204775339,0
"2001","Q3",0.626042507225265,1,0.912702064550724,-0.176037056803774,-0.493328163156535,1.58206728451103,0
"2001","Q4",1.14264035616904,1,1.83878122630408,0.115000175369018,0.541664591981538,1.18211645895352,0
"2002","Q1",1.51099133931718,0,2.19968497067757,1.0431954925532,-0.287529509328124,1.4440189874525,0
"2002","Q2",1.6939120949693,0,1.82448011834484,0.304197497712777,-0.245229038919661,1.76551165955173,0
"2002","Q3",1.79798629832244,0,1.32899887796327,-0.0796783828910135,-0.029512666155719,1.43818992701,0
"2002","Q4",1.65418003691061,0,1.26355618065674,0.333727553968053,-0.245515887732716,1.17534451442141,0
"2003","Q1",1.30373998514296,0,0.797924763606976,0.0535110059171051,-0.474781683266369,1.21919544095624,0
"2003","Q2",1.19507304320336,0,1.38981235058645,1.61276955084516,-1.3820758272221,1.15911862696339,0
"2003","Q3",0.992157729132998,0,0.517337621681819,-0.707139883820234,0.374654052301163,0.84982345320089,0
"2003","Q4",0.843687763608818,0,0.669676318560025,0.534226096669432,-0.57195005802806,0.707400279918652,0
"2004","Q1",0.670368099016431,0,0.104646105237426,-0.404369289710055,0.233818698979709,0.275196695967772,0
