date,debt_actual,debt_proj,RecessionDummy
1/1/1977,27.1,,0
1/1/1978,26.6,,0
1/1/1979,24.9,,0
1/1/1980,25.5,,1
1/1/1981,25.2,,1
1/1/1982,27.9,,1
1/1/1983,32.1,,0
1/1/1984,33.1,,0
1/1/1985,35.3,,0
1/1/1986,38.4,,0
1/1/1987,39.5,,0
1/1/1988,39.8,,0
1/1/1989,39.3,,0
1/1/1990,40.8,,1
1/1/1991,44,,1
1/1/1992,46.6,,0
1/1/1993,47.8,,0
1/1/1994,47.7,,0
1/1/1995,47.5,,0
1/1/1996,46.8,,0
1/1/1997,44.5,,0
1/1/1998,41.6,,0
1/1/1999,38.2,,0
1/1/2000,33.6,,0
1/1/2001,31.4,,1
1/1/2002,32.6,,0
1/1/2003,34.5,,0
1/1/2004,35.5,,0
1/1/2005,35.6,,0
1/1/2006,35.3,,0
1/1/2007,35.2,,0
1/1/2008,39.3,,1
1/1/2009,52.3,,1
1/1/2010,60.9,,0
1/1/2011,65.9,,0
1/1/2012,70.4,,0
1/1/2013,72.6,,0
1/1/2014,74.4,,0
1/1/2015,73.6,73.6,0
1/1/2016,,75.6,0
1/1/2017,,75.7,0
1/1/2018,,75.7,0
1/1/2019,,76.7,0
1/1/2020,,77.8,0
1/1/2021,,78.8,0
1/1/2022,,80.3,0
1/1/2023,,81.7,0
1/1/2024,,82.8,0
1/1/2025,,84.3,0
1/1/2026,,86.1,0
