date,rev,revproj,outl,outlproj,RecessionDummy
01/01/1975,17.33,,20.63,,1
01/01/1976,16.65,,20.77,,0
01/01/1977,17.53,,20.18,,0
01/01/1978,17.54,,20.14,,0
01/01/1979,18.03,,19.61,,0
01/01/1980,18.49,,21.13,,1
01/01/1981,19.1,,21.61,,1
01/01/1982,18.64,,22.5,,1
01/01/1983,16.96,,22.83,,0
01/01/1984,16.86,,21.55,,0
01/01/1985,17.19,,22.16,,0
01/01/1986,16.96,,21.83,,0
01/01/1987,17.87,,21,,0
01/01/1988,17.64,,20.65,,0
01/01/1989,17.79,,20.53,,0
01/01/1990,17.45,,21.19,,1
01/01/1991,17.27,,21.67,,1
01/01/1992,16.96,,21.47,,0
01/01/1993,16.99,,20.74,,0
01/01/1994,17.49,,20.31,,0
01/01/1995,17.83,,19.99,,0
01/01/1996,18.21,,19.56,,0
01/01/1997,18.62,,18.87,,0
01/01/1998,19.23,,18.45,,0
01/01/1999,19.22,,17.89,,0
01/01/2000,19.96,,17.63,,0
01/01/2001,18.85,,17.63,,1
01/01/2002,17.04,,18.49,,0
01/01/2003,15.73,,19.06,,0
01/01/2004,15.55,,18.97,,0
01/01/2005,16.71,,19.18,,0
01/01/2006,17.59,,19.4,,0
01/01/2007,17.93,,19.05,,0
01/01/2008,17.11,,20.22,,1
01/01/2009,14.6,,24.4,,1
01/01/2010,14.61,,23.36,,0
01/01/2011,14.98,,23.43,,0
01/01/2012,15.29,,22.07,,0
01/01/2013,16.74,,20.83,,0
01/01/2014,17.51,,20.31,,0
01/01/2015,,18.2,,20.6,0
01/01/2016,,18.9,,21.1,0
01/01/2017,,18.6,,20.8,0
01/01/2018,,18.3,,20.6,0
01/01/2019,,18.1,,20.9,0
01/01/2020,,18.1,,21.2,0
01/01/2021,,18,,21.3,0
01/01/2022,,18.1,,21.7,0
01/01/2023,,18.1,,21.7,0
01/01/2024,,18.2,,21.6,0
