date,deficit_actual,deficit_proj
1975,-3.31,
1976,-4.12,
1977,-2.65,
1978,-2.60,
1979,-1.59,
1980,-2.64,
1981,-2.52,
1982,-3.86,
1983,-5.87,
1984,-4.69,
1985,-4.97,
1986,-4.88,
1987,-3.13,
1988,-3.01,
1989,-2.74,
1990,-3.74,
1991,-4.41,
1992,-4.51,
1993,-3.75,
1994,-2.82,
1995,-2.16,
1996,-1.35,
1997,-0.26,
1998,0.77,
1999,1.32,
2000,2.33,
2001,1.21,
2002,-1.45,
2003,-3.33,
2004,-3.41,
2005,-2.47,
2006,-1.81,
2007,-1.12,
2008,-3.11,
2009,-9.80,
2010,-8.75,
2011,-8.45,
2012,-6.75,
2013,-4.09,-4.10
2014,,-2.90
2015,,-2.60
2016,,-2.90
2017,,-2.70
2018,,-2.70
2019,,-3.00
2020,,-3.30
2021,,-3.50
2022,,-3.80
2023,,-3.70
2024,,-3.60
