date,stateandlocaltaxes
04/01/2004,0.085
07/01/2004,0.077
10/01/2004,0.087
01/01/2005,0.092
04/01/2005,0.106
07/01/2005,0.113
10/01/2005,0.107
01/01/2006,0.104
04/01/2006,0.09
07/01/2006,0.081
10/01/2006,0.078
01/01/2007,0.074
04/01/2007,0.067
07/01/2007,0.061
10/01/2007,0.056
01/01/2008,0.043
04/01/2008,0.033
07/01/2008,0.034
10/01/2008,0.032
01/01/2009,0.025
04/01/2009,-0.01
07/01/2009,-0.031
10/01/2009,-0.039
01/01/2010,-0.038
04/01/2010,-0.006
07/01/2010,0.013
10/01/2010,0.012
01/01/2011,0.027
04/01/2011,0.043
07/01/2011,0.042
10/01/2011,0.052
01/01/2012,0.045
04/01/2012,0.033
07/01/2012,0.038
10/01/2012,0.037
01/01/2013,0.045
04/01/2013,0.053
07/01/2013,0.055
10/01/2013,0.052
01/01/2014,0.043
04/01/2014,0.027
