date,deficit_actual,deficit_proj
31-Dec-75,-53,
31-Dec-76,-74,
31-Dec-77,-54,
31-Dec-78,-59,
31-Dec-79,-41,
31-Dec-80,-74,
31-Dec-81,-79,
31-Dec-82,-128,
31-Dec-83,-208,
31-Dec-84,-185,
31-Dec-85,-212,
31-Dec-86,-221,
31-Dec-87,-150,
31-Dec-88,-155,
31-Dec-89,-153,
31-Dec-90,-221,
31-Dec-91,-269,
31-Dec-92,-290,
31-Dec-93,-255,
31-Dec-94,-203,
31-Dec-95,-164,
31-Dec-96,-107,
31-Dec-97,-22,
31-Dec-98,69,
31-Dec-99,126,
31-Dec-00,236,
31-Dec-01,128,
31-Dec-02,-158,
31-Dec-03,-378,
31-Dec-04,-413,
31-Dec-05,-318,
31-Dec-06,-248,
31-Dec-07,-161,
31-Dec-08,-459,
31-Dec-09,-1413,
31-Dec-10,-1294,
31-Dec-11,-1300,
31-Dec-12,-1087,
31-Dec-13,-680,
31-Dec-14,-506,-506
31-Dec-15,,-469
31-Dec-16,,-556
31-Dec-17,,-530
31-Dec-18,,-560
31-Dec-19,,-661
31-Dec-20,,-737
31-Dec-21,,-820
31-Dec-22,,-946
31-Dec-23,,-957
31-Dec-24,,-960
