date,debt_actual,debt_projection
01-01-1975,24.5,
01-02-1976,26.7,
01-01-1977,27.1,
01-01-1978,26.6,
01-01-1979,24.9,
01-02-1980,25.5,
01-01-1981,25.2,
01-01-1982,27.9,
01-01-1983,32.1,
01-02-1984,33.1,
01-01-1985,35.3,
01-01-1986,38.4,
01-01-1987,39.5,
01-02-1988,39.8,
01-01-1989,39.3,
01-01-1990,40.8,
01-01-1991,44,
01-02-1992,46.6,
01-01-1993,47.8,
01-01-1994,47.7,
01-01-1995,47.5,
01-02-1996,46.8,
01-01-1997,44.5,
01-01-1998,41.6,
01-01-1999,38.2,
01-02-2000,33.6,
01-01-2001,31.4,
01-01-2002,32.5,
01-01-2003,34.5,
01-02-2004,35.5,
01-01-2005,35.6,
01-01-2006,35.3,
01-01-2007,35.1,
01-02-2008,39.3,
01-01-2009,52.3,
01-01-2010,61,
01-01-2011,65.8,
01-02-2012,70.1,
01-01-2013,72,
01-01-2014,74.4,74.4
01-01-2015,,74
01-02-2016,,73.6
01-01-2017,,73
01-01-2018,,72.8
01-01-2019,,73.1
01-02-2020,,73.6
01-01-2021,,74.3
01-01-2022,,75.4
01-01-2023,,76.4
01-02-2024,,77.2
