NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Total National Health Expenditures," 27,214 "," 29,138 "," 31,842 "," 34,595 "," 38,394 "," 41,852 "," 46,081 "," 51,565 "," 58,402 "," 65,923 "," 74,563 "," 82,728 "," 92,657 "," 102,809 "," 116,545 "," 133,283 "," 152,742 "," 173,850 "," 195,332 "," 221,528 "," 255,331 "," 296,155 "," 334,044 "," 367,809 "," 404,995 "," 442,900 "," 474,686 "," 516,520 "," 579,278 "," 644,770 "," 721,393 "," 788,062 "," 854,068 "," 916,581 "," 967,219 "," 1,021,635 "," 1,074,408 "," 1,135,229 "," 1,201,460 "," 1,277,725 "," 1,369,171 "," 1,486,207 "," 1,628,684 "," 1,767,637 "," 1,895,788 "," 2,023,814 "," 2,156,203 "," 2,294,407 "," 2,397,055 "," 2,491,765 "," 2,593,160 "," 2,682,596 "," 2,791,076 "," 2,875,035 "," 3,025,363 "," 3,199,561 "," 3,347,424 "," 3,487,284 "," 3,649,386 "
     Out of pocket," 12,949 "," 13,357 "," 14,255 "," 15,311 "," 16,928 "," 18,209 "," 18,594 "," 18,537 "," 20,500 "," 22,601 "," 24,953 "," 26,312 "," 28,646 "," 31,625 "," 34,373 "," 37,262 "," 40,647 "," 44,853 "," 48,016 "," 52,312 "," 58,146 "," 65,355 "," 72,450 "," 78,619 "," 86,500 "," 95,640 "," 103,610 "," 109,652 "," 120,217 "," 126,651 "," 137,882 "," 140,815 "," 143,178 "," 144,098 "," 142,035 "," 144,816 "," 150,353 "," 161,371 "," 176,811 "," 187,575 "," 198,886 "," 206,200 "," 219,274 "," 235,636 "," 248,495 "," 263,816 "," 273,611 "," 290,381 "," 295,573 "," 294,167 "," 300,223 "," 310,434 "," 319,236 "," 326,864 "," 331,766 "," 341,706 "," 357,217 "," 365,209 "," 375,610 "
     Health Insurance," 7,497 "," 8,236 "," 8,999 "," 9,892 "," 10,971 "," 12,023 "," 15,673 "," 21,109 "," 24,379 "," 27,565 "," 31,763 "," 36,727 "," 42,617 "," 48,027 "," 55,956 "," 66,330 "," 79,068 "," 93,115 "," 106,582 "," 122,739 "," 142,333 "," 167,730 "," 190,651 "," 212,741 "," 237,405 "," 259,273 "," 274,699 "," 300,035 "," 338,282 "," 387,271 "," 439,113 "," 492,308 "," 543,122 "," 593,278 "," 636,746 "," 681,479 "," 722,123 "," 758,323 "," 792,113 "," 845,619 "," 919,001 "," 1,014,436 "," 1,121,575 "," 1,221,811 "," 1,320,082 "," 1,414,036 "," 1,517,037 "," 1,607,910 "," 1,693,476 "," 1,792,324 "," 1,871,239 "," 1,942,105 "," 2,015,814 "," 2,079,180 "," 2,223,027 "," 2,373,400 "," 2,487,483 "," 2,592,332 "," 2,728,950 "
          Private Health Insurance," 5,812 "," 6,468 "," 7,178 "," 7,952 "," 9,052 "," 10,072 "," 10,296 "," 10,452 "," 11,830 "," 13,363 "," 15,499 "," 17,840 "," 20,690 "," 22,994 "," 26,080 "," 30,578 "," 37,425 "," 45,692 "," 52,523 "," 60,955 "," 69,225 "," 81,804 "," 94,227 "," 105,128 "," 119,053 "," 131,311 "," 136,077 "," 149,177 "," 175,829 "," 204,775 "," 233,885 "," 255,092 "," 274,725 "," 295,294 "," 308,217 "," 325,339 "," 343,686 "," 359,556 "," 384,746 "," 417,089 "," 457,985 "," 501,945 "," 560,971 "," 615,143 "," 658,200 "," 701,058 "," 736,676 "," 774,731 "," 800,156 "," 828,493 "," 858,481 "," 890,466 "," 922,048 "," 939,125 "," 994,119 "," 1,060,932 "," 1,119,914 "," 1,175,010 "," 1,243,050 "
          Medicare, -   , -   , -   , -   , -   , -   ," 1,842 "," 4,924 "," 6,218 "," 7,045 "," 7,672 "," 8,443 "," 9,325 "," 10,730 "," 13,428 "," 16,336 "," 19,694 "," 22,891 "," 26,668 "," 30,922 "," 37,387 "," 44,769 "," 52,351 "," 59,559 "," 66,207 "," 71,829 "," 76,829 "," 83,081 "," 88,965 "," 101,137 "," 110,182 "," 120,617 "," 135,996 "," 149,965 "," 167,670 "," 184,393 "," 198,750 "," 210,376 "," 209,420 "," 213,173 "," 224,829 "," 247,686 "," 265,381 "," 282,668 "," 311,122 "," 339,762 "," 403,690 "," 432,751 "," 466,971 "," 498,859 "," 519,783 "," 544,781 "," 568,477 "," 588,928 "," 618,549 "," 648,783 "," 676,772 "," 705,123 "," 750,182 "
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   ," 1,304 "," 3,141 "," 3,541 "," 4,174 "," 5,290 "," 6,695 "," 8,314 "," 9,423 "," 11,073 "," 13,446 "," 15,188 "," 17,464 "," 19,465 "," 22,332 "," 26,032 "," 30,307 "," 32,011 "," 35,266 "," 38,233 "," 40,937 "," 45,383 "," 50,339 "," 55,080 "," 61,952 "," 73,661 "," 93,211 "," 108,186 "," 122,373 "," 134,414 "," 144,862 "," 152,170 "," 160,849 "," 169,013 "," 183,471 "," 200,383 "," 224,132 "," 248,100 "," 268,963 "," 290,743 "," 309,351 "," 306,680 "," 325,850 "," 344,423 "," 374,734 "," 397,410 "," 406,727 "," 422,904 "," 445,204 "," 497,767 "," 542,628 "," 565,380 "," 580,111 "," 597,387 "
                          Federal  , -   , -   , -   , -   , -   , -   , 632 ," 1,525 "," 1,835 "," 2,298 "," 2,842 "," 3,810 "," 4,547 "," 4,933 "," 6,277 "," 7,409 "," 9,153 "," 9,896 "," 10,919 "," 12,705 "," 14,521 "," 16,902 "," 17,843 "," 19,587 "," 21,096 "," 22,594 "," 25,187 "," 27,868 "," 30,995 "," 35,077 "," 42,607 "," 56,847 "," 68,602 "," 76,961 "," 81,052 "," 85,945 "," 91,099 "," 94,954 "," 98,649 "," 107,154 "," 116,848 "," 132,213 "," 145,256 "," 160,794 "," 172,317 "," 177,513 "," 173,945 "," 185,557 "," 203,223 "," 247,548 "," 266,487 "," 247,259 "," 243,401 "," 256,852 "," 305,688 "," 342,575 "," 358,131 "," 359,305 "," 370,892 "
                          State and Local, -   , -   , -   , -   , -   , -   , 672 ," 1,616 "," 1,707 "," 1,877 "," 2,447 "," 2,886 "," 3,766 "," 4,490 "," 4,797 "," 6,037 "," 6,036 "," 7,568 "," 8,547 "," 9,627 "," 11,511 "," 13,405 "," 14,168 "," 15,679 "," 17,137 "," 18,343 "," 20,196 "," 22,471 "," 24,085 "," 26,876 "," 31,054 "," 36,364 "," 39,585 "," 45,412 "," 53,363 "," 58,917 "," 61,071 "," 65,896 "," 70,364 "," 76,317 "," 83,535 "," 91,919 "," 102,845 "," 108,169 "," 118,426 "," 131,838 "," 132,735 "," 140,294 "," 141,199 "," 127,186 "," 130,923 "," 159,468 "," 179,503 "," 188,352 "," 192,080 "," 200,053 "," 207,250 "," 220,805 "," 226,495 "
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 399 ," 1,723 "," 3,012 "," 4,167 "," 5,485 "," 6,296 "," 7,167 "," 7,566 "," 8,366 "," 9,117 "," 10,210 "," 11,106 "," 11,540 "," 11,988 "," 12,624 "," 13,497 "," 13,212 "," 14,747 "," 16,777 "," 18,084 "," 18,583 "
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 276 ," 1,199 "," 2,097 "," 2,913 "," 3,832 "," 4,410 "," 4,982 "," 5,254 "," 5,756 "," 6,316 "," 7,126 "," 7,812 "," 8,052 "," 8,375 "," 8,777 "," 9,354 "," 9,216 "," 10,983 "," 15,216 "," 16,423 "," 17,141 "
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 123 , 524 , 915 ," 1,253 "," 1,653 "," 1,887 "," 2,185 "," 2,313 "," 2,610 "," 2,801 "," 3,084 "," 3,293 "," 3,489 "," 3,612 "," 3,847 "," 4,143 "," 3,996 "," 3,764 "," 1,560 "," 1,661 "," 1,442 "
         Department of Defense, 788 , 836 , 860 , 925 , 861 , 831 ," 1,078 "," 1,324 "," 1,445 "," 1,499 "," 1,582 "," 1,766 "," 1,997 "," 2,235 "," 2,475 "," 2,590 "," 2,695 "," 2,922 "," 3,067 "," 3,457 "," 3,949 "," 4,588 "," 5,158 "," 5,393 "," 5,842 "," 6,864 "," 7,634 "," 8,202 "," 8,778 "," 9,272 "," 10,446 "," 11,536 "," 11,621 "," 12,025 "," 11,833 "," 12,045 "," 11,951 "," 12,053 "," 12,201 "," 12,654 "," 13,709 "," 15,424 "," 18,856 "," 22,224 "," 24,898 "," 26,496 "," 29,765 "," 32,262 "," 34,031 "," 36,670 "," 38,301 "," 39,973 "," 40,003 "," 39,586 "," 41,449 "," 41,622 "," 41,190 "," 41,870 "," 41,722 "
         Department of Veterans Affairs, 897 , 933 , 961 ," 1,015 "," 1,058 "," 1,119 "," 1,153 "," 1,268 "," 1,344 "," 1,484 "," 1,719 "," 1,983 "," 2,291 "," 2,646 "," 2,900 "," 3,381 "," 4,066 "," 4,146 "," 4,859 "," 5,073 "," 5,740 "," 6,261 "," 6,905 "," 7,396 "," 8,070 "," 8,332 "," 8,775 "," 9,236 "," 9,629 "," 10,134 "," 10,939 "," 11,852 "," 12,594 "," 13,621 "," 14,612 "," 14,840 "," 15,567 "," 15,488 "," 16,333 "," 17,509 "," 19,082 "," 21,083 "," 22,782 "," 26,517 "," 27,951 "," 29,802 "," 31,861 "," 33,198 "," 37,686 "," 42,463 "," 45,723 "," 48,170 "," 49,758 "," 52,840 "," 57,931 "," 64,688 "," 67,449 "," 72,134 "," 78,025 "
     Other Third Party Payers and Programs," 3,889 "," 4,329 "," 4,703 "," 5,206 "," 5,659 "," 6,334 "," 6,226 "," 5,996 "," 6,842 "," 7,758 "," 8,974 "," 9,624 "," 10,232 "," 11,317 "," 12,970 "," 14,547 "," 16,364 "," 18,163 "," 20,859 "," 24,141 "," 28,550 "," 32,801 "," 36,316 "," 38,842 "," 41,372 "," 46,711 "," 53,017 "," 59,028 "," 66,746 "," 70,559 "," 77,078 "," 82,429 "," 88,071 "," 93,570 "," 97,292 "," 100,872 "," 104,735 "," 110,270 "," 119,946 "," 123,037 "," 124,920 "," 131,403 "," 138,865 "," 152,243 "," 160,901 "," 168,987 "," 179,506 "," 191,754 "," 188,435 "," 192,142 "," 203,350 "," 206,450 "," 225,493 "," 235,877 "," 238,795 "," 244,592 "," 257,340 "," 270,091 "," 276,939 "
         Worksite Health Care, 62 , 66 , 71 , 78 , 87 , 97 , 110 , 128 , 147 , 171 , 196 , 217 , 246 , 281 , 327 , 373 , 448 , 530 , 617 , 719 , 826 , 953 ," 1,041 "," 1,156 "," 1,306 "," 1,393 "," 1,522 "," 1,685 "," 1,867 "," 2,035 "," 2,228 "," 2,343 "," 2,484 "," 2,610 "," 2,731 "," 2,863 "," 2,975 "," 3,112 "," 3,220 "," 3,323 "," 3,518 "," 3,655 "," 3,775 "," 3,925 "," 4,102 "," 4,282 "," 4,389 "," 4,544 "," 4,541 "," 4,571 "," 4,707 "," 4,900 "," 5,170 "," 5,367 "," 5,691 "," 6,175 "," 6,682 "," 6,928 "," 7,175 "
         Other Private Revenues, 295 , 330 , 365 , 421 , 486 , 570 , 662 , 776 , 984 ," 1,181 "," 1,458 "," 1,636 "," 1,899 "," 2,014 "," 2,321 "," 2,548 "," 3,650 "," 4,050 "," 5,047 "," 6,065 "," 8,464 "," 10,518 "," 12,513 "," 13,884 "," 15,393 "," 18,243 "," 20,543 "," 22,670 "," 26,577 "," 27,899 "," 29,171 "," 31,483 "," 33,870 "," 36,365 "," 38,139 "," 42,219 "," 45,832 "," 50,356 "," 57,647 "," 59,095 "," 57,246 "," 55,454 "," 56,522 "," 61,874 "," 66,229 "," 70,658 "," 79,488 "," 89,655 "," 85,547 "," 91,043 "," 99,087 "," 98,065 "," 113,629 "," 118,950 "," 119,324 "," 122,083 "," 133,619 "," 145,471 "," 149,185 "
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 197 , 255 , 307 , 375 , 412 , 447 , 513 , 502 , 556 , 650 , 721 , 716 , 763 , 809 , 797 , 995 ," 1,203 "," 1,436 "," 1,477 "," 1,495 "," 1,652 "," 1,623 "," 1,725 "," 1,698 "," 1,751 "," 1,900 "," 2,108 "," 2,117 "," 2,294 "," 2,418 "," 2,439 "," 2,535 "," 2,569 "," 2,721 "," 3,087 "," 3,469 "," 3,520 "," 3,657 "," 3,583 "," 3,725 "," 3,743 "," 3,877 "," 3,939 "," 4,079 "
         Workers' Compensation, 615 , 644 , 705 , 742 , 807 , 870 , 991 ," 1,100 "," 1,244 "," 1,372 "," 1,532 "," 1,570 "," 1,715 "," 2,051 "," 2,382 "," 2,669 "," 3,031 "," 3,506 "," 4,026 "," 4,945 "," 5,606 "," 6,189 "," 6,929 "," 7,285 "," 7,661 "," 8,937 "," 10,083 "," 11,957 "," 13,816 "," 15,519 "," 17,530 "," 18,958 "," 21,100 "," 22,607 "," 22,189 "," 21,914 "," 22,050 "," 22,141 "," 23,063 "," 24,183 "," 26,479 "," 30,490 "," 34,137 "," 38,595 "," 39,882 "," 41,534 "," 41,775 "," 41,334 "," 40,042 "," 36,175 "," 36,531 "," 39,748 "," 42,462 "," 45,295 "," 47,588 "," 48,333 "," 48,721 "," 48,038 "," 47,572 "
         General Assistance, 102 , 110 , 102 , 103 , 112 , 122 , 182 , 240 , 299 , 359 , 417 , 477 , 582 , 691 , 827 ," 1,000 "," 1,131 "," 1,281 "," 1,358 "," 1,548 "," 1,899 "," 2,226 "," 2,437 "," 2,649 "," 2,875 "," 3,189 "," 3,422 "," 3,552 "," 3,742 "," 4,138 "," 5,032 "," 5,187 "," 5,531 "," 5,037 "," 5,451 "," 5,437 "," 5,414 "," 5,167 "," 4,928 "," 3,874 "," 3,940 "," 4,819 "," 5,138 "," 5,591 "," 5,969 "," 6,303 "," 6,758 "," 6,980 "," 7,184 "," 7,240 "," 7,063 "," 6,655 "," 6,380 "," 6,665 "," 6,857 "," 6,743 "," 6,173 "," 5,872 "," 6,115 "
