fy,gftfp,gfrpt,gfrpri,gfrcp,gfrs,yptmr,yptmd,yptu
2017,2060.00,1582.00,133.00,407.00,1269.00,702.28,374.68,31.20
2018,2154.00,1610.00,149.00,184.00,1329.00,704.00,389.00,30.00
2019,2276.00,1653.00,177.00,166.00,1395.00,775.00,409.00,28.00
2020,2388.00,1753.00,186.00,207.00,1454.00,835.00,425.00,28.00
2021,2517.00,1863.00,181.00,229.00,1516.00,896.00,444.00,30.00
2022,2661.00,1951.00,189.00,261.00,1577.00,965.00,466.00,34.00
2023,2828.00,2047.00,195.00,296.00,1642.00,1039.00,494.00,43.00
2024,2997.00,2128.00,197.00,309.00,1714.00,1117.00,523.00,47.00
2025,3176.00,2214.00,200.00,316.00,1790.00,1201.00,555.00,48.00
2026,3356.00,2425.00,204.00,339.00,1857.00,1287.00,587.00,50.00
2027,3532.00,2648.00,206.00,377.00,1936.00,1379.00,620.00,52.00
2028,3733.00,2746.00,205.00,386.00,2018.00,1475.00,655.00,54.00
2029,3941.00,2910.00,208.00,428.00,2099.00,1585.00,692.00,56.00
2030,3941.00,2910.00,208.00,428.00,2099.00,1722.00,732.00,57.00
