date,fim_bars,fim_bars_ma,state_local_cont,federal_cont,taxes_transfers_cont,recession,state_health_outlays,state_social_benefits,state_noncorp_taxes,state_corporate_taxes,federal_health_outlays,federal_social_benefits,federal_noncorp_taxes,federal_corporate_taxes,health_outlays,social_benefits,noncorp_taxes,corporate_taxes,federal_nom,federal_cgrants,federal_igrants,pi_federal,state_local_nom,pi_state_local,pi_state_local_c,pi_state_local_i,gdp,gdppot,gdppoth,pi_gdp,pce,pi_pce,federal_cgrants_cont,federal_igrants_cont,federal_cont_0,state_local_cont_0,purchases_cont,health_outlays_net,social_benefits_net,noncorp_taxes_net,corporate_taxes_net,state_health_outlays_net,state_social_benefits_net,state_noncorp_taxes_net,state_corporate_taxes_net,federal_health_outlays_net,federal_social_benefits_net,federal_noncorp_taxes_net,federal_corporate_taxes_net,health_outlays_net_xmpc,state_health_outlays_net_xmpc,federal_health_outlays_net_xmpc,social_benefits_net_xmpc,state_social_benefits_net_xmpc,federal_social_benefits_net_xmpc,noncorp_taxes_net_xmpc,state_noncorp_taxes_net_xmpc,federal_noncorp_taxes_net_xmpc,corporate_taxes_net_xmpc,state_corporate_taxes_net_xmpc,federal_corporate_taxes_net_xmpc,transfers_net_taxes,state_transfers_net_taxes,federal_transfers_net_taxes,state_taxes_transfers_cont,federal_taxes_transfers_cont,health_cont,social_benefits_cont,noncorp_cont,corporate_cont
3/31/2017,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.09,0.11,0.34,0.03,0.01,0.01,0.12,0.00,0.08,0.10,0.22,0.02,0.12,0.02,0.10,0.15,0.01,0.13,-0.33,-0.12,-0.21,-0.01,0.00,-0.01,-0.07,-0.09,0.02,0.00,0.00,0.00,0.00,-0.01,0.00
6/30/2017,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.11,0.14,0.42,0.03,0.02,0.01,0.15,0.00,0.10,0.13,0.27,0.02,0.11,0.02,0.10,0.14,0.01,0.13,-0.33,-0.12,-0.21,-0.01,0.00,-0.01,-0.09,-0.09,0.00,0.00,0.00,0.00,0.00,-0.01,0.00
9/30/2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.04,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.02,0.00,0.08,0.01,0.07,0.10,0.01,0.09,-0.27,-0.10,-0.18,-0.01,0.00,-0.01,-0.10,-0.08,-0.02,0.00,0.00,0.00,0.00,-0.01,0.00
12/31/2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,-0.05,-0.17,-0.01,-0.01,0.00,-0.06,0.00,-0.04,-0.05,-0.11,-0.01,0.04,0.01,0.03,0.05,0.00,0.04,-0.18,-0.06,-0.12,-0.01,0.00,-0.01,-0.11,-0.06,-0.05,0.00,0.00,0.00,0.00,0.00,0.00
3/31/2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.02,0.00,0.01,0.02,0.00,0.02,-0.12,-0.04,-0.08,-0.01,0.00,-0.01,-0.10,-0.04,-0.06,0.00,0.00,0.00,0.00,0.00,0.00
6/30/2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.03,-0.04,-0.11,0.00,0.00,0.00,-0.04,0.00,-0.03,-0.03,-0.07,0.00,-0.02,0.00,-0.01,-0.02,0.00,-0.02,-0.09,-0.03,-0.06,-0.01,0.00,-0.01,-0.13,-0.04,-0.10,0.00,0.00,0.00,0.00,0.00,0.00
9/30/2018,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.08,-0.10,-0.30,-0.01,-0.01,-0.01,-0.11,0.00,-0.07,-0.09,-0.19,-0.01,-0.04,-0.01,-0.03,-0.04,0.00,-0.04,-0.02,-0.01,-0.01,-0.01,0.00,-0.01,-0.11,-0.02,-0.09,0.00,0.00,0.00,0.00,0.00,0.00
12/31/2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.06,-0.07,-0.21,-0.01,-0.01,-0.01,-0.08,0.00,-0.05,-0.06,-0.14,-0.01,-0.04,-0.01,-0.03,-0.05,0.00,-0.04,0.03,0.01,0.02,-0.01,0.00,-0.01,-0.06,0.00,-0.06,0.00,0.00,0.00,0.00,0.00,0.00
3/31/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,-0.01,-0.03,0.00,0.00,0.00,-0.01,0.00,-0.01,-0.01,-0.02,0.00,-0.04,-0.01,-0.03,-0.05,0.00,-0.04,0.04,0.01,0.02,-0.01,0.00,0.00,-0.06,0.00,-0.06,0.00,0.00,0.00,0.00,0.00,0.00
6/30/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.24,0.01,0.01,0.01,0.09,0.00,0.06,0.07,0.16,0.01,-0.02,0.00,-0.02,-0.02,0.00,-0.02,0.02,0.01,0.01,0.00,0.00,0.00,-0.02,0.00,-0.03,0.00,0.00,0.00,0.00,0.00,0.00
