fy,gftfp,gfrpt,gfrpri,gfrcp,gfrs,yptmr,yptmd,yptu
2017,2060,1582,133,407,1269,702.28,374.68,31.2
2018,2154,1610,149,184,1329,704,389,30
2019,2276,1653,177,166,1395,775,409,28
2020,2388,1753,186,207,1454,835,425,28
2021,2517,1863,181,229,1516,896,444,30
2022,2661,1951,189,261,1577,965,466,34
2023,2828,2047,195,296,1642,1039,494,43
2024,2997,2128,197,309,1714,1117,523,47
2025,3176,2214,200,316,1790,1201,555,48
2026,3356,2425,204,339,1857,1287,587,50
2027,3532,2648,206,377,1936,1379,620,52
2028,3733,2746,205,386,2018,1475,655,54
2029,3941,2910,208,428,2099,1585,692,56
2030,3941,2910,208,428,2099,1722,732,57
