date,gdp,gdph,gdppothq,gdppotq,dc,jgdp,c,ch,gh,gfh,gsh,g,gf,gs,cpiu
3/31/2017,19163,17863,18060,19366,105.5,107.2,13114,12428,3130,1190,1938,3346,1252,2094,243.949
6/30/2017,19359,17995,18134,19503,105.7,107.6,13233,12516,3130,1197,1931,3360,1264,2096,244.01
9/30/2017,19588,18121,18210,19691,106.2,108.1,13359,12585,3122,1193,1927,3372,1264,2109,245.296
12/31/2017,19832,18224,18288,19899,106.9,108.8,13579,12706,3140,1205,1934,3419,1281,2139,247.301
3/31/2018,20041,18324,18372,20090,107.5,109.3,13680,12723,3152,1213,1938,3457,1295,2162,249.442
6/30/2018,20412,18512,18463,20341,108.1,110.2,13876,12842,3172,1224,1947,3507,1313,2194,250.468
9/30/2018,20660,18672,18557,20532,108.5,110.6,14052,12957,3192,1235,1957,3551,1330,2221,251.708
12/31/2018,20900,18789,18654,20750,109,111.2,14221,13049,3220,1257,1963,3600,1359,2241,253.192
3/31/2019,21141,18907,18754,20969,109.5,111.8,14404,13154,3240,1268,1972,3640,1377,2263,254.537
6/30/2019,21366,19021,18855,21180,110,112.3,14568,13248,3247,1269,1978,3669,1384,2285,255.598
9/30/2019,21600,19134,18957,21401,110.5,112.9,14747,13342,3252,1268,1983,3695,1389,2306,257.093
12/31/2019,21806,19219,19060,21625,111.1,113.5,14927,13431,3227,1238,1987,3690,1362,2328,258.784
3/31/2020,22016,19308,19159,21847,111.7,114,15097,13510,3214,1220,1992,3697,1348,2349,260.492
6/30/2020,22225,19394,19258,22070,112.4,114.6,15259,13580,3210,1210,1997,3712,1343,2369,262.205
9/30/2020,22431,19474,19356,22294,113,115.2,15407,13638,3213,1209,2001,3738,1348,2390,263.924
12/31/2020,22632,19549,19453,22521,113.6,115.8,15551,13692,3217,1208,2005,3765,1354,2411,265.598
3/31/2021,22836,19625,19551,22750,114.2,116.4,15694,13745,3221,1209,2009,3793,1361,2433,267.28
6/30/2021,23041,19702,19649,22979,114.8,116.9,15838,13798,3226,1209,2014,3822,1368,2454,268.979
9/30/2021,23247,19778,19747,23210,115.4,117.5,15986,13854,3230,1208,2018,3850,1374,2476,270.673
12/31/2021,23456,19856,19845,23443,116,118.1,16136,13911,3233,1208,2022,3878,1380,2498,272.352
3/31/2022,23669,19935,19943,23679,116.6,118.7,16298,13977,3233,1203,2026,3902,1381,2521,274.065
6/30/2022,23884,20015,20042,23916,117.2,119.3,16462,14043,3234,1200,2030,3927,1384,2543,275.769
9/30/2022,24104,20096,20141,24156,117.8,119.9,16630,14113,3238,1199,2034,3956,1390,2567,277.459
12/31/2022,24327,20178,20239,24400,118.5,120.6,16800,14183,3241,1198,2038,3986,1396,2590,279.157
3/31/2023,24554,20261,20337,24646,119.1,121.2,16974,14255,3246,1198,2042,4017,1404,2614,280.855
6/30/2023,24785,20347,20435,24893,119.7,121.8,17144,14324,3250,1199,2046,4049,1411,2638,282.547
9/30/2023,25023,20436,20533,25142,120.3,122.4,17315,14393,3254,1199,2050,4081,1419,2662,284.237
12/31/2023,25265,20527,20630,25392,120.9,123.1,17489,14463,3258,1200,2053,4113,1427,2687,285.927
3/31/2024,25516,20624,20728,25644,121.5,123.7,17674,14543,3262,1200,2057,4145,1434,2712,287.613
6/30/2024,25767,20721,20825,25897,122.1,124.4,17859,14621,3265,1199,2060,4176,1440,2736,289.297
9/30/2024,26020,20817,20921,26151,122.8,125,18041,14696,3270,1200,2064,4210,1449,2761,290.981
12/31/2024,26274,20912,21018,26406,123.4,125.6,18225,14773,3274,1201,2067,4243,1457,2786,292.667
3/31/2025,26529,21008,21113,26662,124,126.3,18416,14853,3277,1201,2070,4276,1465,2812,294.359
6/30/2025,26785,21103,21209,26920,124.6,126.9,18604,14931,3281,1201,2074,4310,1473,2837,296.061
9/30/2025,27036,21192,21304,27178,125.2,127.6,18789,15006,3285,1202,2077,4343,1481,2863,297.774
12/31/2025,27286,21280,21399,27438,125.8,128.2,18970,15076,3288,1202,2080,4377,1489,2888,299.498
3/31/2026,27538,21368,21494,27700,126.5,128.9,19163,15154,3292,1203,2082,4411,1497,2914,301.235
6/30/2026,27792,21456,21588,27963,127.1,129.5,19346,15224,3295,1204,2085,4445,1505,2940,302.982
9/30/2026,28053,21548,21682,28228,127.7,130.2,19531,15294,3299,1205,2088,4480,1514,2966,304.738
12/31/2026,28320,21644,21777,28494,128.3,130.8,19721,15367,3303,1206,2091,4514,1523,2991,306.504
3/31/2027,28595,21744,21872,28764,129,131.5,19923,15448,3307,1207,2094,4549,1532,3017,308.282
6/30/2027,28876,21847,21968,29037,129.6,132.2,20124,15528,3311,1208,2096,4584,1541,3043,310.068
9/30/2027,29159,21949,22064,29312,130.2,132.8,20326,15606,3315,1209,2099,4620,1551,3069,311.866
12/31/2027,29441,22050,22161,29589,130.9,133.5,20526,15683,3319,1211,2101,4655,1560,3095,313.678
3/31/2028,29720,22147,22258,29870,131.5,134.2,20728,15759,3323,1213,2104,4691,1570,3121,315.499
6/30/2028,30001,22244,22356,30152,132.2,134.9,20929,15834,3327,1214,2106,4727,1580,3147,317.333
9/30/2028,30285,22341,22453,30437,132.8,135.6,21133,15909,3331,1216,2108,4763,1591,3173,319.181
12/31/2028,30571,22439,22551,30724,133.5,136.2,21337,15984,3335,1218,2110,4799,1601,3199,321.045
3/31/2029,30859,22536,22649,31014,134.2,136.9,21543,16059,3338,1220,2112,4836,1611,3224,322.921
6/30/2029,31150,22634,22748,31307,134.8,137.6,21749,16133,3342,1222,2114,4872,1622,3250,324.812
9/30/2029,31445,22733,22847,31603,135.5,138.3,21961,16209,3346,1224,2116,4908,1632,3276,326.717
12/31/2029,31743,22832,22946,31902,136.2,139,22173,16285,3349,1226,2117,4945,1643,3302,328.637
