calendar_date,gdp,gdppot,gdph,gdppoth,jc,jgdp,hpx,yp,c,ch,g
2017,19485.4,19641.6,18050.7,18197.7,106.073,107.931,244.617,16831,13321.4,12558.7,3374.5
2018,20494.1,20451.4,18566.5,18535.8,108.231,110.33,260.82,17569.6,13948.5,12887.6,3520.8
2019,21360.1,21217.5,19043.4,18915.5,109.939,112.166,272.112,18257.7,14519.7,13206.5,3670.8
2020,22231,22081.2,19446.2,19315.2,112.252,114.316,279.783,19074.7,15156.2,13501.5,3816.2
2021,23082.7,22988.7,19800.2,19719.4,114.594,116.575,287.261,19917.8,15758.3,13751,3929
2022,23945.5,23927,20139.7,20124,116.965,118.893,295.382,20779.1,16403.7,14023.9,4047.2
2023,24836,24893.2,20477.8,20524.8,119.356,121.279,304.946,21650.5,17078.1,14308.1,4175.9
2024,25769,25888,20822.4,20918.5,121.778,123.752,315.879,22559.9,17768.6,14590.5,4310.8
2025,26765.3,26905.2,21192.8,21303.6,124.242,126.29,327.056,23540.9,18504.5,14893.4,4449.9
2026,27775.4,27945,21551.2,21682.8,126.743,128.877,338.51,24548.8,19230,15171.9,4592.5
2027,28860.1,29016.6,21944.1,22063.1,129.29,131.512,350.332,25596,20021.3,15485,4737.7
2028,29981.4,30132,22341.7,22453.9,131.888,134.191,362.51,26724.2,20842.4,15802.5,4888.7
2029,31141.3,31297.7,22745.6,22859.9,134.536,136.907,375.055,27857.7,21696.1,16126,5045
