date,gdp,gdph,gdppothq,gdppotq,dc,jgdp,c,ch,gh,gfh,gsh,g,gf,gs,cpiu
3/31/2017,19162.6,17863,18081.1,19388.9,105.528,107.233,13114.1,12427.6,3129.6,1190,1937.7,3346.4,1252.4,2093.9,243.83
6/30/2017,19359.1,17995.2,18157.6,19529,105.735,107.553,13233.2,12515.9,3130,1197.1,1931.3,3360,1264,2096,244.065
9/30/2017,19588.1,18120.8,18235.8,19719.1,106.156,108.134,13359.1,12584.9,3121.8,1193.2,1926.9,3372.3,1263.8,2108.5,245.368
12/31/2017,19831.8,18223.8,18316.3,19929.4,106.873,108.807,13579.2,12706.4,3140.2,1205.2,1933.5,3419.1,1280.6,2138.5,247.273
3/31/2018,20041,18324,18401,20121.2,107.524,109.348,13679.6,12722.8,3152.2,1213.1,1937.7,3456.8,1294.8,2162,249.25
6/30/2018,20411.9,18511.6,18489.2,20369.9,108.052,110.172,13875.6,12842,3171.8,1224,1946.6,3506.6,1313,2193.5,250.578
9/30/2018,20658.2,18665,18580,20562.3,108.474,110.669,14050.5,12953.3,3192,1234.7,1956.3,3550.5,1329.5,2221,251.828
12/31/2018,20865.1,18765.3,18673,20752.1,108.875,111.134,14188.4,13032.3,3188.7,1238.1,1949.8,3569.4,1341.9,2227.5,252.759
3/31/2019,21060.1,18910.3,18768.1,20904.7,109.015,111.384,14238.6,13061.6,3211,1237.9,1971.9,3604.8,1355.6,2249.3,253.311
6/30/2019,21248.7,18990.2,18865.5,21109.3,109.684,111.893,14452.9,13176.8,3245.5,1259.1,1985.5,3651.7,1372.5,2279.1,255.139
9/30/2019,21452.9,19084.4,18964.3,21317.9,110.236,112.41,14613.2,13256.2,3264.7,1270.8,1993.1,3693.9,1390.8,2303,256.721
12/31/2019,21678.8,19188.5,19064.1,21538.2,110.821,112.977,14774.1,13331.4,3279.4,1281.4,1997.4,3732.9,1409,2323.9,258.239
3/31/2020,21913.8,19302.8,19164.1,21756.4,111.415,113.526,14937.3,13406.8,3292.9,1292.3,2000.4,3769.7,1427.5,2342.2,259.799
6/30/2020,22120.4,19403.5,19264.5,21961.9,111.914,114.001,15080.2,13474.7,3302.8,1299.2,2003.5,3802.3,1441.5,2360.9,260.985
9/30/2020,22338.6,19495.4,19365.4,22189.7,112.533,114.584,15229.9,13533.6,3310.4,1303.3,2007.1,3832.8,1452.6,2380.2,262.712
12/31/2020,22551,19583.1,19466.7,22416.9,113.143,115.155,15377.4,13591.1,3314.5,1303.8,2010.6,3860,1460.1,2399.9,264.399
3/31/2021,22764.6,19671.2,19567.6,22644.6,113.729,115.725,15529.5,13654.7,3318.4,1304.1,2014.2,3887.2,1467.4,2419.8,266.021
6/30/2021,22978.8,19758.8,19668.8,22874.2,114.311,116.296,15684.4,13720.8,3322.3,1304.5,2017.7,3914.8,1474.7,2440,267.635
9/30/2021,23187.1,19842.8,19770,23102.1,114.88,116.854,15833.2,13782.3,3326.2,1304.8,2021.2,3942.6,1482.1,2460.5,269.229
