date,gdp,c,ch,gdph,jc,jgdp,jgf,jgs,jgse,jgsi,ptgh,ptgsh,ptgfh,yptmr,yptmd,yptu,gtfp,ypog,yptx,ytpi,yctlg,g,grcsi,dc,gf,gs,gfh,gsh,gfrpt,gfrpri,gfrcp,gfrs,gftfp,gfeg,gsrpt,gsrpri,gsrcp,gsrs,gstfp,gset,gfeghhx,gfeghdx,gfeigx,gfsub,gssub,gsub,gftfbusx
3/31/70,1051.2,631.7,3065.1,4936.6,20.61,21.286,18.701,13.706,13.106,16.825,-0.48,0.41,-0.88,7,5,2.9,63,1.2,104.6,88.5,30.7,247.9,46.2,20.609,133.6,114.3,714,834.4,90.6,17.9,27,45.1,48.3,16.6,14,70.6,3.8,1.1,14.7,129.9,NA,NA,5576,4.7,0,4.7,2600
6/30/70,1067.4,641.6,3079,4943.6,20.838,21.593,18.948,13.996,13.367,17.248,-1.11,0.24,-1.35,7.2,5.3,3.9,73.1,1.3,105.5,90.5,30.8,249.1,46.5,20.837,131.8,117.4,695.2,838.9,91.4,18.1,27,45.4,57.5,17.9,14.1,72.4,3.7,1.1,15.6,134.1,NA,NA,5228,4.8,0,4.8,3544
9/30/70,1086.1,653.5,3106,4989.2,21.041,21.77,19.271,14.249,13.603,17.582,0.4,1.01,-0.61,7.3,5.6,4.6,73.5,1.3,100.7,92.5,31.7,254.6,46.9,21.04,132.4,122.2,686.7,858.1,86.3,18.2,27.9,45.9,56.9,19.2,14.3,74.3,3.8,1.1,16.6,140.1,NA,NA,4816,4.7,0,4.7,4164
12/31/70,1088.6,660.2,3097.5,4935.7,21.314,22.055,19.516,14.519,13.832,18.028,0.06,0.23,-0.18,7.5,5.9,5.4,77.4,1.3,101.5,94.1,30.2,258.7,46.7,21.313,133.5,125.2,684.1,862.4,87.2,18.2,26.6,45.6,59.8,19.8,14.4,76,3.6,1.1,17.5,144.3,NA,NA,4900,4.8,0,4.8,4936
3/31/71,1135.2,679.2,3157,5069.7,21.516,22.389,20.134,14.849,14.173,18.332,-1.31,0.22,-1.52,7.8,6.2,5.7,79.3,1.4,98.3,97.7,34,261.9,50.8,21.514,133.3,128.6,662.1,866,83.6,19.4,29.9,49.6,61,20.5,14.7,78.3,4.1,1.1,18.3,149.1,NA,NA,5464,4.7,0,4.8,5224
6/30/71,1156.3,693.2,3186,5097.2,21.761,22.689,20.51,15.117,14.438,18.625,-0.21,0.34,-0.55,8,6.6,6.3,86.9,1.4,100.7,98.9,34.9,266.1,51.4,21.759,134.3,131.9,654.4,872.4,85.1,18.7,30.7,50.2,67.9,22.1,15.6,80.2,4.2,1.2,19.1,153.6,NA,NA,6312,4.8,0,4.8,5700
9/30/71,1177.7,705.6,3211.4,5139.1,21.975,22.917,20.807,15.33,14.656,18.828,-0.05,0.16,-0.2,8.1,6.9,6.3,86.9,1.5,102.3,101.7,34.1,269.8,51.6,21.972,135.6,134.2,651.5,875.4,86.3,18.9,29.8,50.5,67.2,22.4,16,82.8,4.4,1.2,19.6,156.9,NA,NA,5756,4.5,0,4.5,5684
12/31/71,1190.3,721.7,3264.7,5151.2,22.111,23.107,21.23,15.498,14.789,19.153,-0.66,0.57,-1.24,8.3,7.3,6.3,88.5,1.5,105.5,103.7,34.6,272.1,52.2,22.108,134.7,137.4,634.4,886.4,88.2,19,30.1,51,68.2,23.7,17.3,84.7,4.5,1.2,20.3,161,NA,NA,5644,4.6,0,4.6,5720
3/31/72,1230.6,738.9,3307.8,5246,22.344,23.478,22.104,15.844,15.161,19.398,0.52,0.13,0.39,8.5,7.8,6.5,91.4,1.7,119.8,104.6,36.8,282.2,58.5,22.34,141.4,140.8,639.7,888.8,100.3,18.2,31.8,57.3,70.2,24.4,19.5,86.4,5,1.3,21.2,165.7,NA,NA,5668,6.1,0,6.1,5932
6/30/72,1266.4,757.4,3370.7,5365,22.473,23.621,22.327,16.031,15.36,19.534,0.41,-0.07,0.48,8.7,8,6.9,91.9,1.8,123.4,106.8,37.1,286.5,59.2,22.469,144.2,142.2,645.9,887.3,102.4,18.3,32,57.9,70.2,32.7,21,88.5,5,1.3,21.6,167.9,NA,NA,5216,6.2,0.1,6.2,6192
