"","date","usphpi","casusxam","gdppot","gdppoth"
"1970-12-31",1970-12-31,NA,NA,1088,5018.3
"1971-12-31",1971-12-31,NA,NA,1177.4,5169.3
"1972-12-31",1972-12-31,NA,NA,1265.7,5327.3
"1973-12-31",1973-12-31,NA,NA,1378.8,5500.7
"1974-12-31",1974-12-31,NA,NA,1556,5693.4
"1975-12-31",1975-12-31,NA,25.7325,1755.9,5883.4
"1976-12-31",1976-12-31,NA,27.6225,1911.6,6070.2
"1977-12-31",1977-12-31,NA,30.9058333333333,2097.7,6272
"1978-12-31",1978-12-31,NA,35.6083333333333,2323.9,6492.9
"1979-12-31",1979-12-31,NA,41.0883333333333,2606.3,6721.8
"1980-12-31",1980-12-31,NA,45.0841666666667,2912.3,6888.1
"1981-12-31",1981-12-31,NA,47.9533333333333,3257.6,7038.8
"1982-12-31",1982-12-31,NA,48.955,3562,7248.9
"1983-12-31",1983-12-31,NA,50.465,3824.2,7491.3
"1984-12-31",1984-12-31,NA,52.8408333333333,4106.3,7762.7
"1985-12-31",1985-12-31,NA,55.885,4396.6,8056.6
"1986-12-31",1986-12-31,NA,60.8225,4649,8350.9
"1987-12-31",1987-12-31,NA,66.2683333333333,4929,8640.6
"1988-12-31",1988-12-31,NA,71.1441666666667,5271.1,8925.4
"1989-12-31",1989-12-31,NA,75.5083333333333,5650.9,9207.1
"1990-12-31",1990-12-31,NA,76.935,6033.9,9475.8
"1991-12-31",1991-12-31,100.3075,75.9166666666666,6396.8,9717.9
"1992-12-31",1992-12-31,102.8225,76.3266666666667,6699.8,9951.7
"1993-12-31",1993-12-31,105.305,77.4133333333333,7030.1,10200.6
"1994-12-31",1994-12-31,108.82,79.4733333333333,7365.9,10464.4
"1995-12-31",1995-12-31,111.66,81.0058333333333,7719.1,10740.7
"1996-12-31",1996-12-31,114.94,82.8275,8083.2,11045.4
"1997-12-31",1997-12-31,118.2175,85.3408333333333,8509.9,11431.2
"1998-12-31",1998-12-31,123.935,90.12,8951.6,11890.6
"1999-12-31",1999-12-31,131.4875,96.3925,9465.7,12394.6
"2000-12-31",2000-12-31,140.3075,104.769166666667,10086.9,12918.9
"2001-12-31",2001-12-31,150.0075,113.18,10685.7,13391.7
"2002-12-31",2002-12-31,160.5775,122.28,11178.3,13791.2
"2003-12-31",2003-12-31,172.8875,133.734166666667,11692.5,14163.4
"2004-12-31",2004-12-31,189.2175,150.4425,12336.9,14551.9
"2005-12-31",2005-12-31,209.0325,171.74,13068.7,14949.3
"2006-12-31",2006-12-31,221.2775,183.45,13786.5,15306.8
"2007-12-31",2007-12-31,221.255,179.9225,14441.7,15615.1
"2008-12-31",2008-12-31,203.2025,164.063333333333,14992.4,15900
"2009-12-31",2009-12-31,191.0975,148.5475,15318.7,16124.4
"2010-12-31",2010-12-31,185.3925,144.6725,15681.1,16316
"2011-12-31",2011-12-31,177.56,139.2575,16223.2,16534.4
"2012-12-31",2012-12-31,182.57,140.995833333333,16784.1,16783.9
"2013-12-31",2013-12-31,195.37,154.525833333333,17356.1,17057
"2014-12-31",2014-12-31,205.12,164.710833333333,17978.2,17347.7
"2015-12-31",2015-12-31,215.915,172.21,18481.5,17649
"2016-12-31",2016-12-31,228.37,180.965,18985.3,17944.4
"2017-12-31",2017-12-31,242.775,191.460833333333,19656.8,18236
"2018-12-31",2018-12-31,258.37,202.559166666667,20489.9,18556.6
"2019-12-31",2019-12-31,271.93,209.6075,21233.1,18899.9
"2020-12-31",2020-12-31,257.691666666667,201.209166666667,21763.5,19229.6
"2021-12-31",2021-12-31,262.663888888889,204.458611111111,22257.4,19507.1
"2022-12-31",2022-12-31,264.095185185185,205.091759259259,23013.9,19838.6
"2023-12-31",2023-12-31,261.483580246914,203.586512345679,23874.9,20195.9
"2024-12-31",2024-12-31,262.747551440329,204.37896090535,24806.6,20568.3
"2025-12-31",2025-12-31,262.775438957476,204.352410836763,25781,20946.8
"2026-12-31",2026-12-31,262.33552354824,204.105961362597,26784.5,21324.2
"2027-12-31",2027-12-31,262.619504648682,204.279111034903,27817.3,21703.1
"2028-12-31",2028-12-31,262.576822384799,204.245827744754,28890.9,22092.9
"2029-12-31",2029-12-31,262.510616860573,204.210300047418,30008.6,22494.4
"2030-12-31",2030-12-31,262.568981298018,204.245079609025,31160.4,22897.1
