fy,gftfp,gfrpt,gfrpri,gfrcp,gfrs,yptmr,yptmd,yptu
2017,2060,1582,133,407,1269,702.28,374.68,31.2
2018,2154,1610,149,184,1329,704,389,30
2019,2286.697125,1652.892256,173.3855016,166.2805401,1395.082143,775.406,409.421,27.627
2020,3320.772132,1649.461652,194.583742,193.4229028,1354.694137,862.068,466.244,556.657
2021,2675.680056,1678.163991,205.879639,231.6049615,1429.656787,809.733,537.415,166.241
2022,2725.168896,1762.330095,226.0969743,393.4653016,1517.554926,973.272,516.018,66.784
2023,2789.7678,1851.157935,231.5158836,486.2526213,1605.466754,1013.1,494.831,57.196
2024,2862.246766,1918.151177,248.1084863,536.0468019,1663.301479,1036.248,517.135,53.128
2025,3076.784672,2021.874469,246.4066974,583.8356334,1713.916243,1157.795,545.389,49.076
2026,3236.137016,2258.757741,252.6874725,592.1528736,1781.799788,1239.729,574.79,46.4
2027,3385.882263,2486.276554,244.7645571,597.7201128,1850.357574,1327.965,605.329,43.795
2028,3654.938587,2590.411162,223.4522272,618.7266913,1920.58448,1490.789,637.022,42.014
2029,3651.835367,2702.010433,221.8160545,634.660224,1990.008662,1449.918,670.578,42.327
2030,3932.623807,2812.858689,221.8160545,649.8171671,2057.943371,1611.294,707.21,43.463
