date,gdp,gdph,gdppothq,gdppotq,dc,jgdp,c,ch,gh,gfh,gsh,g,gf,gs,cpiu
3/31/2017,19190.4,17925.3,18116.7,19395.4,105.355,107.04,13104.4,12438.9,3157.3,1186.4,1968.9,3368.7,1248.4,2120.3,243.83
6/30/2017,19356.6,18021,18191.7,19539.9,105.596,107.394,13212.5,12512.9,3168,1195.9,1970.1,3392.9,1263.6,2129.3,244.065
9/30/2017,19611.7,18163.6,18269.9,19726.5,106.033,108.032,13345.1,12586.3,3167.1,1196.1,1969,3415.4,1270.2,2145.2,245.368
12/31/2017,19918.9,18322.5,18351.2,19950.1,106.733,108.715,13586.3,12729.7,3186.1,1209.8,1974.5,3471,1295.1,2175.9,247.273
3/31/2018,20163.2,18438.3,18436.1,20160.8,107.401,109.341,13728.4,12782.9,3201.1,1218.1,1981.2,3521.4,1318.2,2203.2,249.25
6/30/2018,20510.2,18598.1,18524.9,20429.5,107.988,110.209,13939.8,12909.2,3221.4,1229.9,1989.9,3577.1,1340.4,2236.7,250.578
9/30/2018,20749.8,18732.7,18617,20621.7,108.413,110.765,14114.6,13019.8,3238,1238.7,1997.7,3622.6,1358.6,2263.9,251.828
12/31/2018,20897.8,18783.5,18711,20817.2,108.772,111.212,14211.9,13066.3,3234.9,1242.1,1991.4,3644.8,1371.8,2273,252.759
3/31/2019,21098.8,18927.3,18770.2,20923.6,108.9,111.5,14266.3,13103.3,3258.1,1248.8,2007.9,3683.1,1394.7,2288.4,253.3
6/30/2019,21340.3,19021.9,18856.7,21155,109.5,112.2,14511.2,13250,3296.6,1273.9,2021.4,3742.3,1415.2,2327.1,255.2
9/30/2019,21542.5,19121.1,18943.1,21342,109.9,112.7,14678.2,13353.1,3310.4,1284.4,2024.9,3772.8,1432.2,2340.5,256.3
12/31/2019,21729.1,19222,19029.6,21511.7,110.3,113,14795,13413.8,3331.1,1295.1,2035,3813.7,1449.8,2363.9,257.8
3/31/2020,21539.7,18977.4,19115.9,21696.9,110.7,113.4,14583.3,13179,3340.2,1301.5,2037.8,3852,1460.2,2391.8,258.6
6/30/2020,19245.8,17062.7,19203.8,21657.2,110.1,112.8,12971.6,11780.4,3287.4,1334.3,1954.6,3771.2,1495.1,2276.1,256.6
9/30/2020,20082.4,17744.9,19267.7,21803.7,110.6,113.2,13830.4,12510.1,3217.3,1338.6,1881.4,3704.4,1508.3,2196.1,258.3
12/31/2020,20488.5,18087.1,19330.8,21896.2,110.7,113.3,14098.4,12731.3,3259.8,1343.9,1918.2,3766.6,1519.8,2246.8,258.8
3/31/2021,20828.3,18352.1,19396.3,22013.2,111,113.5,14234.9,12826.7,3284.4,1344,1942.4,3808.3,1525.9,2282.4,259.4
6/30/2021,21159.5,18582.5,19466.4,22166.5,111.4,113.9,14340.7,12877.8,3304.9,1342.9,1963.6,3853.6,1532.9,2320.7,260.6
9/30/2021,21513.5,18822.7,19542.1,22336.7,111.8,114.3,14473.2,12947.3,3319.9,1343.8,1977.6,3891.5,1541.1,2350.3,261.9
12/31/2021,21750.6,18960,19623.7,22513.3,112.2,114.7,14631.2,13044,3326.5,1340.6,1987.3,3919.4,1544.6,2374.8,262.9
3/31/2022,21967.6,19069.9,19708.4,22704.4,112.6,115.2,14786.8,13131,3331.7,1335.9,1996.9,3949.1,1547.2,2401.8,264
6/30/2022,22182.4,19169.1,19794.5,22907.1,113.1,115.7,14954.6,13222,3334.5,1331.5,2003.9,3977.3,1550.1,2427.1,265.3
9/30/2022,22407,19272,19881.7,23116.6,113.6,116.3,15131.6,13318,3335.6,1328.2,2008.2,4004.4,1554.4,2449.9,266.7
12/31/2022,22634.9,19377.2,19970,23327.7,114.1,116.8,15313.4,13419.4,3335.6,1326.4,2009.8,4030.7,1560.7,2470,268.1
3/31/2023,22864,19482.6,20059.6,23541,114.6,117.4,15490.8,13515.7,3337.1,1327.2,2010.6,4059.2,1569.8,2489.4,269.5
6/30/2023,23083.6,19575,20149.6,23760.7,115.1,117.9,15639.4,13583.3,3340.3,1328,2012.9,4090,1578.9,2511,271
9/30/2023,23318.9,19677.7,20240.9,23985.2,115.7,118.5,15812.5,13670.7,3342.7,1328.7,2014.7,4120.5,1588.1,2532.4,272.5
12/31/2023,23567.6,19790.2,20333.5,24212.9,116.2,119.1,15993.1,13763.8,3345.4,1329.6,2016.4,4151.6,1597.6,2554,274
3/31/2024,23829,19908.3,20427.1,24447.6,116.8,119.7,16184.9,13862.7,3348.6,1330.5,2018.7,4184,1607.2,2576.8,275.5
6/30/2024,24085.8,20019.9,20520.9,24685.7,117.3,120.3,16366.1,13950.4,3352.6,1331.6,2021.7,4217.5,1616.8,2600.7,277.1
9/30/2024,24340.4,20128.7,20615.2,24925.4,117.9,120.9,16538.8,14030,3357.8,1332.7,2025.6,4252.8,1626.6,2626.2,278.6
12/31/2024,24599.7,20239.5,20710,25167.5,118.5,121.5,16713.4,14109.7,3362.9,1333.9,2029.5,4288.5,1636.5,2652,280.2
3/31/2025,24871.5,20360,20805,25410.6,119,122.2,16904.9,14203.2,3367.4,1334.8,2033.1,4323.8,1646.2,2677.6,281.8
6/30/2025,25146.5,20480.2,20899.5,25656.1,119.6,122.8,17099.4,14297.2,3372.4,1335.7,2037.1,4360,1656,2704,283.4
9/30/2025,25424.2,20600.7,20994.1,25903.9,120.2,123.4,17293.3,14389.2,3377.8,1336.5,2041.6,4397.1,1665.8,2731.3,284.9
12/31/2025,25704.3,20721.6,21088.7,26153.3,120.8,124,17492.5,14484.6,3383.9,1337.7,2046.4,4435.5,1676.1,2759.4,286.5
3/31/2026,25986.7,20842.6,21183.2,26404.5,121.4,124.7,17700.9,14586.3,3389.3,1338.6,2050.8,4473.4,1686.2,2787.2,288.1
6/30/2026,26270.9,20963.3,21277.3,26656.7,121.9,125.3,17898.8,14678.2,3395.8,1339.6,2056.2,4513,1696.4,2816.5,289.7
9/30/2026,26557.3,21084.2,21371.1,26910.6,122.5,126,18098.3,14770.3,3402.4,1340.7,2061.6,4553.1,1706.8,2846.3,291.3
12/31/2026,26846.4,21205.5,21465.2,27166.5,123.1,126.6,18301.6,14864.4,3409.1,1341.8,2067.1,4593.8,1717.3,2876.5,292.9
3/31/2027,27138.3,21327.6,21559.9,27424.5,123.7,127.2,18513.3,14964,3415.5,1342.9,2072.3,4634.3,1727.9,2906.4,294.5
6/30/2027,27432.8,21450.3,21654.9,27684.5,124.3,127.9,18729.7,15066.2,3422.1,1344.1,2077.6,4675.5,1738.7,2936.8,296.2
9/30/2027,27730.8,21574.1,21750.6,27947.3,124.9,128.5,18950.1,15170.4,3428.5,1345.3,2082.6,4716.7,1749.5,2967.1,297.8
12/31/2027,28029.3,21696.5,21847.3,28213,125.5,129.2,19174.7,15276.4,3434.7,1346.4,2087.6,4757.9,1760.2,2997.7,299.5
3/31/2028,28321.8,21812.9,21944.5,28481.1,126.1,129.8,19393.1,15376.4,3441.1,1347.4,2092.9,4799.7,1771,3028.7,301.1
6/30/2028,28606.4,21921.6,22042.9,28752.4,126.7,130.5,19601.8,15467.5,3447.2,1348.5,2097.8,4841.5,1781.9,3059.7,302.8
9/30/2028,28888.5,22027,22142.1,29026.6,127.3,131.2,19809.2,15556.3,3453.2,1349.5,2102.6,4883.4,1792.8,3090.6,304.4
12/31/2028,29170.6,22130.9,22242.1,29303.7,128,131.8,20016.3,15643.6,3458.9,1350.6,2107.2,4925.3,1803.7,3121.6,306.1
3/31/2029,29449.6,22231.1,22342.8,29583.5,128.6,132.5,20219.1,15726.4,3464.6,1351.6,2111.7,4967.4,1814.7,3152.6,307.8
6/30/2029,29731,22331.7,22444,29865.7,129.2,133.1,20430.5,15814.8,3470.3,1352.8,2116.1,5009.8,1826,3183.8,309.5
9/30/2029,30014.2,22432.2,22544.9,30149.6,129.8,133.8,20637.6,15898.7,3475.6,1354,2120.1,5051.9,1837.4,3214.6,311.3
12/31/2029,30299.3,22532.6,22645.8,30435.5,130.4,134.5,20845.6,15982.1,3480.7,1355.1,2124,5094.2,1848.8,3245.4,313
3/31/2030,30586.9,22632.9,22746.7,30723.8,131.1,135.1,21054.4,16064.9,3486,1356.5,2127.9,5137.1,1860.5,3276.6,314.7
6/30/2030,30876.1,22733,22847.3,31013.8,131.7,135.8,21272.5,16153.6,3490.8,1357.8,2131.3,5179.6,1872.3,3307.3,316.5
