"","date","health_outlays","social_benefits","noncorporate_taxes","noncorporate_taxesb","corporate_taxes","federal_real","federal_realb","federal_real_growth","federal_real_growthb","federal_nom","federal_nomb","federal_cont","state_local_real","state_local_real_growth","state_local_nom","state_local_cont","nom_federal_share","nom_federal_shareb","nom_state_local_share","nom_g_share","real_gdp","nom_gdp","growth_real_gdp","growth_potential_real_gdp","nom_consumption_share","pce_deflator","real_pce","growth_real_pce","federal_contb","health_outlays_xmpc","social_benefits_xmpc","noncorporate_taxes_xmpc","corporate_taxes_xmpc","outlays_net_taxes","real_outlays_net_taxes","consumption_no_taxes","growth_consumption_no_taxes","difference_in_consumption_growth","taxes_transfers_cont","neutral_fi","fim_bars","fim_bars_ma"
"41",1980-03-31,57,194.2,637.2,NA,83.1,678.5,678.5,NA,NA,261.1,261.1,0.99,1066.3,NA,307.7,0.19,0.0935909384185246,0.0935909384185246,0.110294644777403,0.203885583195928,6837.6,2789.8,1.26175825814923,2.54608977489152,0.61018711018711,39.793,4277.9,-0.568345812498594,NA,47.925,164.8575,-356.532,-30.36,-174.1095,-437.538009197597,4715.4380091976,-1.16647900013983,0.598133187641237,0.364973161273811,0.519110998622948,1.54497316127381,0.755526146654769
"42",1980-06-30,57.5,198.7,653,NA,62.6,691.9,691.9,NA,NA,276.5,276.5,0.77,1052.2,NA,312,-0.59,0.0988417816543934,0.0988417816543934,0.111532136984343,0.210373918638736,6696.8,2797.4,-7.98586413391942,2.11890503276555,0.609387288196182,40.768,4181.5,-8.71363976407082,NA,49.6125,171.495,-365.52,-30.21,-174.6225,-428.332270408163,4609.83227040816,-8.6618237465002,-0.0518160175706264,-0.0315760224324897,0.445762354966228,0.14842397756751,0.647293805918598
"43",1980-09-30,61.2,226.7,674.5,NA,69.9,684,684,NA,NA,276.1,276.1,-0.45,1035.9,NA,316.1,-0.7,0.0966567477682479,0.0966567477682479,0.110659898477157,0.207316646245405,6688.8,2856.5,-0.476984602095187,2.0130987480881,0.617468930509365,41.723,4227.4,4.46359506284872,NA,51.7725,181.3275,-375.816,-30.2166666666667,-172.932666666667,-414.478025709241,4641.87802570924,2.8097734651743,1.65382159767442,1.02118345316931,0.41734888101445,-0.128816546830687,0.525310447723902
"44",1980-12-31,64.4,226.3,703.5,NA,76.8,687.4,687.4,NA,NA,285.8,285.8,0.22,1030.8,NA,323.1,-0.21,0.0957261521972133,0.0957261521972133,0.108219453376206,0.203945605573419,6813.5,2985.6,7.66838513186006,2.00890170775603,0.613578510182208,42.756,4284.5,5.51330250073938,NA,54.0225,190.3275,-387.414,-30.44,-173.504,-405.80035550566,4690.30035550566,4.23839643246025,1.27490606827914,0.782254965996968,0.409706675325779,0.792254965996968,0.589208889501902
"45",1981-03-31,67.2,228.9,752.7,NA,75.4,700.9,700.9,NA,NA,297.2,297.2,0.76,1038.9,NA,336.1,0.35,0.0951283528583317,0.0951283528583317,0.107579540362333,0.202707893220664,6947,3124.2,8.07074727259576,2.12770880232029,0.603578516100122,43.866,4298.8,1.34174360736028,NA,56.3175,198.135,-402.654,-30.7866666666667,-178.988166666667,-408.033936685968,4706.83393668597,1.41749639036859,-0.0757527830083093,-0.0457227523586099,0.43130336870541,1.06427724764139,0.469034911093796
"46",1981-06-30,70.7,228.3,773,NA,65.9,718.9,718.9,NA,NA,311.9,311.9,0.98,1019,NA,336.8,-0.82,0.0986245059288537,0.0986245059288537,0.106498023715415,0.205122529644269,6895.6,3162.5,-2.92686657101155,2.4665894463145,0.606324110671937,44.602,4299.2,0.0372248844325629,NA,59.2875,204.795,-417.702,-30.3633333333333,-183.982833333333,-412.499065811698,4711.6990658117,0.414093848423791,-0.376868963991228,-0.228504739431836,0.505953066821887,-0.0685047394318355,0.41480273184396
"47",1981-09-30,72.7,244.3,793.9,NA,68.4,715.9,715.9,NA,NA,317.4,317.4,-0.14,1016.1,NA,340.3,-0.12,0.0973440471078943,0.0973440471078943,0.104367294363001,0.201711341470895,6978.1,3260.6,4.87223204010891,2.64323869924616,0.60053364411458,45.336,4319,1.85496874238262,NA,61.875,208.755,-431.088,-30.0066666666667,-190.464666666667,-420.117934239162,4739.11793423916,2.34812423540933,-0.493155493026709,-0.296156465342452,0.533171223852727,-0.556156465342452,0.307967752216019
"48",1981-12-31,74.3,244.9,793.7,NA,58.9,728.8,728.8,NA,NA,329.3,329.3,0.72,1024,NA,348.4,0.33,0.100371860521824,0.100371860521824,0.106193611314314,0.206565471836138,6902.1,3280.8,-4.28583091396043,2.83400369463858,0.601804437941965,46.03,4289.5,-2.7042494841751,NA,64.1025,212.94,-442.146,-29.1933333333333,-194.296833333333,-422.109131725686,4711.60913172569,-2.30171192146474,-0.402537562710359,-0.242248891677436,0.585407310368374,0.807751108322564,0.311841787797417
"49",1982-03-31,77,247.3,797.1,NA,47.6,729.3,729.3,NA,NA,334.9,334.9,0.07,1021.2,NA,353.2,-0.11,0.102281403658797,0.102281403658797,0.107870384509666,0.210151788168463,6794.9,3274.3,-6.06935820722673,3.23980372417783,0.615154384143176,46.612,4321.1,2.97945267703481,NA,66.3075,217.08,-451.932,-28.1033333333333,-196.647833333333,-421.882419405589,4742.98241940559,2.6902095721729,0.289243104861914,0.177929164038991,0.680850545950817,0.137929164038991,0.0802547668968175
"50",1982-06-30,80.3,252.9,807.2,NA,49,732.3,732.3,NA,NA,342.9,342.9,0.19,1024.8,NA,360.2,0.15,0.102911164465786,0.102911164465786,0.108103241296519,0.211014405762305,6825.9,3332,1.83742456106049,3.32812896498405,0.612124849939976,47.059,4334.3,1.22752149877603,NA,68.4675,222.615,-461.994,-27.06,-197.9715,-420.687859920525,4754.98785992053,1.01633096529301,0.211190533483019,0.129274973617036,0.702283155846423,0.469274973617036,0.214699695159036
"51",1982-09-30,82.6,267.1,803.4,NA,49.8,744.3,744.3,NA,NA,351.5,351.5,0.68,1024.8,NA,365.8,0,0.104417312776639,0.104417312776639,0.108665300181208,0.213082612957847,6799.8,3366.3,-1.52071870294407,3.40848404983838,0.619582330748893,47.8,4363.3,2.70330626608726,NA,70.695,227.745,-470.106,-26.09,-197.756,-413.715481171548,4777.01548117155,1.86592778596868,0.837378480118578,0.518824910430834,0.726288687564706,1.19882491043083,0.653445039102357
"52",1982-12-31,84.4,280.8,815.3,NA,45.1,761.9,761.9,NA,NA,364.1,364.1,0.98,1032.5,NA,373.3,0.32,0.107006406865338,0.107006406865338,0.109710221595251,0.216716628460589,6802.5,3402.6,0.158922824863694,3.43035039294477,0.630576617880444,48.326,4439.7,7.18998332545047,NA,72.9675,235.8225,-477.3,-25.0833333333333,-193.593333333333,-400.598711528646,4840.29871152865,5.40520620429812,1.78477712115235,1.12543872072664,0.743413971597447,2.42543872072664,1.05786694220338
"53",1983-03-31,88.4,279.6,821.8,NA,47.1,773.9,773.9,NA,NA,370.5,370.5,0.67,1036.3,NA,377.4,0.15,0.106667818276041,0.106667818276041,0.108654344446364,0.215322162722405,6892.1,3473.4,5.37366338055183,3.25055896202284,0.628951459664882,48.724,4483.6,4.01427405707804,NA,75.5325,243.09,-482.55,-23.8833333333333,-187.810833333333,-385.458569356648,4869.05856935665,2.39796775853867,1.61630629853937,1.01657820573188,0.699917385759453,1.83657820573188,1.4825292026266
"54",1983-06-30,90.3,283.4,845,NA,61.9,788.3,788.3,NA,NA,380.3,380.3,0.81,1034.2,NA,380.7,-0.08,0.106264669721694,0.106264669721694,0.106376439029842,0.212641108751537,7049,3578.8,9.42177655452232,3.2188285095694,0.62853470437018,49.169,4574.9,8.39742862897475,NA,77.7825,249.9525,-488.652,-23.86,-184.777,-375.799792552218,4950.69979255222,6.8775211442389,1.51990748473585,0.955314601588471,0.684455263155895,1.68531460158847,1.78653910961946
"55",1983-09-30,92.7,275.8,841.8,NA,70.7,808.7,808.7,NA,NA,394.4,394.4,1.12,1043.2,NA,387.8,0.38,0.10690664642741,0.10690664642741,0.105117640680906,0.212024287108316,7189.9,3689.2,8.23839856642952,3.24251212441293,0.628835519895912,49.815,4657,7.37385103182457,NA,80.055,251.91,-492.726,-23.8866666666667,-184.647666666667,-370.666800495166,5027.66680049517,6.3652057340045,1.00864529782008,0.634271990245255,0.687491321618724,2.13427199024526,2.02040087957306
"56",1983-12-31,95.3,276.5,864.9,NA,72.4,782.5,782.5,NA,NA,384.2,384.2,-1.34,1043.9,NA,390.9,0.04,0.101246475347195,0.101246475347195,0.103012095817851,0.204258571165046,7339.9,3794.7,8.60983949585139,3.29265949951019,0.625214114422748,50.146,4731.2,6.52714235279033,NA,82.5075,250.9425,-498.192,-23.74,-188.482,-375.866469907869,5107.06646990787,6.46824366863288,0.058898684157449,0.0368242886561646,0.672553924702966,-1.26317571134384,1.09824727155544
"57",1984-03-31,98.2,278.1,893.6,NA,84.9,789.2,789.2,NA,NA,392.4,392.4,0.38,1057.1,NA,401.6,0.54,0.100406847317111,0.100406847317111,0.102760932422405,0.203167779739515,7483.4,3908.1,8.05261111158721,3.41167556092905,0.618766152350247,50.69,4770.5,3.36425338547253,NA,84.7125,250.605,-507.09,-24.0566666666667,-195.829166666667,-386.327020451108,5156.82702045111,3.95472015466687,-0.590466769194342,-0.365360850865064,0.693142548905521,0.554639149134936,0.777762507406207
"58",1984-06-30,100.3,278.7,914.9,NA,83.7,813.1,813.1,NA,NA,408.3,408.3,1.26,1071.2,NA,410.8,0.56,0.101830606544294,0.101830606544294,0.102454110135674,0.204284716679968,7612.7,4009.6,7.09249179751621,3.54909058744131,0.617493016759777,51.183,4837.3,5.71983790396746,NA,86.9625,249.5475,-516.552,-24.65,-204.692,-399.921849051443,5237.22184905144,6.38334191231709,-0.663504008349625,-0.409709091748014,0.725024965126989,1.41029090825199,0.709006584072086
"59",1984-09-30,102.4,278,938.1,NA,71.3,812.3,812.3,NA,NA,414,414,-0.02,1089.5,NA,421.7,0.71,0.101363758783635,0.101363758783635,0.103249026761012,0.204612785544647,7686.1,4084.3,3.91285090919369,3.61897525769344,0.615405332615136,51.579,4873.2,3.0018091514584,NA,89.145,250.0425,-527.304,-24.7466666666667,-212.863166666667,-412.693473442034,5285.89347344203,3.76950428344121,-0.767695131982804,-0.472443678044898,0.740488608293809,0.217556321955102,0.229827666999548
"60",1984-12-31,104.5,283.4,959.2,NA,72.1,838.4,838.4,NA,NA,432.5,432.5,1.32,1100.5,NA,430.2,0.42,0.104252036831702,0.104252036831702,0.103697632936412,0.207949669768115,7749.2,4148.6,3.32451061323444,3.68677944369005,0.617509521284289,51.897,4936.3,5.28081563624954,NA,91.215,251.595,-538.596,-25.1866666666667,-220.972666666667,-425.790829270799,5362.0908292708,5.89197268566324,-0.611157049413702,-0.377395297012973,0.766664567823218,1.36260470298703,0.886272770582263
"61",1985-03-31,106.3,291.8,1009,NA,77.7,846,846,NA,NA,434.8,434.8,0.39,1114.4,NA,440.8,0.52,0.102784738310245,0.102784738310245,0.104203110964021,0.206987849274266,7824.2,4230.2,3.92793395211564,3.76820685865402,0.62313838589192,52.508,5020.2,6.97391602984154,NA,93.0375,254.6775,-554.082,-26.19,-232.557,-442.898225032376,5463.09822503238,7.7505191180933,-0.776603088251759,-0.483931194891882,0.779973033293334,0.426068805108118,0.854130184575559
"62",1985-06-30,108.3,292.2,974,NA,76,868.3,868.3,NA,NA,447.3,447.3,1.09,1134.6,NA,453.2,0.76,0.104146778737572,0.104146778737572,0.105520501059396,0.209667279796969,7893.1,4294.9,3.56920610534848,3.80045511351788,0.624415003841766,52.934,5066.3,3.7240662880029,NA,94.8375,257.715,-562.71,-27.09,-237.2475,-448.194921978313,5514.49492197831,3.81663026780801,-0.0925639798051048,-0.0577983378056137,0.796831085641772,1.79220166219439,0.949607873061159
"63",1985-09-30,110.4,295.2,1018,NA,81.7,894.2,894.2,NA,NA,463.1,463.1,1.26,1152.7,NA,464.3,0.68,0.105566700100301,0.105566700100301,0.105840248016778,0.211406948117079,8013.7,4386.8,6.25317117188509,3.80579471762104,0.627815263973739,53.349,5162.5,7.81436941311364,NA,96.6375,261.585,-573.822,-28.1533333333333,-243.752833333333,-456.902347435441,5619.40234743544,7.82948963614867,-0.0151202230350256,-0.0094927068160764,0.804571446412362,1.93050729318392,1.37784561586836
"64",1985-12-31,112.7,295.6,1033.9,NA,79.5,894.7,894.7,NA,NA,466.4,466.4,0.02,1161.5,NA,472.1,0.32,0.104948133480345,0.104948133480345,0.106230732881798,0.211178866362143,8073.2,4444.1,3.00315450975004,3.79029016376828,0.62541346954389,53.722,5173.6,0.862826216666424,NA,98.4825,264.33,-587.556,-29.3,-254.0435,-472.885410074085,5646.48541007409,1.94180687433509,-1.07898065766867,-0.674809036683311,0.800429179968168,-0.334809036683311,0.95349218095078
"65",1986-03-31,115.1,304.8,1042,NA,84.4,892.2,892.2,NA,NA,464,464,-0.12,1182.9,NA,482.8,0.78,0.102930411056146,0.102930411056146,0.107100867366179,0.210031278422325,8148.6,4507.9,3.78848013728603,3.69422356248645,0.626367044521839,54.105,5218.9,3.54866632821171,NA,100.4625,267.255,-597.9,-30.5433333333333,-260.725833333333,-481.888611650186,5700.78861165019,3.90271800660156,-0.354051678389844,-0.221766303401043,0.775902497606907,0.438233696598957,0.95653340382349
"66",1986-06-30,117.6,308,1050.8,NA,85.5,921.1,921.1,NA,NA,477.8,477.8,1.33,1194.4,NA,489.7,0.42,0.105119574065518,0.105119574065518,0.107737663080545,0.212857237146063,8185.3,4545.3,1.81374379588297,3.6554279070147,0.627351329945218,54.049,5275.7,4.42499547302972,NA,102.555,270.81,-607.068,-31.33,-265.033,-490.356898369998,5766.05689837,4.65884671468846,-0.233851241658733,-0.146706887463947,0.778084284873764,1.60329311253605,0.909306266408906
"67",1986-09-30,120.1,313,1072.6,NA,86.9,953,953,NA,NA,495.1,495.1,1.47,1205.5,NA,498.5,0.4,0.107450571868828,0.107450571868828,0.108188467131107,0.215639038999935,8263.6,4607.7,3.88162684390998,3.61243431131399,0.633114135034833,54.334,5369,7.26381748088625,NA,104.7375,274.815,-616.974,-31.87,-269.2915,-495.622446350351,5864.62244635035,7.01497112339202,0.248846357494226,0.157548146381526,0.778981863342141,2.02754814638153,0.933566479708307
"68",1986-12-31,122.8,313,1099,NA,97.9,941.8,941.8,NA,NA,489.8,489.8,-0.48,1209.5,NA,506.6,0.14,0.105161456544143,0.105161456544143,0.108768464445208,0.213929920989351,8308,4657.6,2.16656772790687,3.5654000637207,0.633974579182412,54.662,5402,2.48131832345384,NA,107.01,278.73,-628.254,-32.72,-275.234,-503.519812666935,5905.51981266693,2.81874307284353,-0.337424749389692,-0.213918713500061,0.762745753927196,-0.553918713500061,0.878789060504119
"69",1987-03-31,125.8,316.1,1104.1,NA,98.7,947.9,947.9,NA,NA,492.1,492.1,0.3,1215.9,NA,516.5,0.23,0.104209902164245,0.104209902164245,0.10937698530346,0.213586887467706,8369.9,4722.2,3.01373305031338,3.51447453120859,0.631802973190462,55.175,5407.4,0.400451862159268,NA,109.4175,281.2725,-635.85,-33.18,-278.34,-504.467603081106,5911.86760308111,0.430650152853529,-0.0301982906942611,-0.019079369845904,0.750645676205367,0.510920630154096,0.896960793892904
"70",1987-06-30,128.4,319.1,1177.6,NA,111.8,960.8,960.8,NA,NA,501.2,501.2,0.6,1218.6,NA,524,0.1,0.104281969123216,0.104281969123216,0.109025841621239,0.213307810744455,8460.2,4806.2,4.38580450151689,3.46461239977209,0.635283592026965,55.706,5481.2,5.57196604692847,NA,111.8475,283.77,-652.782,-34.1166666666667,-291.281166666667,-522.890113572446,6004.09011357245,6.38735450024841,-0.815388453319943,-0.518002905522405,0.739028886073478,0.181997094477595,0.54163678937829
