calendar_date,gdp,gdppot,gdph,gdppoth,jc,jgdp,hpx,yp,c,ch
2016,18624.5,18888.4,16716.2,16952.2,110.789,111.419,231.002,15928.7,12820.7,11572.1
2017,19390.6,19538.8,17096.2,17225.8,112.657,113.425,246.487,16429.1,13395.5,11890.7
2018,20376.7,20300.1,17606.7,17540.6,115.038,115.728,261.842,17189.5,14005.6,12174.4
2019,21382.6,21154.6,18098.8,17905.9,117.297,118.138,271.494,18171.2,14688.6,12521.9
2020,22269.5,22079.1,18444.4,18286.5,119.746,120.735,279.142,19139,15378.5,12842.1
2021,23110.4,23018.3,18736.2,18661.4,122.261,123.343,287.612,20040.8,15992.1,13079.9
2022,23977,23980,19030.8,19033.1,124.818,125.987,296.781,20951.4,16616.2,13311.9
2023,24895.6,24975.6,19340.5,19402.6,127.423,128.718,306.337,21859.9,17264.3,13548.3
2024,25869.1,25994.2,19672.4,19767.6,130.025,131.495,315.879,22791.9,17973.1,13822.3
2025,26882.3,27022.8,20018.6,20123.3,132.627,134.282,325.432,23742.8,18717.3,14112.3
2026,27897.5,28067.9,20348.1,20472.3,135.26,137.097,335.208,24732.3,19441.4,14372.9
2027,28989,29146.1,20713.4,20825.7,137.937,139.948,345.059,25753.4,20226.2,14662.9
2028,30121.3,30272.6,21085.1,21191,140.671,142.851,356.239,26875.1,21048.6,14962.5
