date,gdp,gdph,gdppothq,gdppotq,dc,jgdp,c,ch,gh,gfh,gsh,g,gf,gs
3/31/2017,19162.6,17863,18060.1,19366.4,105.528,107.233,13114.1,12427.6,3129.6,1190,1937.7,3346.4,1252.4,2093.9
6/30/2017,19359.1,17995.2,18133.8,19503.4,105.735,107.553,13233.2,12515.9,3130,1197.1,1931.3,3360,1264,2096
9/30/2017,19588.1,18120.8,18209.5,19690.7,106.156,108.134,13359.1,12584.9,3121.8,1193.2,1926.9,3372.3,1263.8,2108.5
12/31/2017,19831.8,18223.8,18288.2,19898.8,106.873,108.807,13579.2,12706.4,3140.2,1205.2,1933.5,3419.1,1280.6,2138.5
3/31/2018,20041,18324,18372.4,20089.8,107.524,109.348,13679.6,12722.8,3152.2,1213.1,1937.7,3456.8,1294.8,2162
6/30/2018,20411.9,18511.6,18462.7,20340.8,108.052,110.172,13875.6,12842,3171.8,1224,1946.6,3506.6,1313,2193.5
9/30/2018,20660.3,18671.7,18556.7,20531.8,108.454,110.644,14052.1,12957.2,3192.2,1234.6,1956.5,3550.7,1329.5,2221.2
12/31/2018,20899.9,18788.7,18653.6,20749.7,108.983,111.236,14220.9,13048.7,3220.1,1256.5,1963,3600.3,1359,2241.3
3/31/2019,21140.8,18907.2,18753.6,20969,109.501,111.813,14403.6,13153.8,3239.6,1267.8,1971.5,3639.6,1377.2,2262.5
6/30/2019,21366.2,19020.8,18855.1,21180,109.965,112.33,14567.6,13247.5,3247.4,1269.3,1977.6,3668.9,1384.3,2284.5
9/30/2019,21599.5,19133.6,18957.4,21400.6,110.532,112.887,14747.1,13341.8,3251.5,1268.1,1982.8,3694.5,1388.5,2306
12/31/2019,21806,19218.7,19059.6,21625.4,111.139,113.462,14927.3,13431.1,3227.4,1238.3,1987.4,3690,1362.3,2327.7
3/31/2020,22016.3,19307.6,19159.2,21847,111.747,114.028,15096.9,13509.8,3214.4,1219.7,1992,3696.5,1348,2348.5
6/30/2020,22225.4,19393.7,19257.7,22069.5,112.36,114.601,15258.7,13580.2,3209.5,1209.9,1996.5,3712.4,1343.1,2369.3
9/30/2020,22430.6,19474.4,19355.7,22293.8,112.969,115.179,15406.9,13638,3212.7,1208.6,2000.8,3737.9,1347.8,2390.1
12/31/2020,22632.3,19549.4,19453.4,22521.1,113.573,115.769,15550.5,13692,3216.7,1208.2,2005.1,3765,1353.8,2411.2
3/31/2021,22836,19625.3,19551,22749.6,114.18,116.36,15693.7,13744.7,3221.4,1208.5,2009.4,3793.4,1360.7,2432.7
6/30/2021,23040.9,19701.5,19648.9,22979.2,114.785,116.949,15837.7,13797.7,3226,1208.8,2013.6,3821.8,1367.5,2454.3
9/30/2021,23247.2,19778.2,19746.8,23210.3,115.39,117.54,15986.1,13853.9,3229.8,1208.3,2017.7,3849.7,1373.6,2476.2
12/31/2021,23455.7,19855.6,19844.7,23442.9,115.996,118.131,16135.9,13910.7,3233.4,1207.7,2021.8,3877.8,1379.6,2498.2
3/31/2022,23669.1,19935.2,19943.2,23678.7,116.608,118.73,16298.3,13976.9,3233.1,1202.9,2026,3901.5,1380.9,2520.6
6/30/2022,23884.1,20015.1,20041.9,23916,117.222,119.33,16461.7,14043.1,3234.2,1199.5,2030.1,3927.2,1383.8,2543.3
9/30/2022,24103.5,20096.4,20140.5,24156.3,117.837,119.939,16630.1,14112.7,3237.6,1198.6,2034.2,3956.1,1389.7,2566.5
12/31/2022,24326.6,20177.9,20239,24400.1,118.457,120.56,16800.4,14182.7,3241.1,1198,2038.2,3986,1396,2590
3/31/2023,24553.8,20261.3,20337.1,24645.5,119.074,121.185,16974.3,14255.3,3245.6,1198.4,2042.2,4017.4,1403.6,2613.9
6/30/2023,24785.3,20347.1,20435,24892.5,119.689,121.812,17144.3,14324,3249.9,1198.8,2045.9,4049,1411.2,2637.9
9/30/2023,25022.9,20435.7,20532.8,25141.8,120.308,122.446,17315.4,14392.5,3254.2,1199.2,2049.7,4081,1418.8,2662.2
12/31/2023,25265.4,20527.2,20630.4,25392.3,120.923,123.082,17489.4,14463.2,3258.4,1199.7,2053.3,4113.3,1426.6,2686.7
3/31/2024,25515.7,20624,20727.6,25643.9,121.535,123.718,17674.2,14542.5,3262.3,1199.8,2056.9,4145.4,1433.9,2711.5
6/30/2024,25767.4,20720.5,20824.6,25896.9,122.147,124.357,17858.9,14620.8,3264.9,1198.8,2060.4,4176.3,1440,2736.3
9/30/2024,26020.2,20816.6,20921.2,26151,122.758,124.997,18041.1,14696.4,3269.6,1200.1,2063.8,4210.1,1448.8,2761.3
12/31/2024,26274.2,20912.4,21017.5,26406.2,123.37,125.639,18224.9,14772.5,3273.5,1200.5,2067.1,4243.1,1456.7,2786.4
3/31/2025,26529.2,21007.8,21113.4,26662.4,123.982,126.282,18415.5,14853.4,3277.3,1201,2070.4,4276.3,1464.6,2811.7
6/30/2025,26785.2,21102.8,21208.8,26919.8,124.596,126.927,18604,14931.3,3280.9,1201.4,2073.5,4309.6,1472.6,2837
9/30/2025,27035.7,21192.2,21304,27178.3,125.213,127.574,18789.2,15005.8,3284.6,1201.9,2076.5,4343.1,1480.6,2862.5
12/31/2025,27285.9,21280.1,21398.9,27438.2,125.831,128.222,18969.9,15075.6,3288.2,1202.4,2079.5,4376.9,1488.7,2888.1
3/31/2026,27537.9,21367.7,21493.6,27700.2,126.454,128.876,19162.6,15153.7,3291.7,1202.9,2082.4,4410.8,1496.8,2914
6/30/2026,27792.4,21456.2,21588,27963,127.077,129.53,19345.6,15223.5,3295.2,1203.5,2085.3,4444.9,1505.1,2939.8
9/30/2026,28052.5,21547.9,21682.4,28227.7,127.703,130.187,19531.3,15294.3,3299.1,1204.5,2088.1,4479.6,1514,2965.6
12/31/2026,28320.4,21644.1,21777,28494.3,128.331,130.846,19720.6,15366.9,3302.8,1205.5,2090.8,4514.2,1522.8,2991.3
3/31/2027,28595.4,21743.8,21872.1,28764.1,128.965,131.51,19922.9,15448.2,3306.7,1206.6,2093.5,4549,1531.9,3017.1
6/30/2027,28876.4,21846.7,21967.9,29036.6,129.6,132.177,20123.7,15527.5,3310.6,1207.8,2096.2,4584.1,1541.1,3043
9/30/2027,29159.1,21949.3,22064.1,29311.7,130.24,132.847,20325.5,15606.1,3314.8,1209.3,2098.8,4619.6,1550.7,3068.9
12/31/2027,29441.3,22050,22160.8,29589.2,130.883,133.52,20526.4,15682.9,3318.8,1210.9,2101.3,4655.3,1560.4,3094.9
3/31/2028,29720.3,22146.9,22258.1,29869.6,131.53,134.196,20727.5,15758.7,3322.9,1212.6,2103.7,4691.1,1570.3,3120.8
6/30/2028,30001.1,22243.8,22355.5,30151.8,132.18,134.874,20929,15833.7,3327,1214.3,2106.1,4727.3,1580.4,3146.9
9/30/2028,30284.5,22341,22453.2,30436.6,132.833,135.555,21132.7,15909.2,3331,1216.1,2108.3,4763.4,1590.6,3172.8
12/31/2028,30570.5,22438.5,22551.2,30724.1,133.49,136.241,21337.3,15984.1,3334.7,1217.9,2110.2,4799.4,1600.9,3198.6
3/31/2029,30858.8,22535.9,22649.2,31013.9,134.151,136.931,21542.9,16058.7,3338.3,1219.7,2112.1,4835.5,1611.2,3224.3
6/30/2029,31150.2,22634,22747.8,31306.7,134.815,137.625,21749.4,16132.7,3342,1221.6,2113.9,4871.9,1621.8,3250.1
9/30/2029,31444.8,22732.6,22846.9,31602.8,135.484,138.324,21960.5,16208.9,3345.6,1223.6,2115.7,4908.3,1632.4,3275.9
12/31/2029,31742.5,22831.7,22946.4,31902,136.156,139.028,22173.1,16284.9,3349.2,1225.5,2117.4,4944.9,1643.1,3301.8
