fy,gftfp,gfrpt,gfrpri,gfrcp,gfrs,yptmr,yptmd,yptu
2018,2154,1610,149,184,1329,704,389,30
2019,2259,1686,179,177,1384,768,406,27
2020,2371,1793,192,243,1429,821,420,30
2021,2512,1864,199,261,1486,882,440,36
2022,2663,1941,205,286,1547,987,467,43
2023,2812,2029,203,317,1619,1024,496,47
2024,2975,2125,234,340,1693,1057,526,50
2025,3146,2227,228,350,1771,1176,557,52
2026,3323,2452,237,376,1842,1262,591,55
2027,3500,2680,245,403,1923,1355,626,57
2028,3711,2786,231,421,2007,1526,662,59
2029,3921,2910,254,428,2094,1526,662,59
