date,health.transfers,federal.health,state.health,social.transfers,federal.social,state.social,federal.stabilizers.transfers,state.stabilizers.transfers,non.corp.taxes,state.non.corp.taxes,federal.non.corp.taxes,federal.stabilizers.non.corp.taxes,state.stabilizers.non.corp.taxes,corp.taxes.adj,federal.corp.taxes,State.Corporate.taxes,federal.stabilizers.corp.taxes,state.stabilizers.corp.taxes,federal.c,state.c,federal.taxes,state.taxes,federal.transfers,state.transfers,federal.stabilizers,state.stabilizers,stabilizers,federal.stabilizers.taxes,state.stabilizers.taxes,stabilizers.taxes,transfers,taxes,consumption,consumption.discres,taxes.discres,federal.taxes.discres,state.taxes.discres,stabilizers.transfers,transfers.discres,federal.transfers.discres,state.transfers.discres,G.purchases,federal.purchases,federal_cont,,federal.purchases.exdef,state.purchases,G.purchases.exdef,G.purchases.def,Contribution.to..Ch.in.Real.GDP.from..G.,total,federal,state,federal.discres,state.discres,discres
1/1/1970,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,NA,,,,,,-0.48,,,,,,
4/1/1970,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,-1.902725024,-1.448008058,-1.448015532,,0.603414223,-0.371637709,0.231776515,-2.196037503,-1.11,,,,,,
7/1/1970,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,-0.299756425,-0.711666927,-0.711673348,,0.100528695,0.382371017,0.482899712,-0.831533964,0.4,,,,,,
10/1/1970,0.075955853,0.045436897,0.030518955,1.074253906,,,-9.63E-17,8.71E-19,,,,,,,,,,,,,,,0.045436897,0.030518955,,,,,,,1.150209759,,,,,,,-9.54E-17,1.150209759,0.045436897,0.030518955,-0.667561792,-0.539587684,-0.53959467,,-0.016766256,-0.089459334,-0.10622559,-0.633454039,0.06,,,,,,
1/1/1971,0.087693371,0.073520379,0.014172992,0.821776426,,,0.02676126,0.002047423,,,,,,,,,,,,,,,0.073520379,0.014172992,,,,,,,0.909469797,,,,,,,0.028808683,0.880661114,0.046759119,0.012125569,-2.128178644,-2.105615125,-2.105192749,,-0.29384916,-0.079887013,-0.373736173,-1.650985516,-1.31,,,,,,
4/1/1971,0.08942755,0.073636229,0.015791321,0.562256259,,,0.080912814,0.009193012,,,,,,,,,,,,,,,0.073636229,0.015791321,,,,,,,0.651683809,,,,,,,0.090105826,0.561577984,-0.007276585,0.006598309,-0.902315524,-0.543733351,-0.54372621,,0.968801621,-0.321007455,0.647794165,-1.504061043,-0.21,,,,,,
7/1/1971,0.08549715,0.071161258,0.014335892,0.50771161,,,0.022474219,0.003634761,,,,,,,,,,,,,,,0.071161258,0.014335892,,,,,,,0.59320876,,,,,,,0.02610898,0.56709978,0.048687039,0.010701131,-0.691315959,-0.647437757,-0.647433133,,0.222536865,-0.083199703,0.139337161,-0.862871785,-0.05,,,,,,
10/1/1971,0.096445808,0.078790111,0.017655697,0.336443193,,,0.036331791,0.006717467,0.152523492,-0.20384823,0.356371723,0.055383095,0.029393896,,,,,,,,,,0.078790111,0.017655697,,,,,,,0.432889001,,,,,,,0.043049258,0.389839743,0.04245832,0.010938229,-1.30776285,-1.38113965,-1.381133584,,-0.403091047,0.009601648,-0.3934894,-0.822055739,-0.66,,,,,,
1/1/1972,0.098900574,0.048421779,0.050478796,0.3836071,,,0.017474534,0.006860619,-0.562973808,-0.248802659,-0.314171149,-0.061611921,-0.013386342,,,,,,,,,,0.048421779,0.050478796,,,,,,,0.482507675,,,,,,,0.024335153,0.458172521,0.030947245,0.043618176,-0.187366119,-0.071438959,-0.071830099,,0.105608669,-0.234893222,-0.129284553,0.132030965,0.52,,,,,,
4/1/1972,0.084715597,0.041569822,0.043145775,-0.115534348,,,-0.046538943,-0.009991164,-0.63485841,-0.285234026,-0.349624384,-0.27476906,-0.100986108,,,,,,,,,,0.041569822,0.043145775,,,,,,,-0.03081875,,,,,,,-0.056530107,0.025711356,0.088108765,0.053136939,-0.269524752,2.661604086,2.661602702,,2.615780623,-2.954872316,-0.339091693,0.018521143,0.41,,,,,,
