,date,gdp,c,ch,gdph,jc,jgdp,jgf,jgs,yptmr,yptmd,gtfp,ypog,yptx,ytpi,yctlg,g,gfrcf,grcsi,gf,gs,gfh,gsh,gfrpt,gfrpri,gfrcp,gfrs,gftfp,gfeg,gsrpt,gsrpri,gsrcp,gsrs,gstfp,gset,yp,casusxam
1,5/13/1970,1073.325,646.75,3086.9,4951.275,20.95075,21.676,19.109,14.1175,7.25,5.45,71.75,1.275,103.075,91.4,30.85,252.575,3.5,46.575,132.825,119.775,695,848.45,88.875,18.1,27.125,45.5,55.625,18.375,14.2,73.325,3.725,1.1,16.1,137.1,865.025,NA
2,5/13/1971,1164.875,699.925,3204.775,5114.3,21.84075,22.7755,20.67025,15.1985,8.05,6.75,85.4,1.45,101.7,100.5,34.4,267.475,3.375,51.5,134.475,133.025,650.6,875.05,85.8,19,30.125,50.325,66.075,22.175,15.9,81.5,4.3,1.175,19.325,155.15,932.8,NA
3,5/13/1972,1279.125,768.15,3401.05,5383.275,22.58575,23.75975,22.485,16.16225,8.825,8.225,94.825,1.8,123.65,107.95,38.65,286.175,3.225,59.6,141.65,144.55,629.95,894.3,102.775,18.5,33.375,58.275,72.825,30.5,20.875,89.45,5.225,1.325,21.95,170.725,1024.45,NA
4,5/13/1973,1425.375,849.575,3569.35,5687.225,23.802,25.0615,24.051,17.2455,10.25,9.6,108.625,1.825,132.425,117.225,44.925,304.775,4.35,76.025,146.175,158.575,607.775,919.575,109.6,19.8,38.925,74.55,84.55,33.475,22.825,97.425,6.025,1.5,24.1,188.325,1140.8,NA
5,5/13/1974,1545.25,930.175,3539.45,5656.45,26.27975,27.3095,25.97125,19.15675,12.75,11.175,128.55,2.05,151.05,124.925,46.25,341.375,5.55,85.75,158.85,182.55,611.6,952.875,126.5,20.075,39.575,84.075,103.3,34.9,24.55,104.825,6.675,1.65,25.275,212.975,1251.825,NA
6,5/13/1975,1684.9,1030.55,3619.7,5644.85,28.47025,29.846,28.2545,20.99875,15.625,13.875,163.125,2.5,147.6,135.275,45.525,381.125,5.4,89.875,173.725,207.4,614.85,987.7,120.75,22.075,38.2,88.075,132.325,43.625,26.9,113.225,7.325,1.875,30.825,244.25,1369.4,25.7325
7,5/13/1976,1873.425,1147.65,3821.45,5949,30.03225,31.48975,30.012,22.02375,18.8,15.475,177.65,3.025,172.65,146.4,58.35,404.15,5.875,101.975,184.8,219.35,615.725,995.975,141.575,21.375,48.725,99.775,143.5,49.05,31.075,125,9.65,2.15,34.125,261.225,1502.65,27.6225
8,5/13/1977,2081.825,1273.975,3982.975,6224.1,31.9855,33.44525,31.85825,23.394,22.1,16.725,189.475,3.45,197.9,159.65,67.1,434.325,5.95,113.85,200.325,234,628.875,1000.225,162.525,22.725,55.675,111.05,152.425,54.75,35.35,136.95,11.425,2.775,37.05,279.875,1659.225,30.90583333
9,5/13/1978,2351.6,1422.275,4157.3,6568.625,34.21125,35.79775,34.0075,24.914,25.55,18.625,203.425,3.85,229.65,170.9,76.5,476.325,7,132.1,218.925,257.425,643.725,1033.2,189.2,25.3,64.4,128.725,162.675,63.475,40.425,145.625,12.125,3.4,40.8,308.125,1863.725,35.60833333
10,5/13/1979,2627.325,1585.4,4256.1,6776.6,37.2505,38.76625,36.566,27.114,29.925,21.075,227.35,4.325,268.9,180.1,78.7,524.8,9.275,153.675,240.575,284.2,657.925,1048.3,224.875,25.675,65.125,149.8,183.025,63.95,44.025,154.45,13.575,3.9,44.325,339.325,2082.675,41.08833333
11,5/13/1980,2857.325,1750.675,4242.825,6759.175,41.26225,42.27825,40.0985,30.08075,36.175,23.85,271.5,4.925,299.525,200.325,73.1,589.6,11.7,167.2,274.875,314.725,685.45,1046.3,250.625,33.65,58.625,163.65,220.3,69.675,48.9,166.675,14.5,3.575,51.2,376.625,2323.625,45.08416667
12,5/13/1981,3207.025,1933.925,4301.625,6930.7,44.9585,46.26925,43.8435,33.22625,43.5,27.725,307.825,5.975,345.8,235.65,67.15,654.4,14.025,196.875,313.95,340.4,716.125,1024.5,291.175,49.925,51.675,193,250.725,69.425,54.625,185.725,15.45,3.85,57.1,409.05,2605.125,47.95333333
13,5/13/1982,3343.8,2071.275,4364.6,6805.775,47.45575,49.13025,46.94325,35.40075,50.925,30.15,343.1,7.075,354.725,240.95,47.875,711.475,15.2,210.075,348.35,363.125,741.95,1025.825,295.6,40.975,33.825,206.05,281.875,66.25,59.15,199.975,14.025,4.05,61.175,439.3,2791.6,48.955
14,5/13/1983,3634.025,2281.6,4611.675,7117.725,49.4745,51.0505,48.4995,36.964,57.8,33.875,370.5,8.125,352.9,263.275,63.025,766.575,14.225,227.2,382.35,384.2,788.35,1039.4,286.75,44.425,47.125,223.075,303.6,67.95,66.1,218.9,15.9,4.125,66.9,472.05,2981.075,50.465
15,5/13/1984,4037.65,2492.35,4854.325,7632.85,51.34325,52.8945,50.63675,38.5435,64.775,36.575,380.9,9.175,377.9,289.75,78,827.9,16.025,258.8,411.8,416.075,813.25,1079.575,301.875,47.3,59.175,254.15,309.75,72.35,76.025,242.475,18.8,4.7,71.15,512.15,3292.725,52.84083333
16,5/13/1985,4339,2712.825,5105.65,7951.05,53.134,54.56775,51.71225,40.11325,69.725,39.7,403.125,10.425,417.8,308.125,78.725,910.525,17.8,282.8,452.9,457.6,875.8,1140.8,336.45,46.075,58.45,277.9,325.85,76.15,81.35,262.075,20.25,4.9,77.275,563.55,3524.875,55.885
17,5/13/1986,4579.625,2886.275,5316.4,8226.375,54.29,55.67325,51.95725,41.269,75.275,43.625,428.6,11.95,437.8,323.4,88.675,976.075,17.775,304.9,481.675,494.4,927.025,1198.075,350.6,43.7,66.025,298.95,344.25,82.425,87.2,279.675,22.65,5.95,84.35,611.05,3733.075,60.8225
18,5/13/1987,4855.25,3076.275,5496.95,8510.975,55.9635,57.04075,52.31825,43.19625,81.575,47.825,447.9,13.2,489.6,347.55,109.35,1031.525,17.75,324.625,502.775,528.725,960.975,1224.05,392.975,45.925,85.425,317.45,357.2,78.375,96.6,301.6,23.9,7.175,90.725,652.3,3961.575,66.26833333
19,5/13/1988,5236.425,3330,5726.525,8866.475,58.15075,59.05525,54.02525,44.64,86.275,53.05,476.85,14.875,505.95,374.45,119.825,1078.85,17.35,363.15,511.425,567.425,946.625,1271.125,403.825,49.825,93.75,354.775,378.35,85.725,102.075,324.65,26.025,8.375,98.5,698.75,4283.4,71.14416667
20,5/13/1989,5641.6,3576.775,5893.5,9192.125,60.69,61.3705,55.534,46.752,98.175,60.825,521.1,16.5,567.75,398.85,119.825,1151.875,21.65,386.95,534.1,617.775,961.725,1321.375,453.1,49.725,95.575,377.925,411.7,91.825,114.65,349.125,24.225,9,109.325,763.025,4625.575,75.50833333
