,date,usphpip,casusxam,fnmfhfa,pcu,yp,gdp,c,ch,gdph,jc,jgdp,jgf,jgs,ptgh,ptgsh,ptgfh,yptmr,yptmd,gtfp,ypog,yptx,ytpi,yctlg,g,gfrcf,grcsi,dc,gf,gs,gfh,gsh,gfrpt,gfrpri,gfrcp,gfrs,gftfp,gfeg,gsrpt,gsrpri,gsrcp,gsrs,gstfp,gset,gdppothq,gdppotq,recessq,gftfp_g,gfrpt_g,gfrpri_g,gfrcp_g,gfrs_g,gfcexp_g,gfsubs_g,gfintpmt_g,yptmr_g,yptmd_g,gfrptb_g,gf_gdp,gf_gdpalt,gdp_g,gdph_g,gdppothq_g,gdppotq_g,dc_g,jgdp_g,c_g,ch_g,gh_g,gfh_g,gsh_g,g_g,gf_g,gs_g,gfb_g,gfhb_g,fshare,gfrcf_g,gsrpt_g,gsrpri_g,gsrs_g,gstfp_g,gsrcp_g,gfeg_g,jgs_g,jgf_g,jc_g,gfrptb,gfb,gssave,yfptmd,gfegnet,yptxb,deficit,deficitb,hpx
1,3/31/1970,NA,NA,NA,38.1,841.7,1051.2,631.7,3065.1,4936.6,20.61,21.286,18.701,13.706,-0.48,0.41,-0.88,7,5,63,1.2,104.6,88.5,30.7,247.9,3.4,46.2,20.609,147.5132917,100.3867083,714,834.4,90.6,17.9,27,45.1,48.3,16.6,14,70.6,3.8,1.1,14.7,129.9,4962.9,1056.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.537341652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.6,133.6,114.3,2.686708262,13.91329174,NA,-15.21329174,-1.3,NA
2,6/30/1970,NA,NA,NA,38.63333333,860,1067.4,641.6,3079,4943.6,20.838,21.593,18.948,13.996,-1.11,0.24,-1.35,7.2,5.3,73.1,1.3,105.5,90.5,30.8,249.1,3.5,46.5,20.837,146.8520892,102.3479108,695.2,838.9,91.4,18.1,27,45.4,57.5,17.9,14.1,72.4,3.7,1.1,15.6,134.1,5002.7,1080.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.537341652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.4,131.8,117.4,2.847910758,15.05208924,NA,-22.45208924,-7.4,NA
3,9/30/1970,NA,NA,NA,39.03333333,874.7,1086.1,653.5,3106,4989.2,21.041,21.77,19.271,14.249,0.4,1.01,-0.61,7.3,5.6,73.5,1.3,100.7,92.5,31.7,254.6,3.6,46.9,21.04,148.5908867,106.0091133,686.7,858.1,86.3,18.2,27.9,45.9,56.9,19.2,14.3,74.3,3.8,1.1,16.6,140.1,5041.1,1097.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.537341652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.3,132.4,122.2,3.009113254,16.19088675,NA,-27.19088675,-11,NA
4,12/31/1970,NA,NA,NA,39.6,883.7,1088.6,660.2,3097.5,4935.7,21.314,22.055,19.516,14.519,0.06,0.23,-0.18,7.5,5.9,77.4,1.3,101.5,94.1,30.2,258.7,3.5,46.7,21.313,150.1296843,108.5703157,684.1,862.4,87.2,18.2,26.6,45.6,59.8,19.8,14.4,76,3.6,1.1,17.5,144.3,5078.3,1120,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.537341652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,133.5,125.2,3.17031575,16.62968425,NA,-32.32968425,-15.7,NA
5,3/31/1971,NA,NA,NA,39.93333333,903.7,1135.2,679.2,3157,5069.7,21.516,22.389,20.134,14.849,-1.31,0.22,-1.52,7.8,6.2,79.3,1.4,98.3,97.7,34,261.9,3.4,50.8,21.514,150.2722222,111.6277778,662.1,866,83.6,19.4,29.9,49.6,61,20.5,14.7,78.3,4.1,1.1,18.3,149.1,5115.7,1145.3,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.568996416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.6,133.3,128.6,3.527777778,16.97222222,NA,-28.77222222,-11.8,NA
6,6/30/1971,NA,NA,NA,40.3,927.1,1156.3,693.2,3186,5097.2,21.761,22.689,20.51,15.117,-0.21,0.34,-0.55,8,6.6,86.9,1.4,100.7,98.9,34.9,266.1,3.3,51.4,21.759,152.6446237,113.5553763,654.4,872.4,85.1,18.7,30.7,50.2,67.9,22.1,15.6,80.2,4.2,1.2,19.1,153.6,5152.5,1169.1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.568996416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.1,134.3,131.9,3.755376344,18.34462366,NA,-35.84462366,-17.5,NA
7,9/30/1971,NA,NA,NA,40.7,941.1,1177.7,705.6,3211.4,5139.1,21.975,22.917,20.807,15.33,-0.05,0.16,-0.2,8.1,6.9,86.9,1.5,102.3,101.7,34.1,269.8,3.4,51.6,21.972,154.0739247,115.7260753,651.5,875.4,86.3,18.9,29.8,50.5,67.2,22.4,16,82.8,4.4,1.2,19.6,156.9,5189.3,1189.2,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.568996416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.3,135.6,134.2,3.926075269,18.47392473,NA,-35.77392473,-17.3,NA
8,12/31/1971,NA,NA,NA,41,959.3,1190.3,721.7,3264.7,5151.2,22.111,23.107,21.23,15.498,-0.66,0.57,-1.24,8.3,7.3,88.5,1.5,105.5,103.7,34.6,272.1,3.4,52.2,22.108,154.2463262,117.8536738,634.4,886.4,88.2,19,30.1,51,68.2,23.7,17.3,84.7,4.5,1.2,20.3,161,5226.3,1207.6,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.568996416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.2,134.7,137.4,4.153673835,19.54632616,NA,-34.14632616,-14.6,NA
9,3/31/1972,NA,NA,NA,41.33333333,986.5,1230.6,738.9,3307.8,5246,22.344,23.478,22.104,15.844,0.52,0.13,0.39,8.5,7.8,91.4,1.7,119.8,104.6,36.8,282.2,3.2,58.5,22.34,161.533598,120.666402,639.7,888.8,100.3,18.2,31.8,57.3,70.2,24.4,19.5,86.4,5,1.3,21.2,165.7,5264.4,1236,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.546974618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.3,141.4,140.8,4.266402021,20.13359798,NA,-24.13359798,-4,NA
10,6/30/1972,NA,NA,NA,41.6,1004.2,1266.4,757.4,3370.7,5365,22.473,23.621,22.327,16.031,0.41,-0.07,0.48,8.7,8,91.9,1.8,123.4,106.8,37.1,286.5,3.2,59.2,22.469,172.5242031,113.8757969,645.9,887.3,102.4,18.3,32,57.9,70.2,32.7,21,88.5,5,1.3,21.6,167.9,5302.4,1252.5,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.546974618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.4,144.2,142.2,4.375796945,28.32420306,NA,-32.12420306,-3.8,NA
