"date","Medicare.Outlays","Medicaid.Outlays","Total.Gov.t.Benefits.to.Persons","Personal.Current.Taxes","Taxes.on.Production.and.Imports","Corporate.Taxes","Corporate.Taxes.from.Fed.Banks","Contributions.for.Government.Social.Insurance","Real.GDP","Real.PCE","Nominal.PCE","GDP.deflator","PCE.deflator","PCE.deflator.implicit","G.deflator","Federal.deflator","State.deflator","Nominal.GDP","Contribution.to..Ch.in.Real.GDP.from..G.","CBO.Potential.GDP","X.G...Government.Consumption.and.Investment","RecessionDummy","Contribution.to..Ch.in.Real.GDP.from..Federal.G.","Contribution.to..Ch.in.Real.GDP.from..S.L.G.","Contribution.to..Ch.in.Real.GDP.from..S.L.G..1","CBO.Nominal.Potential.GDP","Federal.Corporate.Taxes","State.Personal.Current","State.Contributions.for.social.insurance","State.Taxes.on.production","State.Corporate.taxes","Medicaid.Spending","Federal.Grants","Nominal.G.Federal","Nominal.G.Federal.Defense","Nominal.G.State","Unemployment.Insurance","nominal_output_gap","real_potential_gdp","potential_gdp","NAIRU","unemp","sp500","tenyr","X3mo","ff","real_gdp","nominal_gdp","cpi","pce","core_pce","cbo.stabilizers.revenue","cbo.stabilizers.outlays","federal.medicaid.share","federal.medicaid.share.adj","federal.medicaid.share.adj.ca","euc","ugap","real_output_gap","Nominal.G.Federal.exdef","Social.Benefits.a","Federal.Social.Benefits.a","Federal.Medicare.a","State.Medicaid.a","State.Social.Benefits.a","Emergency.Unemployment.Compensation.a","Corporate.Taxes.ma","State.Corporate.taxes.ma","Federal.Corporate.Taxes.ma","cbo.stabilizers.outlays.ma","cbo.stabilizers.revenue.ma","State.Medicaid.adj","non.medicaid.grants","non.medicaid.grants.gdp","federal.medicaid","new.federal","new.federal.exdef","new.state","social.ex.health","federal.social.ex.medicare","state.social.ex.medicaid","federal.social.ex.health.share","federal.corp.tax.rate","state.corp.tax.rate","state.ind.tax.rate","health.transfers","federal.health","state.health","social.transfers","federal.social","state.social","non.corp.taxes","state.non.corp.taxes","federal.non.corp.taxes","corp.taxes.adj","federal.corp.taxes","federal.stabilizers.corp.taxes","state.stabilizers.corp.taxes","federal.stabilizers.non.corp.taxes","state.stabilizers.non.corp.taxes","federal.stabilizers.revenue","state.stabilizers.revenue","medicaid.as","state.medicaid.as","federal.medicaid.as","state.stabilizers.transfers","Unemployment.Insurance.less.euc","ui.as","federal.stabilizers.transfers","federal.stabilizers","state.stabilizers"
1970-01-01,7,5,63,104.6,88.5,30.7,3.4,46.2,4936.6,3065.1,631.7,0.21286,0.2061,0.20609,0.15676,0.18701,0.13706,1051.2,-0.48,4962.9,247.9,1,-0.88,0.41,0.41,1056.4,27,14,1.1,70.6,3.8,5,16.6,133.6,102.8,114.3,2.9,-0.529,4962.9,1056.4,5.89,4.1666667,89.63,7.3666667,NA,8.4653125,4936.6,1051.2,38,20.6103333,21.7413333,-3.2,-4.2,0.5372401,0.5372401,0.5372401,0,-1.7233333,-0.529932096153444,30.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3137995,13.9137995,0.0132361106354642,2.6862005,147.5137995,44.7137995,100.3862005,NA,NA,NA,NA,0.0256849315068493,0.00361491628614916,0.0815258751902587,12,9.6862005,2.3137995,51,NA,NA,239.3,85.7,153.6,30.7,26.9,-0.133561643835616,-0.0187975646879761,-3.06643835616438,-0.423934550989344,-3.2,-0.44273211567732,-8.88178419700125e-16,-4.11013356682588e-16,-4.77165063017537e-16,-4.11013356682588e-16,2.9,0,-4.77165063017537e-16,-3.2,-0.44273211567732
1970-04-01,7.2,5.3,73.1,105.5,90.5,30.8,3.5,46.5,4943.6,3079,641.6,0.21593,0.20838,0.20837,0.15941,0.18948,0.13996,1067.4,-1.11,5002.7,249.1,1,-1.35,0.24,0.24,1080.2,27,14.1,1.1,72.4,3.7,5.3,17.9,131.8,99.6,117.4,3.9,-1.182,5002.7,1080.2,5.9,4.7666667,72.72,7.7133333,NA,7.828,4943.6,1067.4,38.6333333,20.838,21.987,-5,-3,0.5372401,0.5372401,0.5372401,0,-1.1333333,-1.18136206448517,32.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45262747,15.05262747,0.014102143029792,2.84737253,146.85262747,47.25262747,102.34737253,NA,NA,NA,NA,0.0252951096121416,0.00346636687277497,0.0820685778527262,12.5,10.04737253,2.45262747,60.6,NA,NA,242.5,87.6,154.9,30.8,27.1,-0.323777403035411,-0.0443694959715195,-4.67622259696459,-1.0504777965149,-5,-1.09484729248642,0,0,0,0,3.9,-4.44089209850063e-16,-4.44089209850063e-16,-5,-1.09484729248642
1970-07-01,7.3,5.6,73.5,100.7,92.5,31.7,3.6,46.9,4989.2,3106,653.5,0.2177,0.21041,0.2104,0.16221,0.19271,0.14249,1086.1,0.4,5041.1,254.6,1,-0.61,1.01,1.01,1097.4,27.9,14.3,1.1,74.3,3.8,5.6,19.2,132.4,99.9,122.2,4.6,-1.028,5041.1,1097.4,5.92,5.1666667,84.21,7.46,NA,6.6836364,4989.2,1086.1,39.0666667,21.041,22.2313333,-5.1,-2,0.5372401,0.5372401,0.5372401,0,-0.7533333,-1.02953720418164,32.5,NA,NA,NA,NA,NA,NA,31.0666666666667,3.76666666666667,27.3,-3.06666666666667,-4.43333333333333,2.59145544,16.19145544,0.0149078864192984,3.00854456,148.59145544,48.69145544,106.00854456,NA,NA,NA,NA,0.0256882423349599,0.00349875702053218,0.0825890801951938,12.9,10.30854456,2.59145544,60.6,NA,NA,240.1,89.7,150.4,31.7,27.9,-0.290277138385051,-0.0395359543320142,-4.80972286161495,-0.933256606205717,-5.1,-0.972792560537731,0,0,0,0,4.6,0,0,-5.1,-0.972792560537731
1970-10-01,7.5,5.9,77.4,101.5,94.1,30.2,3.5,46.7,4935.7,3097.5,660.2,0.22055,0.21314,0.21313,0.16476,0.19516,0.14519,1088.6,0.06,5078.3,258.7,1,-0.18,0.23,0.23,1120,26.6,14.4,1.1,76,3.6,5.9,19.8,133.5,100.5,125.2,5.4,-2.808,5078.3,1120,5.93,5.8333333,92.15,6.8533333,NA,5.5375758,4935.7,1088.6,39.6,21.314,22.5436667,-10,-0.8,0.5372401,0.5372401,0.5372401,0,-0.0966667000000001,-2.80802630801647,33,NA,NA,NA,NA,NA,NA,30.9,3.7,27.1666666666667,-1.93333333333333,-6.7,2.73028341,16.63028341,0.0152767622726438,3.16971659,150.13028341,49.63028341,108.56971659,NA,NA,NA,NA,0.0244350541980525,0.00330699981627779,0.0840529119970605,13.4,10.66971659,2.73028341,64,NA,NA,242.3,91.5,150.8,30.2,26.6,-0.767260701818852,-0.103839794231123,-9.23273929818115,-2.63926143670771,-10,-2.74310123093884,-8.88178419700125e-16,-4.11013356682588e-16,-4.77165063017537e-16,-4.11013356682588e-16,5.4,-8.88178419700125e-16,-1.36534348271766e-15,-10,-2.74310123093884
1971-01-01,7.8,6.2,79.3,98.3,97.7,34,3.4,50.8,5069.7,3157,679.2,0.22389,0.21516,0.21514,0.16926,0.20134,0.14849,1135.2,-1.31,5115.7,261.9,0,-1.52,0.22,0.22,1145.3,29.9,14.7,1.1,78.3,4.1,6.2,20.5,133.3,99.5,128.6,5.7,-0.898,5115.7,1145.3,5.95,5.9333333,100.31,6.0166667,NA,3.8767188,5069.7,1135.2,39.9,21.5156667,22.8293333,-5.2,-0.1,0.5690814,0.5690814,0.5690814,0,-0.0166667,-0.89919268135348,33.8,NA,NA,NA,NA,NA,NA,31.9666666666667,3.83333333333333,28.1333333333333,-0.966666666666667,-6.76666666666667,2.67169532,16.97169532,0.0149504010923185,3.52830468,150.27169532,50.77169532,111.62830468,NA,NA,NA,NA,0.026338971106413,0.00361169837914024,0.0828928823114869,14,11.32830468,2.67169532,65.3,NA,NA,246.8,94.1,152.7,34,29.9,-0.26602360817477,-0.0364781536293162,-4.93397639182523,-0.837218111346004,-5.2,-0.873696264975321,0.0574695949004393,0.0247647173770645,0.0327048775233749,0.0247647173770645,5.7,0.290987429161125,0.3236923066845,-4.8763076933155,-0.848931547598256
1971-04-01,8,6.6,86.9,100.7,98.9,34.9,3.3,51.4,5097.2,3186,693.2,0.22689,0.21761,0.21759,0.17238,0.2051,0.15117,1156.3,-0.21,5152.5,266.1,0,-0.55,0.34,0.34,1169.1,30.7,15.6,1.2,80.2,4.2,6.6,22.1,134.3,97.8,131.9,6.3,-1.073,5152.5,1169.1,5.96,5.9,99.7,6.2466667,NA,4.5812308,5097.2,1156.3,40.3333333,21.761,23.0896667,-4.9,-0.1,0.5690814,0.5690814,0.5690814,0,-0.0599999999999996,-1.07326540514314,36.5,NA,NA,NA,NA,NA,NA,33.0333333333333,3.96666666666667,29.0666666666667,-0.333333333333333,-6.7,2.84406276,18.34406276,0.0158644493297587,3.75593724,152.64406276,54.84406276,113.55593724,NA,NA,NA,NA,0.0265502032344547,0.00363227536106547,0.0838882642912739,14.6,11.75593724,2.84406276,72.3,NA,NA,251,97,154,34.9,30.7,-0.339842601401021,-0.0464931246216382,-4.56015739859898,-1.07376978292831,-4.9,-1.12026290754995,0.270165419916129,0.11641930451867,0.153746115397459,0.11641930451867,6.3,0.872909241380516,1.02665535677798,-3.87334464322203,-1.00384360303128
1971-07-01,8.1,6.9,86.9,102.3,101.7,34.1,3.4,51.6,5139.1,3211.4,705.6,0.22917,0.21975,0.21972,0.17484,0.20807,0.1533,1177.7,-0.05,5189.3,269.8,0,-0.2,0.16,0.16,1189.2,29.8,16,1.2,82.8,4.4,6.9,22.4,135.6,97.4,134.2,6.3,-0.967,5189.3,1189.2,5.98,6.0333333,98.34,6.4833333,NA,5.4671212,5139.1,1177.7,40.7666667,21.9746667,23.3073333,-5.5,-0.333333333333333,0.5690814,0.5690814,0.5690814,0,0.0533332999999994,-0.967375175842596,38.2,NA,NA,NA,NA,NA,NA,34.3333333333333,4.23333333333333,30.1333333333333,-0.0666666666666667,-5.2,2.97333834,18.47333834,0.0156859457756644,3.92666166,154.07333834,56.67333834,115.72666166,NA,NA,NA,NA,0.0253035577821177,0.00373609577990999,0.0849112677252271,15,12.02666166,2.97333834,71.9,NA,NA,255.6,100,155.6,34.1,29.7,-0.290990914494355,-0.0429651014689654,-5.20900908550565,-0.976479578840113,-5.5,-1.01944468030908,0.114035313115687,0.0491399374783737,0.0648953756373138,0.0491399374783737,6.3,0.247353910137849,0.312249285775163,-5.18775071422484,-0.970304742830705
1971-10-01,8.3,7.3,88.5,105.5,103.7,34.6,3.4,52.2,5151.2,3264.7,721.7,0.23107,0.22111,0.22108,0.17757,0.2123,0.15498,1190.3,-0.66,5226.3,272.1,0,-1.24,0.57,0.57,1207.6,30.1,17.3,1.2,84.7,4.5,7.3,23.7,134.7,97.2,137.4,6.3,-1.437,5226.3,1207.6,5.99,5.9333333,102.09,5.89,NA,4.7157576,5151.2,1190.3,40.9666667,22.111,23.4403333,-5.9,-0.1,0.5690814,0.5690814,0.5690814,0,-0.0566667000000001,-1.43696305225495,37.5,NA,NA,NA,NA,NA,NA,34.5333333333333,4.36666666666667,30.2,-0.0666666666666667,-5.43333333333333,3.14570578,19.54570578,0.0164208231370243,4.15429422,154.24570578,57.04570578,117.85429422,NA,NA,NA,NA,0.0252877425859027,0.00378055952280938,0.086700831723095,15.6,12.45429422,3.14570578,72.9,NA,NA,261.4,103.2,158.2,34.6,30.1,-0.437477946736117,-0.0654036797446018,-5.46252205326388,-1.49992438880953,-5.9,-1.56532806855413,0.211177149399399,0.0910001615711798,0.120176987828219,0.0910001615711798,6.3,0.3829251687021,0.503102156530319,-5.39689784346968,-1.47432790698295
1972-01-01,8.5,7.8,91.4,119.8,104.6,36.8,3.2,58.5,5246,3307.8,738.9,0.23478,0.22344,0.2234,0.1832,0.22104,0.15844,1230.6,0.52,5264.4,282.2,0,0.39,0.13,0.13,1236,31.8,19.5,1.3,86.4,5,7.8,24.4,141.4,101.4,140.8,6.5,-0.349,5264.4,1236,6.01,5.7666667,107.2,6.0333333,NA,3.5713846,5246,1230.6,41.2666667,22.3443333,23.665,-3.2,-0.4,0.5469088,0.5469088,0.5469088,0,-0.2433333,-0.349517513866721,40,NA,NA,NA,NA,NA,NA,35.1666666666667,4.63333333333333,30.5666666666667,-0.166666666666667,-4.86666666666667,3.53411136,20.13411136,0.0163612151470827,4.26588864,161.53411136,60.13411136,120.66588864,NA,NA,NA,NA,0.0258410531448074,0.0040630586705672,0.0871119778969608,16.3,12.76588864,3.53411136,75.1,NA,NA,282.9,107.2,175.7,36.8,31.8,-0.139541686981961,-0.0219405168210631,-3.06045831301804,-0.470404680643597,-3.2,-0.49234519746466,0.265369460740129,0.120236567410098,0.145132893330031,0.120236567410098,6.5,0.446406023365729,0.59153891669576,-2.60846108330424,-0.372108630054562
1972-04-01,8.7,8,91.9,123.4,106.8,37.1,3.2,59.2,5365,3370.7,757.4,0.23621,0.22473,0.22469,0.1852,0.22327,0.16031,1266.4,0.41,5302.4,286.5,0,0.48,-0.07,-0.07,1252.5,32,21,1.3,88.5,5,8,32.7,144.2,103.3,142.2,6.9,1.18,5302.4,1252.5,6.03,5.7,107.14,6.1433333,NA,4.3047692,5365,1266.4,41.6,22.4733333,23.825,1.9,-0.7,0.5469088,0.5469088,0.5469088,0,-0.33,1.18059746529874,40.9,NA,NA,NA,NA,NA,NA,36.1666666666667,4.83333333333333,31.3,-0.4,-2.4,3.6247296,28.3247296,0.0223663373341756,4.3752704,172.5247296,69.2247296,113.8752704,NA,NA,NA,NA,0.0252684775742262,0.00394819962097284,0.087492103600758,16.7,13.0752704,3.6247296,75.2,NA,NA,289.4,110.8,178.6,37.1,32.1,0.351231838281748,0.0548799747315227,1.54876816171825,1.21614024005055,1.9,1.27102021478207,-0.0316817205003694,-0.014354708759577,-0.0173270117407924,-0.014354708759577,6.9,0.446009984270044,0.428682972529252,2.32868297252925,1.2566655060225
