"","date","gsrpt","gsrpri","gsrcp","gsrs","gsrpt_alt","gsrpri_alt","gsrcp_alt","gsrs_alt"
"1",1970-03-31,14,70.6,3.8,1.1,14,70.6,3.8,1.1
"2",1970-06-30,14.1,72.4,3.7,1.1,14.1,72.4,3.7,1.1
"3",1970-09-30,14.3,74.3,3.8,1.1,14.3,74.3,3.8,1.1
"4",1970-12-31,14.4,76,3.6,1.1,14.4,76,3.6,1.1
"5",1971-03-31,14.7,78.3,4.1,1.1,14.7,78.3,4.1,1.1
"6",1971-06-30,15.6,80.2,4.2,1.2,15.6,80.2,4.2,1.2
"7",1971-09-30,16,82.8,4.4,1.2,16,82.8,4.4,1.2
"8",1971-12-31,17.3,84.7,4.5,1.2,17.3,84.7,4.5,1.2
"9",1972-03-31,19.5,86.4,5,1.3,19.5,86.4,5,1.3
"10",1972-06-30,21,88.5,5,1.3,21,88.5,5,1.3
"11",1972-09-30,21.2,90.4,5.2,1.3,21.2,90.4,5.2,1.3
"12",1972-12-31,21.8,92.5,5.7,1.4,21.8,92.5,5.7,1.4
"13",1973-03-31,21.9,95.1,6,1.4,21.9,95.1,6,1.4
"14",1973-06-30,22.3,96.3,6.1,1.5,22.3,96.3,6.1,1.5
"15",1973-09-30,23.1,98.7,5.9,1.5,23.1,98.7,5.9,1.5
"16",1973-12-31,24,99.6,6.1,1.6,24,99.6,6.1,1.6
"17",1974-03-31,23.3,101,6.3,1.6,23.3,101,6.3,1.6
"18",1974-06-30,24.1,104,6.6,1.6,24.1,104,6.6,1.6
"19",1974-09-30,25.2,106.8,7.3,1.7,25.2,106.8,7.3,1.7
"20",1974-12-31,25.6,107.5,6.5,1.7,25.6,107.5,6.5,1.7
"21",1975-03-31,25.7,109,6.1,1.8,25.7,109,6.1,1.8
"22",1975-06-30,26.5,111.7,6.6,1.8,26.5,111.7,6.6,1.8
"23",1975-09-30,27.2,114.9,8.2,1.9,27.2,114.9,8.2,1.9
"24",1975-12-31,28.2,117.3,8.4,2,28.2,117.3,8.4,2
"25",1976-03-31,29.5,120.9,9.7,2,29.5,120.9,9.7,2
"26",1976-06-30,30.6,123.5,9.6,2.1,30.6,123.5,9.6,2.1
"27",1976-09-30,31.6,126,9.7,2.2,31.6,126,9.7,2.2
"28",1976-12-31,32.6,129.6,9.6,2.3,32.6,129.6,9.6,2.3
"29",1977-03-31,33.5,132.9,10.5,2.5,33.5,132.9,10.5,2.5
"30",1977-06-30,34.7,135.5,11.4,2.7,34.7,135.5,11.4,2.7
"31",1977-09-30,35.9,138.3,11.8,2.9,35.9,138.3,11.8,2.9
"32",1977-12-31,37.3,141.1,12,3,37.3,141.1,12,3
"33",1978-03-31,38.6,143,10.5,3.2,38.6,143,10.5,3.2
"34",1978-06-30,40.1,147.7,12.4,3.3,40.1,147.7,12.4,3.3
"35",1978-09-30,40.9,144.2,12.5,3.5,40.9,144.2,12.5,3.5
"36",1978-12-31,42.1,147.6,13.1,3.6,42.1,147.6,13.1,3.6
"37",1979-03-31,42,150.6,13.7,3.8,42,150.6,13.7,3.8
"38",1979-06-30,42.1,152.6,13.8,3.9,42.1,152.6,13.8,3.9
"39",1979-09-30,45.4,155.6,13.6,3.9,45.4,155.6,13.6,3.9
"40",1979-12-31,46.6,159,13.2,4,46.6,159,13.2,4
