date,unrate,gdp,socialsec,medicare,ui_state,ui_euc,workerscomp,vabenefits,pensiondisability,snap,ssi,refundabletaxcredits,medicaid_state,statelocalbenefits,statedisability,stateworkerscomp,statessi,federalsocialbenefits,ui
1/1/60,5.1,9.3,10760,,2208,,60,3708,3340,,,,,4424,124,288,1928,18880,3172
4/1/60,5.2,-2.1,11000,,2520,,60,3704,3368,,,,,4500,132,288,1944,19468,2704
7/1/60,5.5,2,11252,,2856,,60,3756,3488,,,,,4620,144,300,1956,20120,2616
10/1/60,6.3,-5,11508,,3324,,60,3812,3572,,,,,4700,152,300,1960,21000,2920
1/1/61,6.8,2.7,11952,,3724,,60,3864,3644,0,,,,4852,156,312,1940,22660,2568
4/1/61,7,7,12336,,4748,,60,3836,3636,0,,,,4920,160,316,1908,23428,2824
7/1/61,6.8,7.9,12796,,4044,,64,3796,3636,12,,,,5032,156,324,1900,23472,3204
10/1/61,6.2,8.1,13372,,3408,,64,3812,3672,16,,,,5124,168,328,1876,22868,3720
1/1/62,5.6,7.3,13768,,3188,,64,3808,3680,12,,,,5220,172,336,1904,23300,4168
4/1/62,5.5,3.7,14136,,2824,,68,3788,3680,16,,,,5312,180,348,1920,23148,5244
7/1/62,5.6,5,14472,,2728,,64,3788,3700,12,,,,5348,188,348,1924,23504,4444
10/1/62,5.5,1.3,14816,,2732,,68,3980,3912,16,,,,5480,200,360,1976,24060,3748
1/1/63,5.8,4.4,14912,,2856,,68,3900,3832,20,,,,5572,212,360,1996,25280,3508
4/1/63,5.7,4.6,15168,,2792,,68,3928,3872,24,,,,5664,224,364,2004,24188,3124
7/1/63,5.5,9.1,15392,,2692,,68,3924,3868,28,,,,5728,236,372,2024,24348,3040
10/1/63,5.6,2.6,15508,,2712,,72,3952,3912,32,,,,5824,244,372,2028,24760,3056
1/1/64,5.5,8.7,15728,,2604,,72,3968,3928,28,,,,5976,248,372,2028,25520,3176
4/1/64,5.2,4.4,15912,,2608,,72,3968,3936,28,,,,6088,248,384,2048,24948,3088
7/1/64,5,6.4,16160,,2448,,72,3996,3956,28,,,,6196,248,384,2056,25068,2980
10/1/64,5,1.2,16272,,2364,,72,4016,3996,28,,,,6356,252,396,2072,25116,3000
1/1/65,4.9,10,16492,,2244,,72,4092,4080,28,,,,6464,252,396,2084,26236,2888
4/1/65,4.7,5.1,16680,,2200,,72,4180,4172,44,,,,6612,260,396,2108,25728,2888
7/1/65,4.4,9.2,20148,,2132,,76,4248,4236,48,,,,6720,264,408,2108,29176,2712
10/1/65,4.1,9.5,18948,,2020,,76,4252,4248,60,,,,6808,268,408,2092,27908,2616
1/1/66,3.9,10.1,19296,,1884,,76,4384,4380,72,,,1552,7032,268,416,2124,28660,2488
4/1/66,3.8,1.4,19736,,1616,,80,3752,3744,80,,,1868,7508,268,428,2168,28264,2428
7/1/66,3.8,3.4,19912,1172,1764,,84,3728,3628,88,,,1884,7724,264,440,2236,29788,2340
10/1/66,3.7,3.3,20200,2860,1760,,88,4620,4400,96,,,2220,8220,268,448,2276,32820,2204
1/1/67,3.8,3.6,20668,3792,1980,,88,4704,4428,112,,,2220,8368,272,456,2296,35560,2056
4/1/67,3.8,0.2,21056,4528,2188,,92,4696,4408,120,,,2548,8948,280,468,2340,36060,1784
7/1/67,3.8,3.8,21272,5068,2120,,96,4732,4444,148,,,2916,9524,288,472,2376,36884,1916
10/1/67,3.9,3.1,21492,5408,2008,,96,4880,4504,176,,,3196,10088,300,480,2428,37576,1896
1/1/68,3.7,8.4,22528,5608,2076,,96,5000,4560,180,,,3564,10616,300,480,2424,39304,2124
4/1/68,3.6,6.9,24836,5780,1972,,104,5016,4564,184,,,4064,11364,312,492,2372,41832,2348
7/1/68,3.5,3.1,25376,5976,1988,,108,5152,4620,208,,,4056,11680,328,496,2424,42772,2288
10/1/68,3.4,1.6,25652,6196,1996,,108,5196,4624,220,,,4304,12124,328,508,2456,43532,2188
1/1/69,3.4,6.4,25956,6428,2056,,112,5496,4864,240,,,4440,12616,348,516,2508,44568,2276
4/1/69,3.4,1.2,26280,6632,1964,,120,5764,5104,244,,,4392,12832,352,528,2576,45348,2144
7/1/69,3.6,2.7,26548,6800,2112,,120,5900,5164,272,,,4584,13404,360,532,2656,46124,2192
10/1/69,3.6,-1.9,26744,6920,2268,,132,6032,5228,300,,,4788,14016,368,540,2768,46984,2216
1/1/70,4.2,-0.6,27088,7020,2600,,136,6064,5268,584,,,4980,14704,388,536,2844,48276,2284
4/1/70,4.8,0.6,34148,7164,3544,,144,6436,5300,980,,,5320,15636,396,540,2912,57476,2188
7/1/70,5.2,3.7,31952,7324,4164,,156,6744,5500,1256,,,5596,16552,404,540,3000,56948,2332
10/1/70,5.8,-4.2,32332,7508,4936,,152,7104,5664,1592,,,5924,17512,404,544,3056,59844,2504
1/1/71,5.9,11.3,32820,7760,5224,,164,7368,5788,1620,,,6208,18324,400,560,3112,61024,2880
