State,Enhanced Benefit Amount
Alabama,$300
Alaska,$300
Arizona,$300
Arkansas,$300
California,$300
Colorado,$300
Connecticut,$300
Delaware,$300
District of Columbia,$300
Florida,$300
Georgia,$300
Hawaii,$300
Idaho,$300
Illinois,$300
Indiana,$300
Iowa,$300
Kansas,$400
Kentucky,$400
Louisiana,$300
Maine,$300
Maryland,$300
Massachusets,$300
Michigan,$300
Minnesota,$300
Mississippi,$300
Missouri,$300
Montana,$400
Nebraska,Has not applied
Nevada,$300
New Hampshire,$300
New Jersey,$300
New Mexico,$300
New York,$300
North Carolina,$300
North Dakota,$300
Ohio,$300
Oklahoma,$300
Oregon,$300
Pennsylvania,$300
Rhode Island,$300
South Carolina,$300
South Dakota,$0
Tennessee,$300
Texas,$300
Utah,$300
Vermont,$400
Virginia,$300
Washington,$300
West Virginia,$400
Wisconsin,$300
Wyoming,$300
