ID,Value
Alabama,Started
Georgia,null
Iowa,Mid Sept.
Oklahoma,null
Pennsylvania,Mid Sept.
Nebraska,null
Missouri,Started
Nevada,Late Sept.
Florida,null
Arkansas,null
Texas,Started
Utah,Mid Sept.
New Mexico,Mid Sept.
Kansas,null
Mississippi,Mid Sept.
Minnesota,null
Wisconsin,null
Tennessee,Started
Virginia,null
Arizona,Started
Kentucky,Early Sept.
South Dakota,null
Oregon,null
Michigan,Mid Sept.
California,Early Sept.
Ohio,Mid to Late Sept.
New York,null
Indiana,Mid Sept.
Illinois,null
North Carolina,null
Maine,null
North Dakota,null
Colorado,Mid Sept.
Alaska,Late October
Wyoming,null
Montana,Started
Hawaii,null
Idaho,null
Maryland,Late Sept.
West Virginia,null
South Carolina,null
Washington,null
New Jersey,October
Vermont,null
Louisiana,Started
Rhode Island,Mid Sept.
New Hampshire,Early Sept.
Connecticut,Mid Sept.
Massachusetts,Started
District of Columbia,null
Delaware,null
