State,FEMA Approved,Enhanced Benefit Amount,Program Start
Alabama,8/21/2020,$300 ,Started
Alaska,8/23/2020,$300 ,Late October
Arizona,8/15/2020,$300 ,Started
Arkansas,8/25/2020,$300 ,NA
California,8/22/2020,$300 ,Started
Colorado,8/16/2020,$300 ,Mid September
Connecticut,8/24/2020,$300 ,Mid September
Delaware,9/2/2020,$300 ,NA
District of Columbia,9/8/2020,$300 ,NA
Florida,8/29/2020,$300 ,NA
Georgia,8/23/2020,$300 ,NA
Hawaii,8/29/2020,$300 ,NA
Idaho,8/19/2020,$300 ,NA
Illinois,9/1/2020,$300 ,NA
Indiana,8/21/2020,$300 ,Mid September
Iowa,8/15/2020,$300 ,Mid September
Kansas,9/7/2020,$400 ,NA
Kentucky,8/21/2020,$400 ,Started
Louisiana,8/15/2020,$300 ,Started
Maine,8/25/2020,$300 ,NA
Maryland,8/20/2020,$300 ,Late September
Massachusets,8/21/2020,$300 ,Started
Michigan,8/21/2020,$300 ,Mid September
Minnesota,8/29/2020,$300 ,NA
Mississippi,8/22/2020,$300 ,Mid September
Missouri,8/16/2020,$300 ,Started
Montana,8/18/2020,$400 ,Started
Nebraska,Applied,Applied,NA
Nevada,Applied,$300 ,Late September
New Hampshire,8/24/2020,$300 ,Started
New Jersey,9/4/2020,$300 ,October
New Mexico,8/15/2020,$300 ,Mid September
New York,8/23/2020,$300 ,NA
North Carolina,8/21/2020,$300 ,NA
North Dakota,8/31/2020,$300 ,NA
Ohio,8/26/2020,$300 ,Mid to late september
Oklahoma,8/18/2020,$300 ,NA
Oregon,8/28/2020,$300 ,NA
Pennsylvania,8/24/2020,$300 ,Mid September
Rhode Island,8/22/2020,$300 ,Mid September
South Carolina,9/1/2020,$300 ,NA
South Dakota,Will not apply,$0 ,NA
Tennessee,8/22/2020,$300 ,Started
Texas,8/21/2020,$300 ,Started
Utah,8/16/2020,$300 ,Mid September
Vermont,8/22/2020,$400 ,NA
Virginia,8/26/2020,$300 ,NA
Washington,8/24/2020,$300 ,NA
West Virginia,8/27/2020,$400 ,NA
Wisconsin,9/1/2020,$300 ,NA
Wyoming,8/28/2020,$300 ,NA
