,date,fim_bars,fim_bars_ma,state_local_cont,federal_cont,taxes_transfers_cont,recession,state_health_outlays,state_social_benefits,state_noncorp_taxes,state_corporate_taxes,federal_health_outlays,federal_social_benefits,federal_noncorp_taxes,federal_corporate_taxes,health_outlays,social_benefits,noncorp_taxes,corporate_taxes,federal_nom,federal_cgrants,federal_igrants,pi_federal,state_local_nom,pi_state_local,pi_state_local_c,pi_state_local_i,gdp,gdppot,gdppoth,pi_gdp,pce,pi_pce,federal_cgrants_cont,federal_igrants_cont,federal_cont_0,state_local_cont_0,purchases_cont,health_outlays_net,social_benefits_net,noncorp_taxes_net,corporate_taxes_net,state_health_outlays_net,state_social_benefits_net,state_noncorp_taxes_net,state_corporate_taxes_net,federal_health_outlays_net,federal_social_benefits_net,federal_noncorp_taxes_net,federal_corporate_taxes_net,health_outlays_net_xmpc,state_health_outlays_net_xmpc,federal_health_outlays_net_xmpc,social_benefits_net_xmpc,state_social_benefits_net_xmpc,federal_social_benefits_net_xmpc,noncorp_taxes_net_xmpc,state_noncorp_taxes_net_xmpc,federal_noncorp_taxes_net_xmpc,corporate_taxes_net_xmpc,state_corporate_taxes_net_xmpc,federal_corporate_taxes_net_xmpc,transfers_net_taxes,state_transfers_net_taxes,federal_transfers_net_taxes,state_taxes_transfers_cont,federal_taxes_transfers_cont,health_cont,social_benefits_cont,noncorp_cont,corporate_cont
193,3/31/2018,-0.002160196,-0.000935947,-8.18395E-05,-6.48192E-05,-0.002013538,0,-5.68E-14,8.53E-14,-2.27374E-13,0,0,-2.27374E-13,0,0,0,2.27374E-13,-9.09495E-13,0,0,-2.84E-14,0,4.86E-17,0,1.73E-18,5.20E-18,0,0,2.10406E-06,2.10406E-06,4.34E-18,0,-1.73E-18,-7.33289E-06,-2.76497E-06,-5.47213E-05,-9.19374E-05,-0.000146659,-0.00270435,-0.0032533,-0.010169351,-0.000615017,-0.00039209,-0.000285311,-0.003679373,-0.000117196,-0.002312261,-0.002967989,-0.006489978,-0.000497611,0.017098478,0.002511192,0.014587286,0.020924362,0.001788679,0.019135683,-0.124950124,-0.044474203,-0.080476847,-0.013341347,-0.00197817,-0.011364325,-0.100268632,-0.042152502,-0.058118203,-0.000846483,-0.001167097,0.000343362,0.000420191,-0.002509177,-0.000267913
194,6/30/2018,-0.004312586,-0.003157054,-0.000914436,-0.000721579,-0.002676571,0,0,2.84E-14,-2.27374E-13,0,0,0,0,0,0,0,0,0,0,2.84E-14,0,1.73E-18,0,-3.64E-17,0,-3.30E-17,0,2.34192E-05,2.34192E-05,3.47E-18,0,1.73E-18,-7.87279E-05,-3.04257E-05,-0.000612425,-0.00102359,-0.001636015,-0.030444914,-0.037114692,-0.113344072,-0.004543318,-0.004223787,-0.003206084,-0.041147472,-0.00128337,-0.026221127,-0.033908608,-0.072194258,-0.003259948,-0.015392852,-0.00217694,-0.013215912,-0.01861903,-0.001644822,-0.016974209,-0.088752686,-0.031564767,-0.057188912,-0.012156032,-0.00178965,-0.01036753,-0.134920601,-0.037176179,-0.097746563,-0.000737506,-0.001939108,-0.000305365,-0.000369367,-0.001760687,-0.000241153
195,9/30/2018,-0.006409157,-0.004380834,-0.002366144,-0.001869247,-0.002173765,0,-2.84E-14,5.68E-14,0,0,0,-4.54747E-13,0,0,0,2.27374E-13,0,0,0,5.68E-14,0,0,0,1.73E-18,1.73E-18,0,0,6.07117E-05,6.07117E-05,0,0,8.67E-19,-0.000204633,-7.75409E-05,-0.001587073,-0.002648319,-0.004235392,-0.080279082,-0.096398039,-0.295156006,-0.012688746,-0.01157335,-0.008384286,-0.106925448,-0.00363056,-0.068705732,-0.088007682,-0.188236629,-0.009058186,-0.035733777,-0.005127477,-0.0306063,-0.043081145,-0.003773412,-0.039306367,-0.022792245,-0.007863987,-0.014928523,-0.009853728,-0.001404686,-0.00844973,-0.111460895,-0.018169562,-0.093290919,-0.000354352,-0.001819405,-0.000696898,-0.00084019,-0.000444506,-0.000192172
196,12/31/2018,-0.004250379,-0.00428308,-0.001708522,-0.00134778,-0.001194077,0,2.84E-14,-2.84E-14,0,0,0,0,4.54747E-13,0,0,0,0,0,0,2.84E-14,0,0,0,-5.20E-18,3.47E-18,1.73E-18,0,4.37665E-05,4.37665E-05,2.60E-18,0,4.34E-19,-0.000143502,-5.80271E-05,-0.00114625,-0.001910052,-0.003056302,-0.058629598,-0.069579976,-0.214293896,-0.009466693,-0.008196896,-0.006118556,-0.077169086,-0.002630366,-0.050432703,-0.06346142,-0.137124809,-0.006836327,-0.038713038,-0.005486878,-0.03322616,-0.046427851,-0.004048703,-0.042377782,0.030447124,0.011196498,0.019250502,-0.007248392,-0.000978455,-0.006270625,-0.061942157,0.000682462,-0.062624066,1.3156E-05,-0.001207223,-0.000746283,-0.000895003,0.000586938,-0.000139729
197,3/31/2019,-0.001466958,-0.00410977,-0.000220762,-0.00017621,-0.001069985,0,-2.84E-14,8.53E-14,0,0,0,0,0,0,-2.27374E-13,0,0,0,0,0,0,-2.60E-17,0,4.34E-19,-3.47E-18,8.67E-19,0,5.69019E-06,5.69019E-06,-3.90E-18,0,-2.17E-19,-1.94339E-05,-7.36677E-06,-0.000149409,-0.000247563,-0.000396972,-0.007694281,-0.009086103,-0.028032744,-0.001160231,-0.001089285,-0.000801748,-0.010019864,-0.000335721,-0.006604996,-0.008284355,-0.01801288,-0.000824509,-0.039835772,-0.005643747,-0.034192025,-0.047740232,-0.004164902,-0.043573964,0.03673292,0.013317711,0.023415171,-0.005057762,-0.000631234,-0.004426596,-0.055900846,0.002877829,-0.058777415,5.50839E-05,-0.001125045,-0.000762487,-0.000913785,0.000703096,-9.68095E-05
198,6/30/2019,0.002898444,-0.002307012,0.001859134,0.001477862,-0.000438552,0,-2.84E-14,2.84E-14,-2.27374E-13,0,0,0,0,0,0,-2.27374E-13,-9.09495E-13,0,0,2.84E-14,0,8.67E-19,0,4.68E-17,1.73E-18,1.39E-17,0,-4.77903E-05,-4.77903E-05,0,0,4.34E-18,0.00015044,6.37835E-05,0.001263639,0.002073357,0.003336996,0.06619915,0.079977099,0.240968348,0.009601075,0.008403593,0.006757551,0.085907878,0.003072918,0.057795557,0.073219548,0.155055691,0.006528158,-0.018090858,-0.002802586,-0.015288272,-0.021394579,-0.001923084,-0.019470129,0.020254818,0.007429172,0.012826181,-0.003901669,-0.000514918,-0.003386819,-0.023132289,0.002188583,-0.025319038,4.14921E-05,-0.000480009,-0.000342974,-0.000405608,0.000383999,-7.39695E-05
199,9/30/2019,0.004884043,0.000516288,0.002474899,0.001966584,0.00044256,0,2.84E-14,-5.68E-14,-2.27374E-13,0,0,0,0,0,0,0,-9.09495E-13,0,0,-5.68E-14,0,-4.34E-19,0,-2.60E-18,4.34E-18,-2.60E-18,0,-6.33184E-05,-6.33184E-05,8.67E-19,0,-3.04E-18,0.000205241,8.17371E-05,0.001679605,0.002761877,0.004441483,0.090228712,0.106324248,0.322993462,0.013461491,0.012045185,0.009029203,0.117075711,0.004217005,0.078183527,0.097288713,0.205924083,0.009244486,0.020273396,0.002511584,0.017761812,0.024217935,0.001994951,0.02222156,-0.017925257,-0.006416076,-0.011509357,-0.002955159,-0.000452859,-0.002502754,0.023610915,-0.0023624,0.025971261,-4.42805E-05,0.000486802,0.000380002,0.000453938,-0.000335989,-5.53911E-05
200,12/31/2019,0.129067711,0.03384581,0.276062847,-0.120821469,-0.026173667,NA,-1.307592318,0.390645373,-15.73210941,-1.467967656,-5.910857129,-6.953696773,4.16867276,-1.676717232,-7.218449447,-6.5630514,-11.66343665,-3.144684888,0.658239862,-6.204478763,-1.404198303,1.12282E-05,5.559683022,-0.000838193,0.000349055,-0.006120849,-35.04349202,-0.001572992,-5.22401E-05,-0.001520752,-40.01568856,-0.001450596,-0.11615633,-0.01797793,0.013312791,0.141928587,0.155241378,-5.03317493,-4.027615986,-3.963954547,-2.849076954,-1.003089094,0.606753258,-12.97305193,-1.367878747,-4.030085836,-4.634519527,9.109247667,-1.481198206,-1.098999304,-0.22133916,-0.877660143,-0.866340167,0.139891109,-1.006266515,0.462116993,1.551899148,-1.101800438,0.093606926,0.04536735,0.048239542,-1.409615551,1.515818447,-2.937487554,0.028145637,-0.054543113,-0.020406161,-0.016086158,0.008580564,0.001738088
201,3/31/2020,-0.182719949,-0.011467438,0.122957981,-0.121136139,-0.184541791,NA,-1.395509091,1.927884985,-17.74208803,-1.549711778,-3.37685736,-49.41451104,7.515568363,-5.407030121,-4.772366451,-47.48662605,-10.22651966,-6.9567419,0.588221117,-11.7352233,-2.06621891,0.000173568,9.452201642,0.001650848,0.001650848,0.001650848,-57.15697209,-0.000150795,-0.000130251,-2.05441E-05,-19.43457879,-0.00020816,-0.105174367,-0.013843774,-0.002117998,0.00393984,0.001821842,3.018852006,-40.27870372,3.309558909,-3.709872631,-0.005226505,1.582098501,-1.220621346,-0.043896582,3.024078511,-41.86080222,4.429153527,-3.66597605,-0.418026389,-0.222270035,-0.195756354,-9.92700413,0.496043665,-10.42308303,0.083739371,1.70517749,-1.621332815,0.218167595,0.046966933,0.171200628,-10.04312355,2.025918054,-12.06897158,0.03743837,-0.221978857,-0.007369268,-0.182798535,0.001492003,0.004134009
202,6/30/2020,-0.370839169,-0.104901841,0.054881974,-0.115767172,-0.309953971,NA,-1.483425864,2.164745725,-16.35029672,-1.508525443,-0.842857591,-80.49243942,10.86246397,-9.137343011,-2.326283455,-78.3276937,-5.487832755,-10.64586845,-3.712253856,-13.51980749,-2.296939581,0.000392051,9.439684872,-0.000452182,-0.000452182,-0.000452182,-39.2750184,-0.000288019,-0.000154994,-0.000133026,-26.08755313,-0.000260325,-0.028105854,-0.002983453,-0.084677864,0.023792666,-0.060885198,3.110525115,-29.68168732,7.008809577,-3.534525556,0.01092626,0.278785104,2.335711406,0.083857823,3.099598855,-29.96047243,4.673098171,-3.618383379,0.266946953,-0.221702435,0.488649388,-16.62337863,0.557249865,-17.18066373,-1.001955695,0.644040157,-1.639881391,0.336927196,0.044337493,0.292589668,-17.02146017,1.02392508,-18.03930606,0.018722122,-0.328563769,0.00517502,-0.302997407,-0.01843315,0.006301566
