year,quarter,impact,recession,total,federal,state_local,consumption,projection
1999,Q4,-0.444432116,0,-0.054840461,0.196569463,0.166183662,-0.417593586,0
2000,Q1,-0.745966312,0,-1.876891212,-1.286750847,0.034480324,-0.624620688,0
2000,Q2,-0.60666306,0,-0.295928139,0.369447928,-0.386505528,-0.278870539,0
2000,Q3,-0.834666827,0,-1.111007497,-0.495682234,-0.522681663,-0.092643601,0
2000,Q4,-0.875095256,0,-0.216554174,-0.191699238,-0.041137062,0.016282126,0
2001,Q1,-0.235133079,1,0.682957494,0.448702543,0.029575763,0.204679188,0
2001,Q2,0.079767932,1,0.963675907,0.049821724,0.574927774,0.338926409,0
2001,Q3,0.538158542,1,0.722554941,0.012398927,-0.718570346,1.42872636,0
2001,Q4,1.061990189,1,1.878772412,-0.167530736,0.779016658,1.267286489,0
2002,Q1,1.463066906,0,2.287264365,0.922460545,-0.186863627,1.551667448,0
2002,Q2,1.705816251,0,1.934673284,0.585415276,-0.539555747,1.888813755,0
2002,Q3,1.886566286,0,1.445555083,0.155634904,-0.279680658,1.569600837,0
2002,Q4,1.730150057,0,1.253107496,0.07220124,-0.041880491,1.222786747,0
2003,Q1,1.358154523,0,0.799282228,-0.016322214,-0.398128071,1.213732512,0
2003,Q2,1.193960571,0,1.277897477,1.590194279,-1.388946959,1.076650158,0
2003,Q3,0.96775254,0,0.540722958,-0.317063163,-0.025085757,0.882871877,0
2003,Q4,0.830577131,0,0.704405862,0.559740673,-0.585025262,0.729690451,0
2004,Q1,0.679688457,0,0.195727531,-0.488967062,0.354618963,0.330075631,0
2004,Q2,0.352964884,0,-0.028996813,-0.134844897,-0.151258245,0.257106329,0
2004,Q3,0.114089393,0,-0.414779008,-0.008918721,-0.334117944,-0.071742343,0
2004,Q4,-0.228211824,0,-0.664799006,-0.079750292,-0.446940295,-0.138108419,0
2005,Q1,-0.443985894,0,-0.66736875,0.126431513,-0.273477222,-0.520323041,0
2005,Q2,-0.694636689,0,-1.031599993,-0.369469366,-0.146436017,-0.51569461,0
2005,Q3,-0.775305259,0,-0.737453286,0.07906732,-0.270210352,-0.546310254,0
2005,Q4,-0.817390219,0,-0.833138849,-0.245505849,-0.099476184,-0.488156816,0
2006,Q1,-0.665490108,0,-0.059768305,0.671170888,-0.126807878,-0.604131316,0
2006,Q2,-0.659933365,0,-1.009373021,-0.435130744,0.059085961,-0.633328237,0
2006,Q3,-0.665581158,0,-0.760044455,-0.515464118,0.035451784,-0.28003212,0
2006,Q4,-0.460935152,0,-0.014554828,-0.030938667,0.315812613,-0.299428774,0
2007,Q1,-0.582487017,0,-0.545975766,-0.229425396,0.020440313,-0.336990683,0
2007,Q2,-0.315609124,0,0.058138552,0.585170687,-0.245294235,-0.2817379,0
2007,Q3,-0.137175461,0,-0.046309801,-0.008488355,0.013568065,-0.051389511,0
2007,Q4,-0.053490626,1,0.320184512,0.104913419,0.172569436,0.042701657,0
2008,Q1,0.077828208,1,-0.020700432,0.228794622,-0.37764695,0.128151896,0
2008,Q2,0.71847238,1,2.62071524,0.478414866,-0.140632665,2.282933039,0
2008,Q3,1.077600569,1,1.390202958,0.101034608,0.208152543,1.081015808,0
2008,Q4,1.376182675,1,1.514512934,0.515173041,-0.355789378,1.355129272,0
2009,Q1,2.243653001,1,3.449180873,0.524035234,0.044207191,2.880938448,0
2009,Q2,2.300736802,1,2.849050444,1.917663343,-0.971957157,1.903344258,0
2009,Q3,2.64700245,0,2.775265548,-0.24189764,0.231892246,2.785270942,0
2009,Q4,2.869887314,0,2.406052391,0.648841787,-0.724839643,2.482050247,0
2010,Q1,2.413120774,0,1.622114714,0.648632633,-1.170419193,2.143901275,0
2010,Q2,2.014064826,0,1.25282665,0.149623306,-0.074640168,1.177843512,0
2010,Q3,1.402558818,0,0.329241518,0.041358141,-0.828337391,1.116220768,0
2010,Q4,0.87203151,0,0.283943157,-0.452927734,-0.29378591,1.030656802,0
2011,Q1,0.097735417,0,-1.475069657,-0.432449247,-0.833874193,-0.208746217,0
2011,Q2,-0.537433519,0,-1.287849095,-0.088704648,-0.7171014,-0.482043046,0
2011,Q3,-1.149704468,0,-2.119842276,-2.101515415,0.671958997,-0.690285859,0
2011,Q4,-1.492239981,0,-1.086198896,-0.316060542,-0.017576029,-0.752562326,0
2012,Q1,-1.477654462,0,-1.41672758,0.244311681,-0.836339712,-0.824699549,0
2012,Q2,-1.474833863,0,-1.276566701,-0.561824116,-0.156268345,-0.55847424,0
2012,Q3,-1.146154185,0,-0.805123562,-0.247710574,-0.158709336,-0.398703652,0
2012,Q4,-1.256942679,0,-1.529352872,-0.728092981,-0.29249633,-0.508763562,0
2013,Q1,-1.343635157,0,-1.763497493,-1.015370925,0.062960936,-0.811087504,0
2013,Q2,-1.346800997,0,-1.289230059,-0.125477984,-0.308610332,-0.855141743,0
2013,Q3,-1.42888984,0,-1.133478935,-0.854211419,0.152401777,-0.431669293,0
2013,Q4,-1.406301695,0,-1.439000295,-0.884391674,-0.068980059,-0.485628562,0
2014,Q1,-1.265095085,0,-1.198671052,-0.11849221,-0.410059121,-0.67011972,0
2014,Q2,-1.151057211,0,-0.833078561,-0.193794788,-0.132999949,-0.506283824,0
2014,Q3,-0.912095587,0,-0.177632442,0.175513391,0.021134748,-0.374280582,0
2014,Q4,-0.709748467,0,-0.629611815,-0.709989682,0.321771424,-0.241393556,0
2015,Q1,-0.382359221,0,0.110885935,0.078507399,-0.015688896,0.048067432,0
2015,Q2,-0.069534215,0,0.418221462,-0.180194843,0.586548936,0.011867369,0
2015,Q3,-0.017273838,0,0.031409068,-0.181243518,0.190796066,0.02185652,0
2015,Q4,0.085223282,0,-0.219623336,0.312530802,-0.507353608,-0.02480053,0
2016,Q1,0.123952859,0,0.265804243,-0.459000855,0.730640635,-0.005835536,0
2016,Q2,-0.103313084,0,-0.490842311,-0.040238107,-0.395394949,-0.055209255,0
2016,Q3,-0.171193619,0,-0.240113071,0.090999389,-0.209804572,-0.121307888,0
2016,Q4,-0.200323791,0,-0.336144025,-0.154974467,-0.104435038,-0.07673452,0
2017,Q1,-0.362260375,0,-0.381942091,-0.153430519,-0.252775871,0.024264299,0
2017,Q2,-0.296698423,0,-0.228594505,-0.230700242,-0.04038586,0.042491597,0
2017,Q3,-0.347025485,0,-0.441421317,0.012213535,-0.467545438,0.013910586,0
2017,Q4,-0.229117911,0,0.135486271,-0.003002327,0.144186352,-0.005697754,0
2018,Q1,-0.093966256,0,0.158664528,0.286778555,-0.323958574,0.195844547,0
2018,Q2,0.053044433,0,0.35944825,-0.142183866,0.252265042,0.249367074,0
2018,Q3,0.219801022,0,0.225605041,0.206040214,-0.085655848,0.105220675,0
2018,Q4,0.101822718,0,-0.336426945,-0.443185928,-0.070793678,0.177552661,0
2019,Q1,0.151451042,0,0.357177822,-0.27526893,0.144406015,0.488040737,0
2019,Q2,0.150164285,0,0.354301225,-0.106410403,-0.063456694,0.524168321,1
2019,Q3,0.204537483,0,0.443097833,-0.083121447,-0.070281967,0.596501248,1
2019,Q4,0.382454899,0,0.375242715,-0.119691272,-0.09036355,0.585297536,1
2020,Q1,0.279081802,0,-0.056314565,-0.136308942,-0.101954557,0.181948934,1
2020,Q2,0.172942706,0,-0.070255159,-0.120035764,-0.06719405,0.116974655,1
2020,Q3,0.029583286,0,-0.130339847,-0.188285603,-0.064581278,0.122527034,1
2020,Q4,-0.096738629,0,-0.130044943,-0.21144039,-0.049181021,0.130576469,1
2021,Q1,-0.105793154,0,-0.092532667,-0.1587901,-0.05732456,0.123581993,1
