year,quarter,impact,recession,total,federal,state_local,consumption,projection
1999,Q4,-0.434858677,0,-0.03079836,0.231813694,0.138447684,-0.401059737,0
2000,Q1,-0.736261201,0,-1.889019241,-1.311591661,0.038839896,-0.616267475,0
2000,Q2,-0.602886046,0,-0.309307098,0.470710894,-0.510732983,-0.26928501,0
2000,Q3,-0.832259433,0,-1.099913033,-0.75423041,-0.260695329,-0.084987294,0
2000,Q4,-0.878325124,0,-0.215061124,0.037946777,-0.279058828,0.026050927,0
2001,Q1,-0.231733936,1,0.697345511,0.417669977,0.034633791,0.245041743,0
2001,Q2,0.107318754,1,1.046903662,0.385423307,0.263416584,0.398063771,0
2001,Q3,0.592787999,1,0.841963945,-0.324605155,-0.344760065,1.511329165,0
2001,Q4,1.120505081,1,1.895807204,0.123098901,0.533565866,1.239142436,0
2002,Q1,1.512619612,0,2.265803635,1.052245127,-0.296579144,1.510137652,0
2002,Q2,1.724343836,0,1.893800559,0.318567665,-0.259599206,1.834832101,0
2002,Q3,1.867579248,0,1.414905592,-0.0853262,-0.023864849,1.524096641,0
2002,Q4,1.711575078,0,1.271790525,0.345685321,-0.257473655,1.183578859,0
2003,Q1,1.339171407,0,0.776188952,0.040677665,-0.461948342,1.197459629,0
2003,Q2,1.196620516,0,1.323596996,1.665594538,-1.434900815,1.092903272,0
2003,Q3,0.972818401,0,0.519697133,-0.732342359,0.399856528,0.852182964,0
2003,Q4,0.821906816,0,0.668144183,0.50926517,-0.546989131,0.705868144,0
2004,Q1,0.655668642,0,0.111236258,-0.404120088,0.233569498,0.281786849,0
2004,Q2,0.294075633,0,-0.122775041,-0.281371461,-0.035673936,0.194270357,0
2004,Q3,0.029804672,0,-0.537386712,0.339877025,-0.731441606,-0.145822131,0
2004,Q4,-0.317034242,0,-0.719211472,-0.355031442,-0.230744438,-0.133435592,0
2005,Q1,-0.503090145,0,-0.632987356,0.021683885,-0.158174143,-0.496497099,0
2005,Q2,-0.728991472,0,-1.026380347,-0.270157986,-0.276481888,-0.479740473,0
2005,Q3,-0.780927806,0,-0.745132047,-0.107172863,-0.124918,-0.513041184,0
2005,Q4,-0.816026254,0,-0.859605265,-0.276795014,-0.130264595,-0.452545657,0
2006,Q1,-0.679521032,0,-0.086966469,0.68778691,-0.168366165,-0.606387214,0
2006,Q2,-0.703588718,0,-1.122651093,-0.490503206,0.03320395,-0.665351837,0
2006,Q3,-0.721087534,0,-0.815127309,-0.662788989,0.139551434,-0.291889755,0
2006,Q4,-0.524055892,0,-0.071478698,0.040532616,0.202729765,-0.314741079,0
