date,fim_bars,fim_bars_ma,state_local_cont,federal_cont,taxes_transfers_cont,subsidies_cont,recession,state_health_outlays,state_social_benefits,state_noncorp_taxes,state_corporate_taxes,state_subsidies,federal_health_outlays,federal_social_benefits,federal_noncorp_taxes,federal_corporate_taxes,federal_subsidies,health_outlays,social_benefits,noncorp_taxes,corporate_taxes,subsidies,federal_nom,federal_cgrants,federal_igrants,pi_federal,state_local_nom,pi_state_local,pi_state_local_c,pi_state_local_i,gdp,gdppot,gdppoth,pi_gdp,pce,pi_pce,federal_cgrants_cont,federal_igrants_cont,federal_cont_0,state_local_cont_0,purchases_cont,subsidies_net,health_outlays_net,social_benefits_net,noncorp_taxes_net,corporate_taxes_net,state_subsidies_net,state_health_outlays_net,state_social_benefits_net,state_noncorp_taxes_net,state_corporate_taxes_net,federal_subsidies_net,federal_health_outlays_net,federal_social_benefits_net,federal_noncorp_taxes_net,federal_corporate_taxes_net,health_outlays_net_xmpc,state_health_outlays_net_xmpc,federal_health_outlays_net_xmpc,social_benefits_net_xmpc,state_social_benefits_net_xmpc,federal_social_benefits_net_xmpc,noncorp_taxes_net_xmpc,state_noncorp_taxes_net_xmpc,federal_noncorp_taxes_net_xmpc,corporate_taxes_net_xmpc,state_corporate_taxes_net_xmpc,federal_corporate_taxes_net_xmpc,subsidies_net_xmpc,state_subsidies_net_xmpc,federal_subsidies_net_xmpc,transfers_net_taxes,state_transfers_net_taxes,federal_transfers_net_taxes,state_taxes_transfers_cont,federal_taxes_transfers_cont,health_cont,social_benefits_cont,noncorp_cont,corporate_cont,state_subsidies_cont,federal_subsidies_cont
3/31/1970,NA,NA,NA,NA,43,43,1,2.31379962,12.3,85.7,3.8,0,9.68620038,38.7,153.6,27,4.7,12,51,239.3,30.7,4.7,133.6,13.91379962,5.576,0.01320785,114.3,0.021158617,0.019914543,0.025141159,1051.2,0.022446819,0.008024194,0.014422625,631.7,0.011062591,NA,NA,NA,NA,NA,4.7,12,51,239.3,30.7,0,2.31379962,12.3,85.7,3.8,4.7,9.68620038,38.7,153.6,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,43,43,43,43,43,43,43,43
6/30/1970,NA,NA,-0.1722828,-1.681673138,0,NA,1,2.452627597,13.844,87.6,3.7,0,10.0473724,46.756,154.9,27,4.8,12.5,60.6,242.5,30.8,4.8,131.8,15.0526276,5.228,0.01320785,117.4,0.021158617,0.019914543,0.025141159,1067.4,0.022446819,0.008024194,0.014422625,641.6,0.011062591,0.285423895,-0.202789195,-1.764307838,-0.0896481,-1.853955938,0.010292113,0.270958586,8.626573989,-1.367467537,-0.485964285,0,0.094664982,1.30923255,0.264262566,-0.172529781,0.010292113,0.176293603,7.317341439,-1.631730103,-0.515343182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA
9/30/1970,NA,NA,0.589849811,-0.918832164,0,NA,1,2.591455574,15.164,89.7,3.8,0,10.30854443,45.436,150.4,27.9,4.7,12.9,60.6,240.1,31.7,4.7,132.4,16.19145557,4.816,0.017046654,122.2,0.018076593,0.01765542,0.019364564,1086.1,0.015857407,0.007660306,0.008197101,653.5,0.009741818,0.28396469,-0.207339712,-0.995457142,0.666474788,-0.328982353,-0.183530196,0.182473447,-1.054568729,-6.620015129,0.364014573,0,0.096147047,1.079084992,0.575573916,0.03561214,-0.183530196,0.0863264,-2.133653721,-7.195589046,0.430142645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA
12/31/1970,NA,NA,-0.069528478,-0.583682542,6.084844683,NA,1,2.730283552,16.536,91.5,3.6,0,10.66971645,47.364,151,26.6,4.8,13.4,64,242.3,30.2,4.8,133.5,16.63028355,4.9,0.012713404,125.2,0.018948698,0.016834522,0.025366852,1088.6,0.020455297,0.007363887,0.01309141,660.2,0.012974669,0.017317195,-0.027117666,-0.573882071,-0.079328949,-0.65321102,0.004408788,0.237632632,2.167483526,-2.68328722,-2.144732215,0,0.086121514,1.063586142,-0.024368445,-0.277286512,0.004408788,0.151511118,1.003897384,-2.458918775,-1.867445704,2.855489549,0.582914962,2.272574588,13.66638498,3.544178329,10.09970665,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.52187453,4.127093291,12.37228124,1.519968066,4.556590088,1.051648854,5.03319583,NA,NA,NA,NA
3/31/1971,NA,NA,-0.22569835,-1.890457912,0.912131241,NA,0,2.671695295,17.324,94.1,4.1,0,11.3283047,47.976,152.6,29.9,4.7,14,65.3,246.8,34,4.8,133.3,16.9716953,5.464,0.031666325,128.6,0.022728838,0.024652979,0.016862658,1135.2,0.022434311,0.007290353,0.015143958,679.2,0.009477339,-0.069746434,0.163751698,-1.984463176,-0.131693086,-2.116156262,-0.080484921,0.375312928,0.226867717,0.437188246,3.293615704,0,-0.10436881,0.510729446,1.065756189,0.439636309,-0.180484921,0.479681738,-0.18218496,-0.931921481,2.853979395,0.239934958,0.038827065,0.201107893,2.242430213,0.891592454,1.351215032,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.482365171,0.930419519,1.552322925,0.341877464,0.570392403,0.088162763,0.823968478,NA,NA,NA,NA
6/30/1971,NA,NA,-0.570696392,-0.289686002,0.653865478,NA,0,2.844062734,18.2,97,4.2,0,11.75593727,54.2,154,30.7,4.8,14.6,72.3,251,34.9,4.8,134.3,18.34406273,6.312,0.018674878,131.9,0.018048353,0.018697523,0.015982981,1156.3,0.020773953,0.007374516,0.013399437,693.2,0.011386875,0.327653535,0.253831797,-0.871171333,0.010788939,-0.860382394,-0.090054676,0.33734053,5.774881184,-0.430311237,0.262112715,0,0.122242719,0.550977667,1.134553131,0.023078298,0.011821463,0.215097811,5.323903517,-1.462988228,0.239034417,0.254870896,0.045032056,0.20983884,1.600799332,0.720985105,0.902691499,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.855670228,0.766017161,1.112530339,0.269914433,0.3920121,0.089806517,0.564058961,NA,NA,NA,NA
9/30/1971,NA,NA,0.144779114,-0.898153753,0.593125411,NA,0,2.973338312,18.384,100,4.4,0,12.02666169,53.416,155.7,29.8,4.5,15,71.9,255.6,34.1,4.5,135.6,18.47333831,5.756,0.014480741,134.2,0.014090097,0.015099044,0.010899329,1177.7,0.017466542,0.00741762,0.010048922,705.6,0.009834107,-0.098165361,-0.232332986,-0.567655406,-0.185719233,-0.753374638,-0.382808288,0.148124791,-1.647299837,0.269816611,-1.40208526,0,0.080210586,-0.129981425,1.326582515,0.127542748,-0.382808288,0.067914205,-1.719043584,-0.956765904,-1.429628008,0.247142448,0.041446352,0.205696096,1.467434833,0.448945162,0.99597878,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.714577281,0.490391514,1.201674876,0.16964162,0.415696576,0.085494231,0.50763118,NA,NA,NA,NA
12/31/1971,NA,NA,0.071799061,-1.413510114,-4.334186342,NA,0,3.145705751,18.72,103.2,4.5,0,12.45429425,54.18,158.2,30.1,4.6,15.6,72.9,261.4,34.6,4.6,134.7,19.54570575,5.644,0.020329697,137.4,0.010958904,0.009074782,0.017261525,1190.3,0.015788716,0.007497928,0.008290788,721.7,0.006188851,0.260240865,-0.086444906,-1.587306074,0.24559502,-1.341711054,0.038409495,0.394698316,0.015920596,2.301659309,0.033280839,0,0.131672014,0.084382256,1.831322108,0.039778173,0.038409495,0.263026302,0.032907017,0.368968523,-0.107866012,0.282482227,0.051695215,0.230787012,0.983333173,0.228624287,0.777505948,-14.02674354,-5.701895196,-8.324595456,NA,NA,NA,NA,NA,NA,-12.76092814,-5.421575694,-7.316302496,-1.841411461,-2.48494608,0.095943696,0.333984265,-4.764114303,NA,NA,NA
3/31/1972,NA,NA,-0.190267462,-0.002729872,-0.081400413,NA,0,3.534111142,19.332,107.2,5,0,12.76588886,55.768,175.8,31.8,6.1,16.3,75.1,282.9,36.8,6.1,141.4,20.13411114,5.668,0.041168158,140.8,0.022325461,0.025153831,0.01279173,1230.6,0.023631788,0.007576047,0.016055741,738.9,0.010537741,-0.017247139,-0.030565651,0.045082917,-0.238080252,-0.192997334,1.416676571,0.417424894,0.879504793,16.7650556,1.573262906,0,0.331424741,0.272909873,2.130656992,0.41848795,1.416676571,0.086000153,0.606594921,14.73439861,1.154774956,0.291957419,0.149748764,0.142208656,1.130176516,0.175114883,0.954981421,-1.664361213,-0.735979084,-0.934129243,NA,NA,NA,NA,NA,NA,-0.242227278,-0.411115437,0.163060834,-0.138155234,0.05479655,0.098112214,0.379795519,-0.559308145,NA,NA,NA
6/30/1972,NA,NA,-2.786283951,2.449206973,-0.666264365,NA,0,3.624729376,19.792,110.8,5,0.1,13.07527062,55.308,178.6,32,6.2,16.7,75.2,289.4,37.1,6.2,144.2,28.32472938,5.216,0.010088672,142.2,0.011802575,0.013125783,0.007011032,1266.4,0.013704829,0.00761402,0.006090808,757.4,0.005773362,2.52658564,-0.173864716,0.096486048,-0.433563027,-0.337076978,0.018336967,0.181785667,-0.905392419,2.712709517,-0.192655673,0.1,0.043305737,0.201195123,2.164872606,-0.066936912,0.018336967,0.13847993,-1.206587542,0.446498173,-0.225718761,0.256957575,0.131987943,0.124969633,-0.372885045,0.096413811,-0.514379067,-1.933834848,-0.870028717,-1.063474719,NA,NA,NA,NA,NA,NA,-2.049762318,-0.641626963,-1.452884153,-0.20855744,-0.472252285,0.083522696,-0.121204305,-0.628582756,NA,NA,NA
