,date,fim_bars,fim_bars_ma,state_local_cont,federal_cont,federal_nom,pi_federal,state_local_nom,pi_state_local,gdp,gdppoth,pi_gdp,fim,taxes_transfers_cont,recession,state_health_outlays,state_social_benefits,state_noncorp_taxes,state_corporate_taxes,federal_health_outlays,federal_social_benefits,federal_noncorp_taxes,federal_corporate_taxes,health_outlays,social_benefits,noncorp_taxes,corporate_taxes,federal_nom,pi_federal,state_local_nom,pi_state_local,gdp,gdppot,gdppoth,pi_gdp,pce,pi_pce,purchases_cont,health_outlays_net,social_benefits_net,noncorp_taxes_net,corporate_taxes_net,state_health_outlays_net,state_social_benefits_net,state_noncorp_taxes_net,state_corporate_taxes_net,federal_health_outlays_net,federal_social_benefits_net,federal_noncorp_taxes_net,federal_corporate_taxes_net,health_outlays_net_xmpc,state_health_outlays_net_xmpc,federal_health_outlays_net_xmpc,social_benefits_net_xmpc,state_social_benefits_net_xmpc,federal_social_benefits_net_xmpc,noncorp_taxes_net_xmpc,state_noncorp_taxes_net_xmpc,federal_noncorp_taxes_net_xmpc,corporate_taxes_net_xmpc,state_corporate_taxes_net_xmpc,federal_corporate_taxes_net_xmpc,transfers_net_taxes,state_transfers_net_taxes,federal_transfers_net_taxes,state_taxes_transfers_cont,federal_taxes_transfers_cont,health_cont,social_benefits_cont,noncorp_cont,corporate_cont
1,3/31/1970,NA,NA,NA,NA,147.5137996,0.01320785,100.3862004,0.021158617,1051.2,0.00804095,0.014422625,,43,1,2.31379962,9.7,85.7,3.8,9.68620038,41.3,153.6,27,12,51,239.3,30.7,147.5137996,0.01320785,100.3862004,0.021158617,1051.2,0.022463576,0.00804095,0.014422625,631.7,0.011062591,NA,12,51,239.3,30.7,2.31379962,9.7,85.7,3.8,9.68620038,41.3,153.6,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,43,43,43,43,43,43
2,6/30/1970,-1.813441725,NA,-0.369125406,-1.444316319,146.8526276,0.01320785,102.3473724,0.021158617,1067.4,0.00804095,0.014422625,-1.444316319,0,1,2.452627597,10.3,87.6,3.7,10.0473724,50.3,154.9,27,12.5,60.6,242.5,30.8,146.8526276,0.01320785,102.3473724,0.021158617,1067.4,0.022463576,0.00804095,0.014422625,641.6,0.011062591,-1.813441725,0.270757503,8.62571939,-1.371477452,-0.48647872,0.09462621,0.414695649,0.262826504,-0.172593457,0.176131293,8.211023741,-1.634303956,-0.515795617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
3,9/30/1970,-0.324724948,NA,0.384248327,-0.708973275,148.5914556,0.017046654,106.0085444,0.018076593,1086.1,0.007676929,0.008197101,-0.708973275,0,1,2.591455574,11,89.7,3.8,10.30854443,49.6,150.4,27.9,12.9,60.6,240.1,31.7,148.5914556,0.017046654,106.0085444,0.018076593,1086.1,0.01587403,0.007676929,0.008197101,653.5,0.009741818,-0.324724948,0.182265662,-1.055576072,-6.624046162,0.363502591,0.096106277,0.520586905,0.574117757,0.035550636,0.086159384,-1.576162977,-7.19816392,0.429693829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
4,12/31/1970,5.463019648,NA,-0.086231532,-0.535063292,150.1302836,0.012713404,108.5697164,0.018948698,1088.6,0.007420046,0.01309141,-0.535063292,6.084314471,1,2.730283552,11.6,91.5,3.6,10.66971645,52.3,151,26.6,13.4,64,242.3,30.2,150.1302836,0.012713404,108.5697164,0.018948698,1088.6,0.020511456,0.007420046,0.01309141,660.2,0.012974669,-0.621294823,0.236908183,2.164080299,-2.696770959,-2.146512451,0.085975981,0.37565814,-0.029405894,-0.277499915,0.150932202,1.688422159,-2.467365066,-1.869012535,2.855234553,0.58286432,2.272370233,13.66520031,2.477461656,11.16523866,NA,NA,NA,NA,NA,NA,16.52043487,3.060325976,13.43760889,1.127088105,4.948939836,1.051554941,5.03275953,NA,NA
5,3/31/1971,-1.26478378,0.515017299,-0.075912516,-2.100119337,150.2716953,0.031666325,111.6283047,0.022728838,1135.2,0.007345701,0.015143958,-2.100119337,0.911248073,0,2.671695295,12.1,94.1,4.1,11.3283047,53.2,152.6,29.9,14,65.3,246.8,34,150.2716953,0.031666325,111.6283047,0.022728838,1135.2,0.022489659,0.007345701,0.015143958,679.2,0.009477339,-2.176031853,0.374571268,0.223325457,0.423777473,3.2919442,-0.104519925,0.304852739,1.060691864,0.439437057,0.479091193,0.020155022,-0.940279,2.852507143,0.239513088,0.038742422,0.200770666,2.240448542,0.363553522,1.877273538,NA,NA,NA,NA,NA,NA,2.47996163,0.402295945,2.078044204,0.147821402,0.763565756,0.088007749,0.823240324,NA,NA
6,6/30/1971,-0.197125416,0.919096376,-0.315199514,-0.535914822,152.6440627,0.018674878,113.5559373,0.018048353,1156.3,0.007233485,0.013399437,-0.535914822,0.65398892,0,2.844062734,12.5,97,4.2,11.75593727,59.9,154,30.7,14.6,72.3,251,34.9,152.6440627,0.018674878,113.5559373,0.018048353,1156.3,0.020632922,0.007233485,0.013399437,693.2,0.011386875,-0.851114336,0.339314959,5.784090488,-0.395504862,0.266907758,0.12261951,0.174693643,1.147824119,0.023656524,0.216695449,5.709396845,-1.441466944,0.243251234,0.254938516,0.045040915,0.209897601,1.601082039,0.309553071,1.314407486,NA,NA,NA,NA,NA,NA,1.856020555,0.354593986,1.524305087,0.124945027,0.537105387,0.089830344,0.564158576,NA,NA
7,9/30/1971,-0.135338233,0.966443054,-0.083157614,-0.64738118,154.0733383,0.014480741,115.7266617,0.014090097,1177.7,0.007142719,0.010048922,-0.64738118,0.59520056,0,2.973338312,12.7,100,4.4,12.02666169,59.1,155.7,29.8,15,71.9,255.6,34.1,154.0733383,0.014480741,115.7266617,0.014090097,1177.7,0.017191641,0.007142719,0.010048922,705.6,0.009834107,-0.730538793,0.152138349,-1.627424476,0.338816827,-1.392491206,0.080992422,-0.012210317,1.353247937,0.128697333,0.071145927,-1.816911841,-0.91443111,-1.42118854,0.248159871,0.041640297,0.206519573,1.472416148,0.189673696,1.260238992,NA,NA,NA,NA,NA,NA,1.720576019,0.231313993,1.466758565,0.080018678,0.507397238,0.085846189,0.509354371,NA,NA
8,12/31/1971,-5.704570506,-1.825454484,0.010856315,-1.379469243,154.2457058,0.020329697,117.8542942,0.010958904,1190.3,0.007149878,0.008290788,-1.379469243,-4.335957578,0,3.145705751,13,103.2,4.5,12.45429425,59.9,158.2,30.1,15.6,72.9,261.4,34.6,154.2457058,0.020329697,117.8542942,0.010958904,1190.3,0.015440666,0.007149878,0.008290788,721.7,0.006188851,-1.368612928,0.399919071,0.040945414,2.390620972,0.045149355,0.132706886,0.130598147,1.866127141,0.041309594,0.267212186,0.01168114,0.423159958,-0.097494112,0.284837321,0.052154751,0.23268257,0.994710799,0.134535198,0.882972262,-14.04569122,-5.70928827,-8.336152729,NA,NA,NA,-12.7661431,-5.522598322,-7.220497897,-1.875723299,-2.45240652,0.096743592,0.33784862,-4.77054979,NA
9,3/31/1972,-0.373186581,-1.602555184,-0.228100534,-0.06254895,161.5341111,0.041168158,120.6658889,0.022325461,1230.6,0.007290471,0.016055741,-0.06254895,-0.082537098,0,3.534111142,13.4,107.2,5,12.76588886,61.7,175.8,31.8,16.3,75.1,282.9,36.8,161.5341111,0.041168158,120.6658889,0.022325461,1230.6,0.023346211,0.007290471,0.016055741,738.9,0.010537741,-0.290649484,0.421879891,0.900323337,16.83970535,1.583143861,0.332323081,0.168233242,2.160128509,0.419773045,0.08955681,0.732090094,14.77957684,1.163370815,0.295481761,0.150444427,0.145037334,1.147035322,0.103795811,1.043157654,-1.688126851,-0.745308815,-0.948567816,NA,NA,NA,-0.245609768,-0.491068577,0.239627171,-0.165023465,0.080526647,0.099296568,0.385460916,-0.567294581,NA
10,6/30/1972,-0.959503759,-1.79314977,-2.954048591,2.662706796,172.5247294,0.010088672,113.8752706,0.011802575,1266.4,0.007237704,0.006090808,2.662706796,-0.668161963,0,3.624729376,13.6,110.8,5,13.07527062,61.5,178.6,32,16.7,75.2,289.4,37.1,172.5247294,0.010088672,113.8752706,0.011802575,1266.4,0.013328513,0.007237704,0.006090808,757.4,0.005773362,-0.291341795,0.187919617,-0.877131089,2.819169308,-0.178807245,0.04463568,0.02565171,2.205213679,-0.065055332,0.143283938,-1.002782799,0.512654522,-0.213751912,0.261417809,0.132898066,0.128519743,-0.351739533,0.070261376,-0.467082766,-1.965278556,-0.882197238,-1.082754999,NA,NA,NA,-2.055600281,-0.679037797,-1.421318022,-0.220717633,-0.461991881,0.084972472,-0.114331069,-0.638803366,NA
