,date,fim_bars,fim_bars_ma,state_local_cont,federal_cont,taxes_transfers_cont,recession,state_health_outlays,state_social_benefits,state_noncorp_taxes,state_corporate_taxes,federal_health_outlays,federal_social_benefits,federal_noncorp_taxes,federal_corporate_taxes,health_outlays,social_benefits,noncorp_taxes,corporate_taxes,federal_nom,federal_cgrants,federal_igrants,pi_federal,state_local_nom,pi_state_local,pi_state_local_c,pi_state_local_i,gdp,gdppot,gdppoth,pi_gdp,pce,pi_pce,federal_cgrants_cont,federal_igrants_cont,federal_cont_0,state_local_cont_0,purchases_cont,health_outlays_net,social_benefits_net,noncorp_taxes_net,corporate_taxes_net,state_health_outlays_net,state_social_benefits_net,state_noncorp_taxes_net,state_corporate_taxes_net,federal_health_outlays_net,federal_social_benefits_net,federal_noncorp_taxes_net,federal_corporate_taxes_net,health_outlays_net_xmpc,state_health_outlays_net_xmpc,federal_health_outlays_net_xmpc,social_benefits_net_xmpc,state_social_benefits_net_xmpc,federal_social_benefits_net_xmpc,noncorp_taxes_net_xmpc,state_noncorp_taxes_net_xmpc,federal_noncorp_taxes_net_xmpc,corporate_taxes_net_xmpc,state_corporate_taxes_net_xmpc,federal_corporate_taxes_net_xmpc,transfers_net_taxes,state_transfers_net_taxes,federal_transfers_net_taxes,state_taxes_transfers_cont,federal_taxes_transfers_cont,health_cont,social_benefits_cont,noncorp_cont,corporate_cont
1,3/31/1970,NA,NA,NA,NA,42,1,2.31379962,9.7,85.7,3.8,9.68620038,41.3,153.6,27,12,51,239.3,30.7,133.6,13.91379962,5.576,0.01320785,114.3,0.021158617,0.019914543,0.025141159,1051.2,0.022463576,0.00804095,0.014422625,631.7,0.011062591,NA,NA,NA,NA,NA,12,51,239.3,30.7,2.31379962,9.7,85.7,3.8,9.68620038,41.3,153.6,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,42,42,42,42,42,42
2,6/30/1970,-1.855536617,NA,-0.172887336,-1.682649281,0,1,2.452627597,10.3,87.6,3.7,10.0473724,50.3,154.9,27,12.5,60.6,242.5,30.8,131.8,15.0526276,5.228,0.01320785,117.4,0.021158617,0.019914543,0.025141159,1067.4,0.022463576,0.00804095,0.014422625,641.6,0.011062591,0.285335177,-0.20282475,-1.765159708,-0.090376909,-1.855536617,0.270757503,8.62571939,-1.371477452,-0.48647872,0.09462621,0.414695649,0.262826504,-0.172593457,0.176131293,8.211023741,-1.634303956,-0.515795617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
3,9/30/1970,-0.330534688,NA,0.589244828,-0.919779516,0,1,2.591455574,11,89.7,3.8,10.30854443,49.6,150.4,27.9,12.9,60.6,240.1,31.7,132.4,16.19145557,4.816,0.017046654,122.2,0.018076593,0.01765542,0.019364564,1086.1,0.01587403,0.007676929,0.008197101,653.5,0.009741818,0.283870923,-0.207372279,-0.99627816,0.665743472,-0.330534688,0.182265662,-1.055576072,-6.624046162,0.363502591,0.096106277,0.520586905,0.574117757,0.035550636,0.086159384,-1.576162977,-7.19816392,0.429693829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
4,12/31/1970,5.425837622,NA,-0.071621418,-0.586855431,6.084314471,1,2.730283552,11.6,91.5,3.6,10.66971645,52.3,151,26.6,13.4,64,242.3,30.2,133.5,16.63028355,4.9,0.012713404,125.2,0.018948698,0.016834522,0.025366852,1088.6,0.020511456,0.007420046,0.01309141,660.2,0.012974669,0.016982311,-0.027217274,-0.576620468,-0.081856381,-0.658476849,0.236908183,2.164080299,-2.696770959,-2.146512451,0.085975981,0.37565814,-0.029405894,-0.277499915,0.150932202,1.688422159,-2.467365066,-1.869012535,2.855234553,0.58286432,2.272370233,13.66520031,2.477461656,11.16523866,NA,NA,NA,NA,NA,NA,16.52043487,3.060325976,13.43760889,1.127088105,4.948939836,1.051554941,5.03275953,NA,NA
5,3/31/1971,-1.210169434,0.507399221,-0.227806706,-1.893610801,0.911248073,0,2.671695295,12.1,94.1,4.1,11.3283047,53.2,152.6,29.9,14,65.3,246.8,34,133.3,16.9716953,5.464,0.031666325,128.6,0.022728838,0.024652979,0.016862658,1135.2,0.022489659,0.007345701,0.015143958,679.2,0.009477339,-0.070084648,0.163652045,-1.987178198,-0.134239309,-2.121417507,0.374571268,0.223325457,0.423777473,3.2919442,-0.104519925,0.304852739,1.060691864,0.439437057,0.479091193,0.020155022,-0.940279,2.852507143,0.239513088,0.038742422,0.200770666,2.240448542,0.363553522,1.877273538,NA,NA,NA,NA,NA,NA,2.47996163,0.402295945,2.078044204,0.147821402,0.763565756,0.088007749,0.823240324,NA,NA
6,6/30/1971,-0.193378697,0.922938701,-0.565420696,-0.281946921,0.65398892,0,2.844062734,12.5,97,4.2,11.75593727,59.9,154,30.7,14.6,72.3,251,34.9,134.3,18.34406273,6.312,0.018674878,131.9,0.018048353,0.018697523,0.015982981,1156.3,0.020632922,0.007233485,0.013399437,693.2,0.011386875,0.328496921,0.254103323,-0.864547164,0.017179548,-0.847367617,0.339314959,5.784090488,-0.395504862,0.266907758,0.12261951,0.174693643,1.147824119,0.023656524,0.216695449,5.709396845,-1.441466944,0.243251234,0.254938516,0.045040915,0.209897601,1.601082039,0.309553071,1.314407486,NA,NA,NA,NA,NA,NA,1.856020555,0.354593986,1.524305087,0.124945027,0.537105387,0.089830344,0.564158576,NA,NA
7,9/30/1971,-0.132859294,0.972357549,0.154977676,-0.88303753,0.59520056,0,2.973338312,12.7,100,4.4,12.02666169,59.1,155.7,29.8,15,71.9,255.6,34.1,135.6,18.47333831,5.756,0.014480741,134.2,0.014090097,0.015099044,0.010899329,1177.7,0.017191641,0.007142719,0.010048922,705.6,0.009834107,-0.096420898,-0.231732735,-0.554883897,-0.173175957,-0.728059854,0.152138349,-1.627424476,0.338816827,-1.392491206,0.080992422,-0.012210317,1.353247937,0.128697333,0.071145927,-1.816911841,-0.91443111,-1.42118854,0.248159871,0.041640297,0.206519573,1.472416148,0.189673696,1.260238992,NA,NA,NA,NA,NA,NA,1.720576019,0.231313993,1.466758565,0.080018678,0.507397238,0.085846189,0.509354371,NA,NA
8,12/31/1971,-5.645774608,-1.795545508,0.084799086,-1.394616116,-4.335957578,0,3.145705751,13,103.2,4.5,12.45429425,59.9,158.2,30.1,15.6,72.9,261.4,34.6,134.7,19.54570575,5.644,0.020329697,137.4,0.010958904,0.009074782,0.017261525,1190.3,0.015440666,0.007149878,0.008290788,721.7,0.006188851,0.262424665,-0.085764468,-1.571276313,0.261459282,-1.30981703,0.399919071,0.040945414,2.390620972,0.045149355,0.132706886,0.130598147,1.866127141,0.041309594,0.267212186,0.01168114,0.423159958,-0.097494112,0.284837321,0.052154751,0.23268257,0.994710799,0.134535198,0.882972262,-14.04569122,-5.70928827,-8.336152729,NA,NA,NA,-12.7661431,-5.522598322,-7.220497897,-1.875723299,-2.45240652,0.096743592,0.33784862,-4.77054979,NA
9,3/31/1972,-0.249421544,-1.555358536,-0.179498867,0.01261442,-0.082537098,0,3.534111142,13.4,107.2,5,12.76588886,61.7,175.8,31.8,16.3,75.1,282.9,36.8,141.4,20.13411114,5.668,0.041168158,140.8,0.022325461,0.025153831,0.01279173,1230.6,0.023346211,0.007290471,0.016055741,738.9,0.010537741,-0.015371377,-0.030024007,0.058009804,-0.224894251,-0.166884447,0.421879891,0.900323337,16.83970535,1.583143861,0.332323081,0.168233242,2.160128509,0.419773045,0.08955681,0.732090094,14.77957684,1.163370815,0.295481761,0.150444427,0.145037334,1.147035322,0.103795811,1.043157654,-1.688126851,-0.745308815,-0.948567816,NA,NA,NA,-0.245609768,-0.491068577,0.239627171,-0.165023465,0.080526647,0.099296568,0.385460916,-0.567294581,NA
10,6/30/1972,-0.970720375,-1.749693955,-2.772217466,2.469659054,-0.668161963,0,3.624729376,13.6,110.8,5,13.07527062,61.5,178.6,32,16.7,75.2,289.4,37.1,144.2,28.32472938,5.216,0.010088672,142.2,0.011802575,0.013125783,0.007011032,1266.4,0.013328513,0.007237704,0.006090808,757.4,0.005773362,2.529048435,-0.173171409,0.113782027,-0.416340439,-0.302558412,0.187919617,-0.877131089,2.819169308,-0.178807245,0.04463568,0.02565171,2.205213679,-0.065055332,0.143283938,-1.002782799,0.512654522,-0.213751912,0.261417809,0.132898066,0.128519743,-0.351739533,0.070261376,-0.467082766,-1.965278556,-0.882197238,-1.082754999,NA,NA,NA,-2.055600281,-0.679037797,-1.421318022,-0.220717633,-0.461991881,0.084972472,-0.114331069,-0.638803366,NA
11,9/30/1972,-2.700667209,-2.391645934,2.170465665,-4.522792438,-0.348340436,0,3.896584079,13.9,112.9,5.2,13.60341592,61.4,180.1,33.1,17.5,75.4,293.1,38.3,138.8,20.89658408,6.724,0.008196354,145.6,0.01522051,0.015559896,0.013873247,1290.6,0.016396312,0.007336577,0.009059735,775.8,0.008810573,-2.55106813,0.441367517,-2.413091825,0.060765052,-2.352326773,0.530342596,-1.014265677,-0.972985198,0.600940737,0.213325654,0.080398761,0.310895785,0.11926425,0.317016941,-1.093049722,-1.383880982,0.583291201,0.346513764,0.162673043,0.183840722,-0.213778803,0.091098418,-0.304213789,-1.235580781,-0.755449956,-0.461804506,NA,NA,NA,-1.10284582,-0.501678495,-0.582177573,-0.158458148,-0.183884262,0.109448441,-0.067523311,-0.390265566,NA
12,12/31/1972,-0.119977498,-1.010196657,-3.481389614,3.559151312,-0.197739196,0,3.851274962,14,115.7,5.7,13.84872504,71.4,183.7,36.6,17.7,85.4,299.4,42.4,142.2,34.65127496,5.7,0.021723678,149.6,0.013763441,0.012436695,0.018682151,1328.9,0.018816973,0.007489094,0.011327879,800.5,0.008116095,4.133987282,-0.371912429,-0.202923541,0.280685239,0.077761698,-0.073090816,8.823368715,1.72611897,3.502321244,-0.10611605,-0.116912133,1.03817411,0.418853015,0.033025234,9.041841367,0.789505378,2.983468229,0.24008654,0.108937882,0.131148658,1.762266439,0.035408605,1.727572262,-1.435371157,-0.749482382,-0.673827784,-1.204987337,-0.163713092,-1.037944658,-0.638005515,-0.768848986,0.146948478,-0.238291953,0.045544236,0.074410829,0.546185166,-0.444869412,-0.373465779
13,3/31/1973,-0.249779657,-1.010286185,1.692780533,-1.60306774,-0.339492451,0,4.288443174,14.2,118.4,6,14.21155683,72.7,196.7,39.3,18.5,86.9,315.1,45.3,146.4,29.58844317,5.74,0.016131136,153.2,0.019698164,0.019755588,0.019281289,1377.5,0.020485292,0.007749345,0.012735947,825,0.012076132,-1.810794726,-0.034336553,0.242063539,-0.152350746,0.089712793,0.449089056,-0.193095742,9.764252166,2.059399772,0.360814849,-0.077556679,0.406192303,0.186994781,0.088274207,-0.115539063,9.358059863,1.974387539,0.246208602,0.11534853,0.130860072,1.516247147,-0.019894127,1.536855701,-2.64003388,-0.7159302,-1.936244566,-0.250300663,-0.043279584,-0.203757576,-1.127878795,-0.663755381,-0.472286368,-0.199790919,-0.142158588,0.074108993,0.456391646,-0.794652383,-0.075340707
14,6/30/1973,-1.530635351,-1.150264929,0.199031428,-1.537334006,-0.192332773,0,4.574339386,14.4,120.1,6.1,15.02566061,73.6,200.6,39.4,19.6,88,320.7,45.4,146.5,28.37433939,6.208,0.01741549,156.2,0.01777223,0.016889165,0.021056215,1413.9,0.024681568,0.00813233,0.016549238,840.5,0.019238252,-0.567535643,0.08724726,-1.057045623,-0.281256955,-1.338302578,0.593644236,-1.278503563,-3.024470344,-1.139887358,0.168519027,-0.188662262,-1.540676892,-0.064223491,0.425125209,-1.089841301,-1.483793452,-0.975663867,0.337496641,0.143222283,0.194274358,1.42593834,-0.068114771,1.517267538,-2.197260593,-0.399889079,-1.797307046,-0.228520375,-0.046891917,-0.188428634,-0.662345987,-0.371673483,-0.274193784,-0.107926964,-0.079620699,0.098002654,0.41406558,-0.638043003,-0.066358004
15,9/30/1973,-1.798477994,-0.924717625,0.780060314,-2.551025936,-0.027512372,0,4.621988754,14.5,123.3,5.9,15.57801125,74.6,205.8,37.6,20.2,89,329.1,43.4,144.2,27.52198875,5.344,0.020692266,159.9,0.013432226,0.011601636,0.020383864,1433.8,0.02745998,0.008359399,0.01910058,858.9,0.018196471,-0.401366952,-0.294911431,-1.854747553,0.083781931,-1.770965621,0.079504942,-1.336916585,-0.116467599,-3.205636511,-0.073826195,-0.282404532,0.010639979,-0.361990809,0.153331137,-0.954512053,-0.127107578,-2.846301289,0.236058169,0.078613117,0.157445052,1.353341886,-0.149745512,1.548438514,-1.577100341,-0.295599462,-1.275436411,-0.109549072,-0.033640535,-0.079228797,-0.097249358,-0.400372392,0.351218358,-0.113267527,0.099361584,0.06678214,0.38286778,-0.446170264,-0.030992028
16,12/31/1973,-0.655620119,-1.05862828,0.059915499,-0.124121195,-0.591414423,1,4.812586229,14.9,125.2,6.1,16.28741377,76.3,212.7,39.4,21.1,91.2,337.8,45.6,147.6,28.31258623,5.92,0.021385306,165,0.018959258,0.016780346,0.026837806,1476.3,0.025917582,0.008598483,0.017319098,873.9,0.020454072,0.025699987,0.107861199,-0.257682381,0.193476685,-0.064205696,0.313138378,-0.385677443,-0.861196029,0.939119089,0.056316889,-0.021262055,-1.682180098,0.028589922,0.256821489,-0.467320643,0.920984069,0.707623912,0.322959738,0.115160528,0.207799209,-0.7186935,-0.128224244,-0.591122938,-1.51178778,-0.074210835,-1.449592509,-0.212403457,-0.04384353,-0.165116678,-2.119924999,-0.131118081,-1.998032917,-0.036579183,-0.557409099,0.090098964,-0.200500349,-0.421756948,-0.059256091
17,3/31/1974,0.704679082,-0.820013595,0.235097737,0.55690108,-0.087319734,1,4.417881334,13.2,125.9,6.3,17.48211867,82.4,221.4,37.4,21.9,95.6,347.3,43.7,152.7,27.51788133,7.76,0.010246894,171.9,0.029012555,0.024280202,0.046363636,1491.2,0.029135203,0.008884892,0.020250311,891.9,0.029759961,-0.469740426,0.409924463,0.616717042,0.175281774,0.791998816,-0.015406396,0.875589416,-3.554231308,-3.662205292,-0.580686581,-2.275808308,-4.138335583,-0.035733603,0.565280185,3.151397724,0.480239789,-3.522607204,0.218448261,-0.096677293,0.315125554,-0.47823934,-0.622830861,0.143937839,-0.081885758,0.552635544,-0.628073128,0.019401527,-0.028004508,0.047387133,-0.32227531,-0.194877118,-0.121622602,-0.052801495,-0.032953357,0.059188041,-0.12957782,-0.022186753,0.005256798
18,6/30/1974,-0.092011268,-0.460357575,0.293382594,-0.645024208,0.259630346,1,4.807694393,13.6,129.7,6.6,18.69230561,88.3,228.5,39.3,23.5,101.9,358.3,45.9,154.9,27.80769439,8.572,0.018049677,180.1,0.034789777,0.026892315,0.062858384,1530.1,0.03137356,0.00916319,0.02221037,920.4,0.028305253,-0.188400766,0.067895006,-0.524518448,0.172876835,-0.351641614,0.779441096,2.718016841,-2.012790283,0.562629037,0.224281924,-0.094583449,-0.917276984,0.063948809,0.555159173,2.81260029,-1.195513299,0.498680229,0.260252555,-0.084130642,0.344383196,0.420977752,-0.601663127,1.021987196,0.277127473,0.694090797,-0.398593217,0.009544151,-0.029347584,0.038872833,0.96790193,-0.021050556,1.006650009,-0.005646608,0.270024144,0.069810235,0.112923217,0.074336769,0.002560126
19,9/30/1974,-0.224288734,-0.06681026,0.156736469,-0.803858851,0.422833648,1,4.937632079,14.5,133.7,7.3,19.56236792,93.3,235.1,43.5,24.5,107.7,368.9,50.8,160.4,28.93763208,6.496,0.029222562,186.3,0.036488209,0.028671408,0.063922835,1560,0.040007388,0.009185981,0.030821407,949.3,0.026986391,0.020184563,-0.70653912,-0.117504295,-0.529618087,-0.647122382,0.14994926,2.1140353,-2.360560862,3.239688128,-0.043968023,0.408055742,-0.691556639,0.461262345,0.193917283,1.805979559,-1.665386986,2.778425783,0.276102526,-0.077412553,0.353515079,1.197441926,-0.446309566,1.643097809,0.288761786,0.547431206,-0.25296525,-0.144861827,-0.040433084,-0.101114311,1.617444411,-0.016723998,1.642533327,-0.004372001,0.429392413,0.072178949,0.313036253,0.075488344,-0.037869898
