year,quarter,impact,recession,total,federal,state_local,consumption,projection
1999,Q4,-0.451853714,0,-0.050237768,0.230636059,0.139423105,-0.420296931,0
2000,Q1,-0.752833427,0,-1.89842,-1.294509623,0.022135364,-0.626045741,0
2000,Q2,-0.618316816,0,-0.322330926,0.47225953,-0.512482345,-0.282108111,0
2000,Q3,-0.845842501,0,-1.112381309,-0.790337567,-0.224240922,-0.09780282,0
2000,Q4,-0.890620068,0,-0.229348037,0.059763095,-0.300001659,0.010890527,0
2001,Q1,-0.252541609,1,0.653893835,0.368995442,0.084157484,0.200740909,0
2001,Q2,0.074626846,1,0.986342896,0.225175006,0.423952238,0.337215651,0
2001,Q3,0.542127133,1,0.757619839,-0.175921657,-0.493171396,1.426712892,0
2001,Q4,1.07924189,1,1.91911099,0.114875658,0.541496955,1.262738377,0
2002,Q1,1.491290363,0,2.302087729,1.043769568,-0.286752499,1.54507066,0
2002,Q2,1.729932382,0,1.940910969,0.304057868,-0.24541083,1.882263932,0
2002,Q3,1.904202509,0,1.454700346,-0.079577735,-0.029383564,1.563661645,0
2002,Q4,1.750954573,0,1.306119249,0.334067901,-0.245079066,1.217130414,0
2003,Q1,1.371974585,0,0.786167778,0.05336226,-0.474968186,1.207773703,0
2003,Q2,1.212268288,0,1.302085781,1.612869507,-1.38195174,1.071168015,0
2003,Q3,0.985210333,0,0.546468526,-0.707036164,0.374772594,0.878732096,0
2003,Q4,0.831104241,0,0.689694881,0.534575966,-0.57153949,0.726658406,0
2004,Q1,0.673960593,0,0.157593186,-0.404017942,0.23421954,0.327391588,0
2004,Q2,0.333131821,0,-0.06122931,-0.271777483,-0.044519318,0.255067491,0
2004,Q3,0.080373541,0,-0.464564594,0.319464578,-0.710815174,-0.073213998,0
2004,Q4,-0.272859786,0,-0.723238426,-0.388293342,-0.197268304,-0.13767678,0
2005,Q1,-0.476010659,0,-0.655010306,0.008107091,-0.144391036,-0.518726361,0
2005,Q2,-0.726089161,0,-1.061543319,-0.239411227,-0.306518452,-0.51561364,0
2005,Q3,-0.804222687,0,-0.777098697,-0.132204771,-0.099190111,-0.545703814,0
2005,Q4,-0.846653741,0,-0.892962644,-0.231112819,-0.175771612,-0.486078213,0
2006,Q1,-0.702508875,0,-0.078430842,0.653730082,-0.130623491,-0.601537433,0
2006,Q2,-0.707999,0,-1.083503817,-0.382764581,-0.070896374,-0.629842861,0
2006,Q3,-0.71307241,0,-0.797392339,-0.60568326,0.085542763,-0.277251843,0
2006,Q4,-0.503238669,0,-0.053627676,0.02582216,0.219012721,-0.298462557,0
2007,Q1,-0.63162512,0,-0.591976648,-0.375430796,0.118713243,-0.335259094,0
2007,Q2,-0.348115875,0,0.050533162,0.641882253,-0.314275322,-0.277073769,0
2007,Q3,-0.165095646,0,-0.065311422,-0.06625976,0.044777731,-0.043829393,0
2007,Q4,-0.078844439,1,0.291377153,0.142337405,0.097971348,0.0510684,0
2008,Q1,0.056360716,1,-0.05115603,0.34414102,-0.529154003,0.133856953,0
2008,Q2,0.698511275,1,2.619135399,0.441549892,-0.107854665,2.285440171,0
2008,Q3,1.062934757,1,1.392382505,0.134894123,0.174817009,1.082671373,0
2008,Q4,1.385433705,1,1.581372945,0.485579871,-0.261667849,1.357460923,0
2009,Q1,2.276260314,1,3.512150406,0.171093255,0.455723659,2.885333493,0
2009,Q2,2.336566258,1,2.860359177,1.642282661,-0.690414911,1.908491427,0
2009,Q3,2.683940824,0,2.781880766,0.429935011,-0.436539078,2.788484834,0
2009,Q4,2.892594828,0,2.415988964,0.63033301,-0.695647505,2.481303458,0
2010,Q1,2.41072075,0,1.584654095,0.475655924,-1.029799799,2.13879797,0
2010,Q2,2.003530573,0,1.231598468,0.243398338,-0.182910523,1.171110652,0
2010,Q3,1.377923117,0,0.279450941,0.2276637,-1.055474855,1.107262096,0
2010,Q4,0.833273106,0,0.237388918,-0.659282449,-0.123373486,1.020044853,0
2011,Q1,0.060342659,0,-1.507067692,-0.751733519,-0.537382565,-0.217951607,0
2011,Q2,-0.579850342,0,-1.329173536,-0.178440722,-0.661273169,-0.489459644,0
2011,Q3,-1.186944492,0,-2.148925659,-1.388785289,-0.067311358,-0.692829012,0
2011,Q4,-1.521094803,0,-1.099212324,-0.190549975,-0.15847771,-0.750184639,0
2012,Q1,-1.511993977,0,-1.470664388,-0.427400783,-0.221464952,-0.821798653,0
2012,Q2,-1.497689943,0,-1.271957401,-0.625239038,-0.091046412,-0.555671952,0
2012,Q3,-1.168070733,0,-0.830448818,-0.108129192,-0.325762645,-0.396556981,0
