date,MonthlyChange,MovingAverage,RecessionDummy
12/01/2008,,,1
01/01/2009,12000,5333,1
02/01/2009,-12000,-333,1
03/01/2009,-18000,-6000,1
04/01/2009,-8000,-12667,1
05/01/2009,2000,-8000,1
06/01/2009,5000,-333,1
07/01/2009,-67000,-20000,0
08/01/2009,17000,-15000,0
09/01/2009,-87000,-45667,0
10/01/2009,56000,-4667,0
11/01/2009,10000,-7000,0
12/01/2009,-40000,8667,0
01/01/2010,-20000,-16667,0
02/01/2010,-27000,-29000,0
03/01/2010,-9000,-18667,0
04/01/2010,-10000,-15333,0
05/01/2010,-5000,-8000,0
06/01/2010,-33000,-16000,0
07/01/2010,-29000,-22333,0
08/01/2010,-43000,-35000,0
09/01/2010,-97000,-56333,0
10/01/2010,53000,-29000,0
11/01/2010,-10000,-18000,0
12/01/2010,-25000,6000,0
01/01/2011,-12000,-15667,0
02/01/2011,-45000,-27333,0
03/01/2011,-24000,-27000,0
04/01/2011,-1000,-23333,0
05/01/2011,-56000,-27000,0
06/01/2011,46000,-3667,0
07/01/2011,-117000,-42333,0
08/01/2011,-20000,-30333,0
09/01/2011,-30000,-55667,0
10/01/2011,11000,-13000,0
11/01/2011,-19000,-12667,0
12/01/2011,-11000,-6333,0
01/01/2012,-6000,-12000,0
02/01/2012,2000,-5000,0
03/01/2012,1000,-1000,0
04/01/2012,-13000,-3333,0
05/01/2012,-14000,-8667,0
06/01/2012,15000,-4000,0
07/01/2012,-8000,-2333,0
08/01/2012,13000,6667,0
09/01/2012,-2000,1000,0
10/01/2012,-33000,-7333,0
11/01/2012,-8000,-14333,0
12/01/2012,13000,-9333,0
01/01/2013,-15000,-3333,0
02/01/2013,12000,3333,0
03/01/2013,2000,-333,0
04/01/2013,-1000,4333,0
05/01/2013,11000,4000,0
06/01/2013,-21000,-3667,0
07/01/2013,-14000,-8000,0
08/01/2013,36000,333,0
09/01/2013,6000,9333,0
10/01/2013,-4000,12667,0
11/01/2013,10000,4000,0
12/01/2013,-23000,-5667,0
01/01/2014,-3000,-5333,0
02/01/2014,13000,-4333,0
03/01/2014,13000,7667,0
04/01/2014,30000,18667,0
05/01/2014,-2000,13667,0
06/01/2014,36000,21333,0
07/01/2014,-13000,7000,0
08/01/2014,-16000,2333,0
09/01/2014,47000,6000,0
10/01/2014,10000,13667,0
11/01/2014,0,19000,0
12/01/2014,9000,6333,0
01/01/2015,10000,6333,0
02/01/2015,9000,9333,0
03/01/2015,-6000,4333,0
04/01/2015,7000,3333,0
05/01/2015,15000,5333,0
06/01/2015,2000,8000,0
07/01/2015,33000,16667,0
08/01/2015,25000,20000,0
09/01/2015,-14000,14667,0
10/01/2015,-7000,1333,0
11/01/2015,-5000,-8667,0
12/01/2015,2000,-3333,0
01/01/2016,18000,5000,0
02/01/2016,9000,9667,0
03/01/2016,13000,13333,0
04/01/2016,1000,7667,0
05/01/2016,9000,7667,0
06/01/2016,29000,13000,0
07/01/2016,28000,22000,0
08/01/2016,37000,31333,0
09/01/2016,0,21667,0
10/01/2016,-12000,8333,0
11/01/2016,8000,-1333,0
12/01/2016,7000,1000,0
