date,MonthlyChange,MovingAverage
12/01/2008,,
01/01/2009,7900,6500
02/01/2009,7700,6167
03/01/2009,800,5467
04/01/2009,11800,6767
05/01/2009,7800,6800
06/01/2009,17400,12333
07/01/2009,15800,13667
08/01/2009,8900,14033
09/01/2009,3900,9533
10/01/2009,11000,7933
11/01/2009,6400,7100
12/01/2009,9200,8867
01/01/2010,5400,7000
02/01/2010,3700,6100
03/01/2010,6100,5067
04/01/2010,400,3400
05/01/2010,21300,9267
06/01/2010,3100,8267
07/01/2010,6000,10133
08/01/2010,5700,4933
09/01/2010,1100,4267
10/01/2010,4600,3800
11/01/2010,2600,2767
12/01/2010,6100,4433
01/01/2011,5900,4867
02/01/2011,2600,4867
03/01/2011,3500,4000
04/01/2011,1600,2567
05/01/2011,1500,2200
06/01/2011,-8800,-1900
07/01/2011,-2300,-3200
08/01/2011,-1100,-4067
09/01/2011,-100,-1167
10/01/2011,-700,-633
11/01/2011,-3000,-1267
12/01/2011,-1500,-1733
01/01/2012,-5800,-3433
02/01/2012,-3700,-3667
03/01/2012,1400,-2700
04/01/2012,-700,-1000
05/01/2012,900,533
06/01/2012,-200,0
07/01/2012,-8400,-2567
08/01/2012,7200,-467
09/01/2012,6300,1700
10/01/2012,-3900,3200
11/01/2012,-600,600
12/01/2012,-1500,-2000
01/01/2013,-3900,-2000
02/01/2013,-2400,-2600
03/01/2013,-4100,-3467
04/01/2013,-9300,-5267
05/01/2013,-10700,-8033
06/01/2013,-6800,-8933
07/01/2013,-7200,-8233
08/01/2013,-7900,-7300
09/01/2013,-4900,-6667
10/01/2013,-9300,-7367
11/01/2013,4200,-3333
12/01/2013,-6300,-3800
01/01/2014,-5600,-2567
02/01/2014,-6300,-6067
03/01/2014,-4000,-5300
04/01/2014,-2800,-4367
05/01/2014,200,-2200
06/01/2014,200,-800
07/01/2014,200,200
08/01/2014,-1000,-200
09/01/2014,-2700,-1167
