date,MonthlyChange,MovingAverage,RecessionDummy
12/01/2008,,,1
01/01/2009,7900,6500,1
02/01/2009,7700,6167,1
03/01/2009,800,5467,1
04/01/2009,11800,6767,1
05/01/2009,7800,6800,1
06/01/2009,17400,12333,1
07/01/2009,15800,13667,0
08/01/2009,8900,14033,0
09/01/2009,3900,9533,0
10/01/2009,11000,7933,0
11/01/2009,6400,7100,0
12/01/2009,9200,8867,0
01/01/2010,4500,6700,0
02/01/2010,5100,6267,0
03/01/2010,6700,5433,0
04/01/2010,-2200,3200,0
05/01/2010,23800,9433,0
06/01/2010,1700,7767,0
07/01/2010,5600,10367,0
08/01/2010,6100,4467,0
09/01/2010,1900,4533,0
10/01/2010,4600,4200,0
11/01/2010,2500,3000,0
12/01/2010,5500,4200,0
01/01/2011,6400,4800,0
02/01/2011,2800,4900,0
03/01/2011,3300,4167,0
04/01/2011,-300,1933,0
05/01/2011,4300,2433,0
06/01/2011,-9700,-1900,0
07/01/2011,-1900,-2433,0
08/01/2011,-1000,-4200,0
09/01/2011,100,-933,0
10/01/2011,-1200,-700,0
11/01/2011,-4200,-1767,0
12/01/2011,-1800,-2400,0
01/01/2012,-5500,-3833,0
02/01/2012,-2400,-3233,0
03/01/2012,1000,-2300,0
04/01/2012,-300,-567,0
05/01/2012,2000,900,0
06/01/2012,-700,333,0
07/01/2012,-9000,-2567,0
08/01/2012,7200,-833,0
09/01/2012,7100,1767,0
10/01/2012,-4300,3333,0
11/01/2012,-3900,-367,0
12/01/2012,-1600,-3267,0
01/01/2013,-3800,-3100,0
02/01/2013,0,-1800,0
03/01/2013,-3100,-2300,0
04/01/2013,-7500,-3533,0
05/01/2013,-9400,-6667,0
06/01/2013,-6700,-7867,0
07/01/2013,-7900,-8000,0
08/01/2013,-7400,-7333,0
09/01/2013,-2400,-5900,0
10/01/2013,-8700,-6167,0
11/01/2013,700,-3467,0
12/01/2013,-4800,-4267,0
01/01/2014,-1700,-1933,0
02/01/2014,-5000,-3833,0
03/01/2014,-3400,-3367,0
04/01/2014,-2300,-3567,0
05/01/2014,-600,-2100,0
06/01/2014,0,-967,0
07/01/2014,1000,133,0
08/01/2014,600,533,0
09/01/2014,-2300,-233,0
10/01/2014,-600,-767,0
11/01/2014,1700,-400,0
12/01/2014,800,633,0
01/01/2015,2100,1533,0
02/01/2015,-700,733,0
03/01/2015,1700,1033,0
04/01/2015,-200,267,0
05/01/2015,2600,1367,0
06/01/2015,0,800,0
07/01/2015,-300,767,0
08/01/2015,700,133,0
09/01/2015,-1400,-333,0
10/01/2015,-500,-400,0
