date,stateandlocaltaxes
30-Jun-04,0.08
30-Sep-04,0.08
31-Dec-04,0.09
31-Mar-05,0.09
30-Jun-05,0.11
30-Sep-05,0.11
31-Dec-05,0.11
31-Mar-06,0.1
30-Jun-06,0.09
30-Sep-06,0.08
31-Dec-06,0.08
31-Mar-07,0.07
30-Jun-07,0.07
30-Sep-07,0.06
31-Dec-07,0.06
31-Mar-08,0.04
30-Jun-08,0.03
30-Sep-08,0.03
31-Dec-08,0.03
31-Mar-09,0.02
30-Jun-09,-0.01
30-Sep-09,-0.03
31-Dec-09,-0.04
31-Mar-10,-0.04
30-Jun-10,-0.01
30-Sep-10,0.01
31-Dec-10,0.01
31-Mar-11,0.03
30-Jun-11,0.04
30-Sep-11,0.04
31-Dec-11,0.05
31-Mar-12,0.04
30-Jun-12,0.03
30-Sep-12,0.03
31-Dec-12,0.03
31-Mar-13,0.05
30-Jun-13,0.06
30-Sep-13,0.06
31-Dec-13,0.06
31-Mar-14,0.05
