date,debt_actual,debt_projection
31-Dec-75,24.5,
31-Dec-76,26.7,
31-Dec-77,27.1,
31-Dec-78,26.6,
31-Dec-79,24.9,
31-Dec-80,25.5,
31-Dec-81,25.2,
31-Dec-82,27.9,
31-Dec-83,32.1,
31-Dec-84,33.1,
31-Dec-85,35.3,
31-Dec-86,38.4,
31-Dec-87,39.5,
31-Dec-88,39.8,
31-Dec-89,39.3,
31-Dec-90,40.8,
31-Dec-91,44,
31-Dec-92,46.6,
31-Dec-93,47.8,
31-Dec-94,47.7,
31-Dec-95,47.5,
31-Dec-96,46.8,
31-Dec-97,44.5,
31-Dec-98,41.6,
31-Dec-99,38.2,
31-Dec-00,33.6,
31-Dec-01,31.4,
31-Dec-02,32.5,
31-Dec-03,34.5,
31-Dec-04,35.5,
31-Dec-05,35.6,
31-Dec-06,35.3,
31-Dec-07,35.1,
31-Dec-08,39.3,
31-Dec-09,52.3,
31-Dec-10,61,
31-Dec-11,65.8,
31-Dec-12,70.1,
31-Dec-13,72,
31-Dec-14,74.4,74.4
31-Dec-15,,74
31-Dec-16,,73.6
31-Dec-17,,73
31-Dec-18,,72.8
31-Dec-19,,73.1
31-Dec-20,,73.6
31-Dec-21,,74.3
31-Dec-22,,75.4
31-Dec-23,,76.4
31-Dec-24,,77.2
