201411,,"State, Local, and Federal",,,,,,,,,,,,,,,,
,,State Government,Local Government,Federal Government Except Postal Service,,,State & Local,,,Federal,,,,,,,,
200810 !M,.excel_last,LASGOVA@USECON,LALGOVA@USECON,LAFGVXA@USECON,LAFGT@USECON,,,,,,,,,,,,,
.DESC,,"All Employees: State Government (SA, Thous)  ","All Employees: Local Government (SA, Thous)  ","All Employees: Federal Govt Except Postal Service (SA, Thous)  ","All Employees: Fed Gov Decennial Census Temp & Intermittent Workers(NSA,Thous)  ",,State&Local,State&Local,,Federal (Ex-Census),Federal (Ex-Census),,,,,,,
.SOURCE,,BLS ,BLS ,BLS ,BLS/H ,,Monthly Change,3 month Moving Average,,Monthly Change,3 month Moving Average,,,,,,,
.DTLM,,Nov-07-2014 08:31 ,Nov-07-2014 08:31 ,Nov-07-2014 08:31 ,Nov-07-2014 08:35 ,,,,,,,,,,,,,
200810,Oct-2008,5182,14595,2035.0,0,1000,#VALUE!,,,#N/A,#N/A,,,,,,,
200811,Nov-2008,5194,14588,2044.7,1,,5000,#VALUE!,,8700.0,#N/A,,,,,,,
200812,Dec-2008,5191,14590,2049.6,3,,-1000,#VALUE!,,2900.0,#N/A,,,,,,,
200901,Jan-2009,5206,14587,2059.5,5,,12000,5333,,7900.0,6500.00,,,,,,,
200902,Feb-2009,5190,14591,2068.2,6,,-12000,-333,,7700.0,6166.67,,,,,,,
200903,Mar-2009,5180,14583,2075.0,12,,-18000,-6000,,800.0,5466.67,,,,,,,
200904,Apr-2009,5182,14573,2200.8,126,,-8000,-12667,,11800.0,6766.67,,,,,,,
200905,May-2009,5187,14570,2151.6,69,,2000,-8000,,7800.0,6800.00,,,,,,,
200906,Jun-2009,5176,14586,2109.0,9,,5000,-333,,17400.0,12333.33,,,,,,,
200907,Jul-2009,5122,14573,2119.8,4,,-67000,-20000,,15800.0,13666.67,,,,,,,
200908,Aug-2009,5170,14542,2129.7,5,,17000,-15000,,8900.0,14033.33,,,,,,,
200909,Sep-2009,5144,14481,2136.6,8,,-87000,-45667,,3900.0,9533.33,,,,,,,
200910,Oct-2009,5158,14523,2156.6,17,,56000,-4667,,11000.0,7933.33,,,,,,,
200911,Nov-2009,5152,14539,2159.0,13,,10000,-7000,,6400.0,7100.00,,,,,,,
200912,Dec-2009,5150,14501,2170.2,15,,-40000,8667,,9200.0,8866.67,,,,,,,
201001,Jan-2010,5141,14479,2184.6,24,,-31000,-20333,,5400.0,7000.00,,,,,,,
201002,Feb-2010,5147,14450,2203.3,39,,-23000,-31333,,3700.0,6100.00,,,,,,,
201003,Mar-2010,5140,14449,2257.4,87,,-8000,-20667,,6100.0,5066.67,,,,,,,
201004,Apr-2010,5136,14448,2324.8,154,,-5000,-12000,,400.0,3400.00,,,,,,,
201005,May-2010,5135,14442,2756.1,564,,-7000,-6667,,21300.0,9266.67,,,,,,,
201006,Jun-2010,5139,14428,2534.2,339,,-10000,-7333,,3100.0,8266.67,,,,,,,
201007,Jul-2010,5138,14387,2397.2,196,,-42000,-19667,,6000.0,10133.33,,,,,,,
201008,Aug-2010,5130,14345,2288.9,82,,-50000,-34000,,5700.0,4933.33,,,,,,,
201009,Sep-2010,5126,14261,2214.0,6,,-88000,-60000,,1100.0,4266.67,,,,,,,
201010,Oct-2010,5139,14293,2213.6,1,,45000,-31000,,4600.0,3800.00,,,,,,,
201011,Nov-2010,5139,14281,2215.2,0,,-12000,-18333,,2600.0,2766.67,,,,,,,
201012,Dec-2010,5135,14258,2221.3,0,,-27000,2000,,6100.0,4433.33,,,,,,,
201101,Jan-2011,5141,14246,2228.2,1,,-6000,-15000,,5900.0,4866.67,,,,,,,
201102,Feb-2011,5107,14224,2232.8,3,,-56000,-29667,,2600.0,4866.67,,,,,,,
201103,Mar-2011,5096,14215,2236.3,3,,-20000,-27333,,3500.0,4000.00,,,,,,,
201104,Apr-2011,5091,14226,2234.9,0,,6000,-23333,,1600.0,2566.67,,,,,,,
201105,May-2011,5082,14171,2236.4,0,,-64000,-26000,,1500.0,2200.00,,,,,,,
201106,Jun-2011,5079,14218,2227.6,0,,44000,-4667,,-8800.0,-1900.00,,,,,,,
201107,Jul-2011,5058,14125,2225.3,0,,-114000,-44667,,-2300.0,-3200.00,,,,,,,
201108,Aug-2011,5080,14108,2224.2,0,,5000,-21667,,-1100.0,-4066.67,,,,,,,
201109,Sep-2011,5079,14068,2224.1,0,,-41000,-50000,,-100.0,-1166.67,,,,,,,
201110,Oct-2011,5055,14095,2223.4,0,,3000,-11000,,-700.0,-633.33,,,,,,,
201111,Nov-2011,5048,14081,2220.4,0,,-21000,-19667,,-3000.0,-1266.67,,,,,,,
201112,Dec-2011,5041,14066,2218.9,0,,-22000,-13333,,-1500.0,-1733.33,,,,,,,
201201,Jan-2012,5048,14061,2213.1,0,,2000,-13667,,-5800.0,-3433.33,,,,,,,
201202,Feb-2012,5049,14064,2209.4,0,,4000,-5333,,-3700.0,-3666.67,,,,,,,
201203,Mar-2012,5053,14058,2210.8,0,,-2000,1333,,1400.0,-2700.00,,,,,,,
201204,Apr-2012,5058,14047,2210.1,0,,-6000,-1333,,-700.0,-1000.00,,,,,,,
201205,May-2012,5049,14036,2211.0,0,,-20000,-9333,,900.0,533.33,,,,,,,
201206,Jun-2012,5056,14043,2210.8,0,,14000,-4000,,-200.0,0.00,,,,,,,
201207,Jul-2012,5053,14044,2202.4,0,,-2000,-2667,,-8400.0,-2566.67,,,,,,,
201208,Aug-2012,5058,14048,2209.6,0,,9000,7000,,7200.0,-466.67,,,,,,,
201209,Sep-2012,5074,14034,2215.9,0,,2000,3000,,6300.0,1700.00,,,,,,,
201210,Oct-2012,5052,14024,2212.0,0,,-32000,-7000,,-3900.0,3200.00,,,,,,,
201211,Nov-2012,5052,14021,2211.4,0,,-3000,-11000,,-600.0,600.00,,,,,,,
201212,Dec-2012,5050,14024,2209.9,0,,1000,-11333,,-1500.0,-2000.00,,,,,,,
201301,Jan-2013,5034,14023,2206.0,0,,-17000,-6333,,-3900.0,-2000.00,,,,,,,
201302,Feb-2013,5049,14024,2203.6,0,,16000,0,,-2400.0,-2600.00,,,,,,,
201303,Mar-2013,5056,14015,2199.5,0,,-2000,-1000,,-4100.0,-3466.67,,,,,,,
201304,Apr-2013,5053,14031,2190.2,0,,13000,9000,,-9300.0,-5266.67,,,,,,,
201305,May-2013,5047,14037,2179.5,0,,0,3667,,-10700.0,-8033.33,,,,,,,
201306,Jun-2013,5034,14051,2172.7,0,,1000,4667,,-6800.0,-8933.33,,,,,,,
201307,Jul-2013,5025,14050,2165.5,0,,-10000,-3000,,-7200.0,-8233.33,,,,,,,
201308,Aug-2013,5039,14065,2157.6,0,,29000,6667,,-7900.0,-7300.00,,,,,,,
201309,Sep-2013,5051,14069,2152.7,0,,16000,11667,,-4900.0,-6666.67,,,,,,,
201310,Oct-2013,5057,14065,2143.4,0,,2000,15667,,-9300.0,-7366.67,,,,,,,
