year,quarter,impact,recession,total,federal,state_local,consumption
2000,Q1,0.21413226,0,-0.85511419,-0.84,0.33,-0.34511419
2000,Q2,0.304673884,0,0.46179285,0.78,-0.06,-0.25820715
2000,Q3,0.050335376,0,-0.350738962,-0.49,0.18,-0.040738962
2000,Q4,-0.080924161,0,0.420363659,0.06,0.38,-0.009636341
2001,Q1,0.418794706,0,1.143761275,0.52,0.58,0.043761275
2001,Q2,0.642233653,1,1.355548638,0.36,0.9,0.085548638
2001,Q3,0.967380415,1,0.949848089,0.15,-0.23,1.029848089
2001,Q4,1.470264816,1,2.43190126,0.3,0.91,1.22190126
2002,Q1,1.799763335,0,2.461755353,0.84,0.44,1.171755353
2002,Q2,2.020401154,0,2.238099916,0.51,0.06,1.658099916
2002,Q3,2.235702019,0,1.811051545,0.26,0.14,1.411051545
2002,Q4,2.055607858,0,1.711524618,0.47,0.12,1.121524618
2003,Q1,1.757819766,0,1.270602985,0.32,-0.22,1.180602985
2003,Q2,1.648976878,0,1.802728364,0.98,-0.24,1.062728364
2003,Q3,1.503291549,0,1.228310229,0,0.2,1.028310229
2003,Q4,1.364109481,0,1.154796346,0.54,-0.06,0.674796346
2004,Q1,1.220410522,0,0.695807148,0.31,0.03,0.355807148
2004,Q2,0.892344981,0,0.490466201,0.17,0.03,0.280466201
2004,Q3,0.625916645,0,0.162596885,0.33,-0.18,0.012596885
2004,Q4,0.330735125,0,-0.025929735,-0.05,0.02,0.004070265
2005,Q1,0.134431687,0,-0.089406603,0.33,0.06,-0.489406603
2005,Q2,-0.108037635,0,-0.479411089,-0.03,-0.01,-0.439411089
2005,Q3,-0.189722911,0,-0.164144215,0.22,0.03,-0.414144215
2005,Q4,-0.301051352,0,-0.471243502,0.01,0.05,-0.521243502
2006,Q1,-0.169707946,0,0.435967023,0.75,0.21,-0.524032977
2006,Q2,-0.202503144,0,-0.61059188,-0.2,0.18,-0.58059188
2006,Q3,-0.26253063,0,-0.404254158,-0.26,0.15,-0.294254158
2006,Q4,-0.081813556,0,0.251624791,0.43,0.21,-0.388375209
2007,Q1,-0.22956754,0,-0.155048911,-0.16,0.29,-0.285048911
2007,Q2,0.007956227,0,0.339503186,0.48,0.23,-0.370496814
2007,Q3,0.172007954,0,0.251952749,0.25,0.1,-0.098047251
2007,Q4,0.286434616,0,0.709331438,0.48,0.12,0.109331438
2008,Q1,0.375075279,1,0.199513743,0.44,-0.27,0.029513743
2008,Q2,0.99211289,1,2.80765363,0.64,0.04,2.12765363
2008,Q3,1.313143993,1,1.536077161,0.39,0.25,0.896077161
2008,Q4,1.458851177,1,1.292160174,0.41,0.15,0.742160174
