date,impact,recession,total,federal,state_local,consumption,Hutchins Center Fiscal Impact Measure,,,,,,,,
03/31/00,0.21,0,-0.94,-0.95,0.36,-0.35,Source: Hutchins Center on Fiscal and Monetary Policy calculations from BEA data,,,,,,,,
06/30/00,0.31,0,0.64,0.88,0.02,-0.26,,,,,,,,,
09/30/00,0.10,0,-0.19,-0.42,0.27,-0.04,,,,,,,,,
12/31/00,-0.07,0,0.23,-0.13,0.35,0.00,,,,,,,,,
03/31/01,0.45,0,1.11,0.53,0.54,0.04,,,,,,,,,
06/30/01,0.67,1,1.52,0.49,0.95,0.09,,,,,,,,,
09/30/01,0.96,1,0.99,0.21,-0.26,1.04,,,,,,,,,
12/31/01,1.48,1,2.31,0.20,0.88,1.24,,,,,,,,,
03/31/02,1.78,0,2.29,0.64,0.47,1.18,,,,,,,,,
06/30/02,1.99,0,2.36,0.62,0.11,1.63,,,,,,,,,
09/30/02,2.22,0,1.94,0.42,0.17,1.35,,,,,,,,,
12/31/02,2.05,0,1.63,0.50,0.05,1.08,,,,,,,,,
03/31/03,1.72,0,0.95,0.02,-0.26,1.19,,,,,,,,,
06/30/03,1.71,0,2.32,1.42,-0.19,1.09,,,,,,,,,
09/30/03,1.48,0,1.03,-0.16,0.18,1.01,,,,,,,,,
12/31/03,1.34,0,1.08,0.56,-0.13,0.65,,,,,,,,,
03/31/04,1.26,0,0.60,0.20,0.01,0.39,,,,,,,,,
06/30/04,0.87,0,0.77,0.29,0.15,0.33,,,,,,,,,
09/30/04,0.69,0,0.31,0.51,-0.21,0.01,,,,,,,,,
12/31/04,0.34,0,-0.33,-0.25,-0.08,0.00,,,,,,,,,
03/31/05,0.12,0,-0.27,0.17,0.00,-0.45,,,,,,,,,
06/30/05,-0.14,0,-0.28,0.06,0.07,-0.42,,,,,,,,,
09/30/05,-0.17,0,0.19,0.53,0.07,-0.41,,,,,,,,,
12/31/05,-0.28,0,-0.75,-0.43,0.15,-0.46,,,,,,,,,
03/31/06,-0.19,0,0.07,0.71,-0.11,-0.54,,,,,,,,,
06/30/06,-0.20,0,-0.32,-0.04,0.31,-0.59,,,,,,,,,
09/30/06,-0.28,0,-0.12,0.01,0.16,-0.28,,,,,,,,,
12/31/06,-0.06,0,0.12,0.30,0.20,-0.39,,,,,,,,,
03/31/07,-0.19,0,-0.46,-0.39,0.23,-0.30,,,,,,,,,
06/30/07,-0.04,0,0.31,0.46,0.20,-0.35,,,,,,,,,
09/30/07,0.10,0,0.41,0.55,0.01,-0.15,,,,,,,,,
12/31/07,0.16,0,0.37,0.16,0.15,0.06,,,,,,,,,
03/31/08,0.37,1,0.38,0.47,-0.15,0.06,,,,,,,,,
06/30/08,0.99,1,2.79,0.56,0.07,2.17,,,,,,,,,
09/30/08,1.39,1,2.02,0.91,0.22,0.89,,,,,,,,,
12/31/08,1.62,1,1.28,0.56,0.00,0.72,,,,,,,,,
03/31/09,2.16,1,2.56,-0.24,0.39,2.41,,,,,,,,,
06/30/09,2.22,1,3.04,1.09,0.47,1.48,,,,,,,,,
09/30/09,2.45,0,2.93,0.47,0.01,2.45,,,,,,,,,
12/31/09,2.67,0,2.15,0.02,-0.19,2.32,,,,,,,,,
03/31/10,2.42,0,1.57,0.32,-0.95,2.20,,,,,,,,,
06/30/10,2.14,0,1.92,0.71,-0.10,1.31,,,,,,,,,
09/30/10,1.71,0,1.18,0.32,-0.39,1.25,,,,,,,,,
12/31/10,1.21,0,0.16,-0.23,-0.63,1.03,,,,,,,,,
03/31/11,0.35,0,-1.86,-0.95,-0.65,-0.26,,,,,,,,,
06/30/11,-0.26,0,-0.54,0.14,-0.22,-0.46,,,,,,,,,
09/30/11,-0.84,0,-1.14,-0.35,-0.17,-0.62,,,,,,,,,
12/31/11,-1.13,0,-0.99,-0.21,-0.10,-0.68,,,,,,,,,
03/31/12,-0.96,0,-1.18,-0.03,-0.36,-0.78,,,,,,,,,
06/30/12,-1.08,0,-1.00,-0.24,-0.14,-0.61,,,,,,,,,
09/30/12,-0.96,0,-0.65,0.04,-0.26,-0.43,,,,,,,,,
12/31/12,-1.02,0,-1.27,-0.45,-0.30,-0.52,,,,,,,,,
03/31/13,-1.15,0,-1.67,-0.86,0.02,-0.84,,,,,,,,,
06/30/13,-1.20,0,-1.23,-0.41,0.03,-0.86,,,,,,,,,
09/30/13,-1.24,0,-0.78,-0.39,0.01,-0.41,,,,,,,,,
12/31/13,-1.17,0,-0.98,-0.42,-0.11,-0.45,,,,,,,,,
03/31/14,-0.94,0,-0.78,-0.01,-0.17,-0.59,,,,,,,,,
06/30/14,-0.72,0,-0.34,-0.20,0.22,-0.36,,,,,,,,,
09/30/14,-0.49,0,0.13,0.28,0.18,-0.33,,,,,,,,,
12/31/14,-0.32,0,-0.30,-0.43,0.36,-0.23,,,,,,,,,
03/31/15,-0.03,0,0.40,0.13,0.32,-0.05,,,,,,,,,
06/30/15,0.20,0,0.58,0.01,0.56,0.01,,,,,,,,,
09/30/15,0.25,0,0.31,0.06,0.27,-0.03,,,,,,,,,
12/31/15,0.35,0,0.11,0.25,-0.07,-0.07,,,,,,,,,
03/31/16,0.33,0,0.34,-0.10,0.39,0.06,,,,,,,,,
06/30/16,0.13,0,-0.24,-0.02,-0.28,0.06,,,,,,,,,
09/30/16,0.071,0,0.082,0.16,-0.02,-0.06,,,,,,,,,
12/31/16,0.084,0,0.160,-0.08,0.11,0.13,,,,,,,,,
03/31/17,0.001,0,0.006,-0.14,-0.06,0.21,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
