date,impact,recession,total,federal,state_local,consumption,Hutchins Center Fiscal Impact Measure
3/31/2000,0.21,0,-0.86,-0.84,0.33,-0.35,Source: Hutchins Center on Fiscal and Monetary Policy calculations from BEA data
6/30/2000,0.3,0,0.46,0.78,-0.06,-0.26,
9/30/2000,0.05,0,-0.35,-0.49,0.18,-0.04,
12/31/2000,-0.08,0,0.42,0.06,0.38,-0.01,
3/31/2001,0.42,0,1.14,0.52,0.58,0.04,
6/30/2001,0.64,1,1.35,0.36,0.9,0.08,
9/30/2001,0.97,1,0.95,0.15,-0.23,1.03,
12/31/2001,1.47,1,2.42,0.3,0.91,1.21,
3/31/2002,1.8,0,2.46,0.84,0.44,1.17,
6/30/2002,2.02,0,2.24,0.51,0.06,1.66,
9/30/2002,2.23,0,1.81,0.26,0.14,1.41,
12/31/2002,2.05,0,1.7,0.47,0.12,1.11,
3/31/2003,1.75,0,1.27,0.32,-0.22,1.18,
6/30/2003,1.64,0,1.8,0.98,-0.24,1.06,
9/30/2003,1.5,0,1.22,0,0.2,1.02,
12/31/2003,1.36,0,1.15,0.54,-0.06,0.67,
3/31/2004,1.21,0,0.68,0.31,0.03,0.34,
6/30/2004,0.88,0,0.48,0.17,0.03,0.27,
9/30/2004,0.61,0,0.15,0.33,-0.18,0,
12/31/2004,0.32,0,-0.04,-0.05,0.02,-0.01,
3/31/2005,0.12,0,-0.1,0.33,0.06,-0.5,
6/30/2005,-0.12,0,-0.49,-0.03,-0.01,-0.45,
9/30/2005,-0.2,0,-0.17,0.22,0.03,-0.42,
12/31/2005,-0.31,0,-0.47,0.01,0.05,-0.52,
3/31/2006,-0.17,0,0.43,0.75,0.21,-0.53,
6/30/2006,-0.2,0,-0.61,-0.2,0.18,-0.58,
9/30/2006,-0.26,0,-0.4,-0.26,0.15,-0.29,
12/31/2006,-0.08,0,0.26,0.43,0.21,-0.38,
3/31/2007,-0.22,0,-0.14,-0.16,0.29,-0.27,
6/30/2007,0.02,0,0.35,0.48,0.23,-0.36,
9/30/2007,0.18,0,0.26,0.25,0.1,-0.09,
12/31/2007,0.3,0,0.71,0.48,0.12,0.11,
3/31/2008,0.39,1,0.21,0.44,-0.27,0.04,
6/30/2008,1,1,2.82,0.64,0.04,2.14,
9/30/2008,1.32,1,1.54,0.39,0.25,0.9,
12/31/2008,1.47,1,1.31,0.41,0.15,0.76,
3/31/2009,2.26,1,3.37,0.41,0.51,2.45,
6/30/2009,2.24,1,2.74,0.77,0.44,1.52,
9/30/2009,2.53,0,2.7,0.31,-0.07,2.47,
12/31/2009,2.82,0,2.48,0.52,-0.35,2.31,
3/31/2010,2.46,0,1.9,0.39,-0.73,2.23,
6/30/2010,2.18,0,1.65,0.46,-0.17,1.35,
9/30/2010,1.69,0,0.73,-0.15,-0.43,1.3,
12/31/2010,1.21,0,0.55,-0.05,-0.47,1.07,
3/31/2011,0.42,0,-1.24,-0.47,-0.54,-0.23,
6/30/2011,-0.24,0,-0.99,-0.12,-0.43,-0.44,
9/30/2011,-0.85,0,-1.73,-0.72,-0.43,-0.57,
12/31/2011,-1.15,0,-0.65,0.14,-0.18,-0.61,
3/31/2012,-1.1,0,-1.05,0.01,-0.34,-0.71,
6/30/2012,-1.1,0,-0.97,-0.25,-0.15,-0.56,
9/30/2012,-0.81,0,-0.55,0.07,-0.18,-0.43,
12/31/2012,-0.97,0,-1.3,-0.63,-0.13,-0.54,
3/31/2013,-1.09,0,-1.55,-0.71,0.03,-0.87,
6/30/2013,-1.1,0,-1,-0.24,0.11,-0.87,
9/30/2013,-1.17,0,-0.82,-0.43,0.03,-0.42,
12/31/2013,-1.11,0,-1.08,-0.5,-0.08,-0.5,
3/31/2014,-0.96,0,-0.93,0.03,-0.28,-0.67,
6/30/2014,-0.81,0,-0.42,-0.27,0.26,-0.42,
9/30/2014,-0.56,0,0.21,0.33,0.18,-0.3,
12/31/2014,-0.35,0,-0.26,-0.42,0.35,-0.19,
3/31/2015,-0.02,0,0.4,0.15,0.26,0,
6/30/2015,0.26,0,0.69,0.07,0.63,-0.01,
9/30/2015,0.28,0,0.27,-0.04,0.37,-0.06,
12/31/2015,0.37,0,0.1,0.16,-0.03,-0.02,
3/31/2016,0.43,0,0.67,0.02,0.58,0.07,
6/30/2016,0.23,0,-0.11,-0.1,-0.04,0.04,
9/30/2016,0.189,0,0.092,0.11,0.07,-0.08,
12/31/2016,0.168,0,0.021,0.03,0,-0.01,
3/31/2017,-0.011,0,-0.047,0,-0.13,0.08,
6/30/2017,0.039,0,0.089,0.16,-0.15,0.08,
9/30/2017,-0.017,0,-0.13,-0.08,-0.1,0.05,
12/31/2017,0.09,0,0.449,0.26,0.15,0.04,
3/31/2018,0.208,0,0.422,0.17,0.1,0.15,
6/30/2018,0.364,0,0.714,0.24,0.20,0.28,
