date,healthproj,ssproj,interestproj,otherproj,healthactj,ssact,interestact,otheract,RecessionDummy
01/01/1975,,,,,1.3,3.95,1.44,13.94,1
01/01/1976,,,,,1.43,4.06,1.49,13.79,0
01/01/1977,,,,,1.51,4.13,1.47,13.06,0
01/01/1978,,,,,1.54,4.06,1.56,12.99,0
01/01/1979,,,,,1.58,3.99,1.66,12.38,0
01/01/1980,,,,,1.71,4.19,1.88,13.35,1
01/01/1981,,,,,1.85,4.39,2.19,13.18,1
01/01/1982,,,,,2.01,4.65,2.57,13.28,1
01/01/1983,,,,,2.1,4.76,2.54,13.43,0
01/01/1984,,,,,2.06,4.45,2.81,12.23,0
01/01/1985,,,,,2.16,4.37,3.03,12.6,0
01/01/1986,,,,,2.19,4.33,3,12.32,0
01/01/1987,,,,,2.25,4.29,2.9,11.56,0
01/01/1988,,,,,2.25,4.21,2.95,11.24,0
01/01/1989,,,,,2.29,4.14,3.03,11.07,0
01/01/1990,,,,,2.51,4.17,3.12,11.4,1
01/01/1991,,,,,2.73,4.37,3.18,11.4,1
01/01/1992,,,,,3.07,4.43,3.1,10.88,0
01/01/1993,,,,,3.22,4.44,2.92,10.15,0
01/01/1994,,,,,3.36,4.4,2.82,9.73,0
01/01/1995,,,,,3.51,4.4,3.06,9.02,0
01/01/1996,,,,,3.55,4.35,3.02,8.64,0
01/01/1997,,,,,3.58,4.27,2.88,8.15,0
01/01/1998,,,,,3.49,4.2,2.69,8.07,0
01/01/1999,,,,,3.34,4.07,2.42,8.07,0
01/01/2000,,,,,3.29,4,2.2,8.14,0
01/01/2001,,,,,3.48,4.06,1.95,8.14,1
01/01/2002,,,,,3.69,4.16,1.57,9.07,0
01/01/2003,,,,,3.84,4.15,1.35,9.72,0
01/01/2004,,,,,3.92,4.07,1.33,9.66,0
01/01/2005,,,,,4.01,4.03,1.43,9.72,0
01/01/2006,,,,,4.07,3.98,1.66,9.7,0
01/01/2007,,,,,4.38,4.06,1.66,8.96,0
01/01/2008,,,,,4.46,4.15,1.71,9.9,1
01/01/2009,,,,,5.21,4.7,1.3,13.2,1
01/01/2010,,,,,5.36,4.74,1.33,11.94,0
01/01/2011,,,,,5.43,4.71,1.5,11.79,0
01/01/2012,,,,,5,4.79,1.38,10.9,0
01/01/2013,,,,,5.16,4.9,1.34,9.55,0
01/01/2014,,,,,5.25,4.92,1.33,8.91,0
01/01/2015,5.52,4.95,1.25,8.98,5.52,4.95,1.25,8.98,0
01/01/2016,5.4,4.9,1.5,9.2,,,,,0
01/01/2017,5.3,4.9,1.7,8.8,,,,,0
01/01/2018,5.2,5,2,8.4,,,,,0
01/01/2019,5.4,5.1,2.2,8.2,,,,,0
01/01/2020,5.5,5.2,2.4,8.1,,,,,0
01/01/2021,5.6,5.3,2.6,7.9,,,,,0
01/01/2022,5.9,5.4,2.7,7.9,,,,,0
01/01/2023,5.9,5.5,2.8,7.6,,,,,0
01/01/2024,5.8,5.6,2.9,7.4,,,,,0
01/01/2025,6.1,5.7,3,7.4,,,,,0
01/01/2026,6.2,5.8,3.1,7.3,,,,,0
01/01/2027,6.3,5.9,3.2,7.3,,,,,0
01/01/2028,6.4,5.9,3.3,7.3,,,,,0
01/01/2029,6.6,6,3.4,7.2,,,,,0
01/01/2030,6.8,6.1,3.5,7.2,,,,,0
01/01/2031,6.9,6.1,3.6,7.2,,,,,0
01/01/2032,7,6.2,3.7,7.1,,,,,0
01/01/2033,7.2,6.2,3.7,7.1,,,,,0
01/01/2034,7.3,6.2,3.8,7.1,,,,,0
01/01/2035,7.4,6.3,3.9,7,,,,,0
