date,deficit_actual,deficit_proj
1975,-53.00,
1976,-74.00,
1977,-54.00,
1978,-59.00,
1979,-41.00,
1980,-74.00,
1981,-79.00,
1982,-128.00,
1983,-208.00,
1984,-185.00,
1985,-212.00,
1986,-221.00,
1987,-150.00,
1988,-155.00,
1989,-153.00,
1990,-221.00,
1991,-269.00,
1992,-290.00,
1993,-255.00,
1994,-203.00,
1995,-164.00,
1996,-107.00,
1997,-22.00,
1998,69.00,
1999,126.00,
2000,236.00,
2001,128.00,
2002,-158.00,
2003,-378.00,
2004,-413.00,
2005,-318.00,
2006,-248.00,
2007,-161.00,
2008,-459.00,
2009,-1413.00,
2010,-1294.00,
2011,-1300.00,
2012,-1087.00,
2013,-680.00,
2014,-506.00,-506.00
2015,,-469.00
2016,,-556.00
2017,,-530.00
2018,,-560.00
2019,,-661.00
2020,,-737.00
2021,,-820.00
2022,,-946.00
2023,,-957.00
2024,,-960.00
