date,MonthlyChange,MovingAverage
12/1/2008,,
1/1/2009,12000,5333
2/1/2009,-12000,-333
3/1/2009,-18000,-6000
4/1/2009,-8000,-12667
5/1/2009,2000,-8000
6/1/2009,5000,-333
7/1/2009,-67000,-20000
8/1/2009,17000,-15000
9/1/2009,-87000,-45667
10/1/2009,56000,-4667
11/1/2009,10000,-7000
12/1/2009,-40000,8667
1/1/2010,-31000,-20333
2/1/2010,-23000,-31333
3/1/2010,-8000,-20667
4/1/2010,-5000,-12000
5/1/2010,-7000,-6667
6/1/2010,-10000,-7333
7/1/2010,-42000,-19667
8/1/2010,-50000,-34000
9/1/2010,-88000,-60000
10/1/2010,45000,-31000
11/1/2010,-12000,-18333
12/1/2010,-27000,2000
1/1/2011,-6000,-15000
2/1/2011,-56000,-29667
3/1/2011,-20000,-27333
4/1/2011,6000,-23333
5/1/2011,-64000,-26000
6/1/2011,44000,-4667
7/1/2011,-114000,-44667
8/1/2011,5000,-21667
9/1/2011,-41000,-50000
10/1/2011,3000,-11000
11/1/2011,-21000,-19667
12/1/2011,-22000,-13333
1/1/2012,2000,-13667
2/1/2012,4000,-5333
3/1/2012,-2000,1333
4/1/2012,-6000,-1333
5/1/2012,-20000,-9333
6/1/2012,14000,-4000
7/1/2012,-2000,-2667
8/1/2012,9000,7000
9/1/2012,2000,3000
10/1/2012,-32000,-7000
11/1/2012,-3000,-11000
12/1/2012,1000,-11333
1/1/2013,-17000,-6333
2/1/2013,16000,0
3/1/2013,-2000,-1000
4/1/2013,13000,9000
5/1/2013,0,3667
6/1/2013,1000,4667
7/1/2013,-10000,-3000
8/1/2013,29000,6667
9/1/2013,16000,11667
10/1/2013,2000,15667
11/1/2013,-5000,4333
12/1/2013,1000,-667
1/1/2014,-7000,-3667
2/1/2014,24000,6000
3/1/2014,8000,8333
4/1/2014,26000,19333
5/1/2014,2000,12000
6/1/2014,4000,10667
7/1/2014,6000,4000
8/1/2014,5000,5000
9/1/2014,14000,8333
