date,Spending,RecessionDummy
1-Jan-09,288.7,1
1-Apr-09,294.7,1
1-Jul-09,293.3,0
1-Oct-09,282.4,0
1-Jan-10,273.6,0
1-Apr-10,284.2,0
1-Jul-10,285.6,0
1-Oct-10,274.5,0
1-Jan-11,265.7,0
1-Apr-11,261.4,0
1-Jul-11,258.6,0
1-Oct-11,257.9,0
1-Jan-12,248.9,0
1-Apr-12,246.1,0
1-Jul-12,238.5,0
1-Oct-12,230.3,0
1-Jan-13,228.3,0
1-Apr-13,228.8,0
1-Jul-13,228.8,0
1-Oct-13,225.7,0
1-Jan-14,222.7,0
1-Apr-14,228,0
1-Jul-14,228.9,0
1-Oct-14,232.7,0
1-Jan-15,233.6,0
1-Apr-15,246.3,0
1-Jul-15,246.9,0
1-Oct-15,241.8,0
1-Jan-16,253.9,0
1-Apr-16,239.8,0
1-Jul-16,228.6,0
