date,MonthlyChange,MovingAverage,RecessionDummy
12/01/2008,,,1
01/01/2009,7900,6500,1
02/01/2009,7700,6167,1
03/01/2009,800,5467,1
04/01/2009,11800,6767,1
05/01/2009,7800,6800,1
06/01/2009,17400,12333,1
07/01/2009,15800,13667,0
08/01/2009,8900,14033,0
09/01/2009,3900,9533,0
10/01/2009,11000,7933,0
11/01/2009,6400,7100,0
12/01/2009,9200,8867,0
01/01/2010,4500,6700,0
02/01/2010,5100,6267,0
03/01/2010,6700,5433,0
04/01/2010,-2200,3200,0
05/01/2010,23800,9433,0
06/01/2010,1700,7767,0
07/01/2010,5600,10367,0
08/01/2010,6100,4467,0
09/01/2010,1900,4533,0
10/01/2010,4600,4200,0
11/01/2010,2500,3000,0
12/01/2010,5500,4200,0
01/01/2011,7100,5033,0
02/01/2011,1600,4733,0
03/01/2011,4100,4267,0
04/01/2011,100,1933,0
05/01/2011,1200,1800,0
06/01/2011,-6100,-1600,0
07/01/2011,-2700,-2533,0
08/01/2011,-3500,-4100,0
09/01/2011,1100,-1700,0
10/01/2011,-200,-867,0
11/01/2011,-2800,-633,0
12/01/2011,-2900,-1967,0
01/01/2012,-5000,-3567,0
02/01/2012,-2500,-3467,0
03/01/2012,1300,-2067,0
04/01/2012,-1000,-733,0
05/01/2012,-100,67,0
06/01/2012,1700,200,0
07/01/2012,-9200,-2533,0
08/01/2012,5900,-533,0
09/01/2012,8200,1633,0
10/01/2012,-4400,3233,0
11/01/2012,-3600,67,0
12/01/2012,-1000,-3000,0
01/01/2013,-3900,-2833,0
02/01/2013,-100,-1667,0
03/01/2013,-2500,-2167,0
04/01/2013,-9100,-3900,0
05/01/2013,-10100,-7233,0
06/01/2013,-6500,-8567,0
07/01/2013,-7200,-7933,0
08/01/2013,-8600,-7433,0
09/01/2013,-900,-5567,0
10/01/2013,-8900,-6133,0
11/01/2013,2500,-2433,0
12/01/2013,-5000,-3800,0
01/01/2014,-3200,-1900,0
02/01/2014,-5500,-4567,0
03/01/2014,-2000,-3567,0
04/01/2014,-2700,-3400,0
05/01/2014,-700,-1800,0
06/01/2014,2300,-367,0
07/01/2014,3000,1533,0
08/01/2014,1200,2167,0
09/01/2014,400,1533,0
10/01/2014,2300,1300,0
11/01/2014,2500,1733,0
12/01/2014,1900,2233,0
01/01/2015,4400,2933,0
02/01/2015,-700,1867,0
03/01/2015,1000,1567,0
04/01/2015,1600,633,0
05/01/2015,3100,1900,0
06/01/2015,-800,1300,0
07/01/2015,800,1033,0
08/01/2015,600,200,0
09/01/2015,400,600,0
10/01/2015,-400,200,0
11/01/2015,2300,767,0
12/01/2015,4500,2133,0
01/01/2016,800,2533,0
02/01/2016,-1800,1167,0
03/01/2016,3400,800,0
04/01/2016,2500,1367,0
05/01/2016,5300,3733,0
06/01/2016,5700,4500,0
07/01/2016,2200,4400,0
