date,Fiscal_Impact,RecessionDummy
31-Mar-00,0.216,0
30-Jun-00,0.317,0
30-Sep-00,0.102,0
31-Dec-00,-0.067,0
31-Mar-01,0.446,1
30-Jun-01,0.666,1
30-Sep-01,0.961,1
31-Dec-01,1.481,1
31-Mar-02,1.776,0
30-Jun-02,1.986,0
30-Sep-02,2.223,0
31-Dec-02,2.054,0
31-Mar-03,1.719,0
30-Jun-03,1.709,0
30-Sep-03,1.483,0
31-Dec-03,1.344,0
31-Mar-04,1.257,0
30-Jun-04,0.869,0
30-Sep-04,0.688,0
31-Dec-04,0.337,0
31-Mar-05,0.119,0
30-Jun-05,-0.142,0
30-Sep-05,-0.171,0
31-Dec-05,-0.278,0
31-Mar-06,-0.192,0
30-Jun-06,-0.202,0
30-Sep-06,-0.28,0
31-Dec-06,-0.06,0
31-Mar-07,-0.193,0
30-Jun-07,-0.036,0
30-Sep-07,0.096,0
31-Dec-07,0.157,1
31-Mar-08,0.365,1
30-Jun-08,0.854,1
30-Sep-08,1.218,1
31-Dec-08,1.362,1
31-Mar-09,1.881,1
30-Jun-09,2.361,1
30-Sep-09,2.711,0
31-Dec-09,3.023,0
31-Mar-10,2.775,0
30-Jun-10,2.098,0
30-Sep-10,1.508,0
31-Dec-10,0.955,0
31-Mar-11,0.141,0
30-Jun-11,-0.347,0
30-Sep-11,-0.848,0
31-Dec-11,-1.078,0
31-Mar-12,-0.947,0
30-Jun-12,-0.982,0
30-Sep-12,-0.643,0
31-Dec-12,-0.803,0
31-Mar-13,-0.892,0
30-Jun-13,-0.933,0
30-Sep-13,-1.089,0
31-Dec-13,-1.003,0
31-Mar-14,-0.767,0
30-Jun-14,-0.599,0
