date,rev,revproj,outl,outlproj
31-Dec-76,16.65,,20.77,
31-Dec-77,17.53,,20.18,
31-Dec-78,17.54,,20.14,
31-Dec-79,18.03,,19.61,
31-Dec-80,18.49,,21.13,
31-Dec-81,19.1,,21.61,
31-Dec-82,18.64,,22.5,
31-Dec-83,16.96,,22.83,
31-Dec-84,16.86,,21.55,
31-Dec-85,17.19,,22.16,
31-Dec-86,16.96,,21.83,
31-Dec-87,17.87,,21,
31-Dec-88,17.64,,20.65,
31-Dec-89,17.79,,20.53,
31-Dec-90,17.45,,21.19,
31-Dec-91,17.27,,21.67,
31-Dec-92,16.96,,21.47,
31-Dec-93,16.99,,20.74,
31-Dec-94,17.49,,20.31,
31-Dec-95,17.83,,19.99,
31-Dec-96,18.21,,19.56,
31-Dec-97,18.62,,18.87,
31-Dec-98,19.23,,18.45,
31-Dec-99,19.21,,17.89,
31-Dec-00,19.95,,17.62,
31-Dec-01,18.84,,17.63,
31-Dec-02,17.03,,18.48,
31-Dec-03,15.73,,19.06,
31-Dec-04,15.55,,18.96,
31-Dec-05,16.71,,19.18,
31-Dec-06,17.59,,19.4,
31-Dec-07,17.93,,19.05,
31-Dec-08,17.11,,20.21,
31-Dec-09,14.6,,24.41,
31-Dec-10,14.62,,23.37,
31-Dec-11,14.97,,23.42,
31-Dec-12,15.22,15.2,21.98,22
31-Dec-13,16.69,16.7,20.77,20.8
31-Dec-14,,17.5,,20.4
31-Dec-15,,18.3,,20.9
31-Dec-16,,18.1,,21
31-Dec-17,,18.1,,20.8
31-Dec-18,,18,,20.7
31-Dec-19,,18,,21.1
31-Dec-20,,18.1,,21.3
31-Dec-21,,18.1,,21.5
31-Dec-22,,18.1,,21.9
31-Dec-23,,18.2,,21.9
31-Dec-24,,18.2,,21.8
