date,Fiscal_Impact,RecessionDummy
3/31/2000,0.216,0
6/30/2000,0.317,0
9/30/2000,0.102,0
12/31/2000,-0.067,0
3/31/2001,0.446,1
6/30/2001,0.666,1
9/30/2001,0.961,1
12/31/2001,1.481,1
3/31/2002,1.776,0
6/30/2002,1.986,0
9/30/2002,2.223,0
12/31/2002,2.054,0
3/31/2003,1.719,0
6/30/2003,1.709,0
9/30/2003,1.483,0
12/31/2003,1.344,0
3/31/2004,1.257,0
6/30/2004,0.869,0
9/30/2004,0.688,0
12/31/2004,0.337,0
3/31/2005,0.119,0
6/30/2005,-0.142,0
9/30/2005,-0.171,0
12/31/2005,-0.278,0
3/31/2006,-0.192,0
6/30/2006,-0.202,0
9/30/2006,-0.28,0
12/31/2006,-0.06,0
3/31/2007,-0.193,0
6/30/2007,-0.036,0
9/30/2007,0.096,0
12/31/2007,0.157,1
3/31/2008,0.365,1
6/30/2008,0.854,1
9/30/2008,1.218,1
12/31/2008,1.362,1
3/31/2009,1.881,1
6/30/2009,2.361,1
9/30/2009,2.711,0
12/31/2009,3.023,0
3/31/2010,2.775,0
6/30/2010,2.098,0
9/30/2010,1.508,0
12/31/2010,0.955,0
3/31/2011,0.141,0
6/30/2011,-0.347,0
9/30/2011,-0.848,0
12/31/2011,-1.078,0
3/31/2012,-0.947,0
6/30/2012,-0.982,0
9/30/2012,-0.643,0
12/31/2012,-0.803,0
3/31/2013,-0.892,0
6/30/2013,-0.933,0
9/30/2013,-1.089,0
12/31/2013,-1.003,0
3/31/2014,-0.767,0
6/30/2014,-0.599,0
