date,fedmonthlych,fedmovingavg
12/1/2008,,
1/1/2009,7900,6500
2/1/2009,7700,6166.67
3/1/2009,800,5466.67
4/1/2009,11800,6766.67
5/1/2009,7800,6800
6/1/2009,17400,12333.33
7/1/2009,15800,13666.67
8/1/2009,8900,14033.33
9/1/2009,3900,9533.33
10/1/2009,11000,7933.33
11/1/2009,6400,7100
12/1/2009,9200,8866.67
1/1/2010,5400,7000
2/1/2010,3700,6100
3/1/2010,6100,5066.67
4/1/2010,400,3400
5/1/2010,21300,9266.67
6/1/2010,3100,8266.67
7/1/2010,6000,10133.33
8/1/2010,5700,4933.33
9/1/2010,1100,4266.67
10/1/2010,4600,3800
11/1/2010,2600,2766.67
12/1/2010,6100,4433.33
1/1/2011,5900,4866.67
2/1/2011,2600,4866.67
3/1/2011,3500,4000
4/1/2011,1600,2566.67
5/1/2011,1500,2200
6/1/2011,-8800,-1900
7/1/2011,-2300,-3200
8/1/2011,-1100,-4066.67
9/1/2011,-100,-1166.67
10/1/2011,-700,-633.33
11/1/2011,-3000,-1266.67
12/1/2011,-1500,-1733.33
1/1/2012,-5800,-3433.33
2/1/2012,-3700,-3666.67
3/1/2012,1400,-2700
4/1/2012,-700,-1000
5/1/2012,900,533.33
6/1/2012,-200,0
7/1/2012,-8400,-2566.67
8/1/2012,7200,-466.67
9/1/2012,6300,1700
10/1/2012,-3900,3200
11/1/2012,-600,600
12/1/2012,-1500,-2000
1/1/2013,-3900,-2000
2/1/2013,-2400,-2600
3/1/2013,-4100,-3466.67
4/1/2013,-9300,-5266.67
5/1/2013,-10700,-8033.33
6/1/2013,-6800,-8933.33
7/1/2013,-7200,-8233.33
8/1/2013,-7900,-7300
9/1/2013,-4900,-6666.67
10/1/2013,-9300,-7366.67
11/1/2013,4200,-3333.33
12/1/2013,-6300,-3800
1/1/2014,-5600,-2566.67
2/1/2014,-6300,-6066.67
3/1/2014,-4000,-5300
4/1/2014,-2800,-4366.67
5/1/2014,200,-2200
6/1/2014,200,-800
7/1/2014,1600,666.67
8/1/2014,1100,966.67
