year,quarter,recession,projection,total,impact,federal,state_local,consumption
1999,Q4,0,0,0.007381014285643195,-0.4220545814369034,0.2318136940835876,0.1384476835461522,-0.36288036334409657
2000,Q1,0,0,-1.8145913867151817,-0.704441009731198,-1.3115916614186498,0.038839895624391635,-0.5418396209209235
2000,Q2,0,0,-0.308831144879111,-0.5742285921939461,0.47071089440608077,-0.5107329829851925,-0.26880905629999924
2000,Q3,0,0,-1.1454346552893595,-0.8153690431495025,-0.7542304097927617,-0.26069532911354965,-0.13050891638304818
2000,Q4,0,0,-0.33966387409313326,-0.9021302652441967,0.037946776560774206,-0.27905882766963636,-0.09855182298427112
2001,Q1,1,0,0.5754644681949816,-0.30461630151665586,0.4176699769362638,0.03463379122030326,0.12316070003841462
2001,Q2,1,0,0.844267665572887,-0.016341598903656357,0.38542330687409543,0.2634165840868962,0.19542777461189545
2001,Q3,1,0,0.5103499645621544,0.3976045560592221,-0.3246051547334287,-0.34476006522688024,1.1797151845224634
2001,Q4,1,0,1.4400751401820031,0.8425393096280062,0.1230989010896827,0.5335658662608733,0.7834103728314471
2002,Q1,0,0,1.9322875311932988,1.1817450753775853,1.0522451273351705,-0.2965791441100969,1.1766215479682252
2002,Q2,0,0,1.610357444019919,1.3732675199893434,0.31856766468943226,-0.25959920589631563,1.5513889852268026
2002,Q3,0,0,1.1495281542397673,1.5330620674087467,-0.08532620047935681,-0.02386484856737564,1.2587192032864998
2002,Q4,0,0,1.2319785890050658,1.4810379296145124,0.34568532091543763,-0.25747365468010125,1.1437669227697296
2003,Q1,0,0,0.6530081103793826,1.1612180744110334,0.0406776650144408,-0.46194834236370463,1.0742787877286464
2003,Q2,0,0,1.172856926926174,1.051842945137597,1.6655945382019757,-1.4349008145789095,0.9421632033031077
2003,Q3,0,0,0.6394158287240199,0.9243148637586601,-0.7323423591140147,0.3998565275949437,0.9719016602430909
2003,Q4,0,0,0.8919973723150219,0.8393195595861491,0.5092651698143085,-0.546989131172936,0.9297213336736494
2004,Q1,0,0,0.2849058011778914,0.7472939822857763,-0.4041200882597879,0.23356949752944206,0.4554563919082372
2004,Q2,0,0,0.047877628939578976,0.4660491577891275,-0.2813714609987537,-0.03567393639946731,0.3649230263378
2004,Q3,0,0,-0.4323650618830332,0.19810393513736418,0.33987702533912767,-0.7314416061911453,-0.04080048103101558
2004,Q4,0,0,-0.5760912511364743,-0.16891822072550985,-0.3550314415416719,-0.23074443770009928,0.009684628105296831
2005,Q1,0,0,-0.3993193299631806,-0.33997450351077785,0.02168388493087975,-0.1581741428903265,-0.26282907200373384
2005,Q2,0,0,-0.8443407238471284,-0.5630290917074546,-0.27015798593823853,-0.27648188840855253,-0.29770084950033737
2005,Q3,0,0,-0.6229176399882647,-0.6106672362337625,-0.10717286284120138,-0.1249180002665537,-0.3908267768805096
2005,Q4,0,0,-0.7039079762856738,-0.6426214175210624,-0.2767950136222138,-0.13026459456945833,-0.29684836809400167
2006,Q1,0,0,0.17432435295394422,-0.4992104967917812,0.6877869103813896,-0.16836616524291875,-0.3450963921845267
2006,Q2,0,0,-0.7972098357802417,-0.4874277747750596,-0.49050320622181237,0.033203950401166374,-0.33991057995959567
2006,Q3,0,0,-0.614326149270093,-0.48527990209551664,-0.6627889888787315,0.13955143391670077,-0.0910885943080623
2006,Q4,0,0,0.035321411096136957,-0.300472555250064,0.04053261560523381,0.202729765204821,-0.20794096971391784
2007,Q1,0,0,-0.5439333591833162,-0.4800369832843791,-0.4482138378535143,0.19141736713666757,-0.2871368884664694
2007,Q2,0,0,0.1641226361525284,-0.2397038653011866,0.6845768143843559,-0.3565550164851028,-0.16389916174672473
2007,Q3,0,0,-0.07201699987050761,-0.10412657795129024,-0.08640542978502516,0.06632580721215653,-0.051937377297638976
2007,Q4,1,0,0.20577007080110207,-0.06151441302504896,0.13418168321279303,0.10801555212273342,-0.03642716453442437
2008,Q1,1,0,-0.09335037098084482,0.05113133402556888,0.31755474627424063,-0.5011733566315455,0.09026823937646004
2008,Q2,1,0,2.5355918736032517,0.6439986433882497,0.5310600703908137,-0.19746239652628275,2.2019941997387207
2008,Q3,1,0,1.1559462425012843,0.9509894539811978,-0.0027581385976350042,0.3093434144177715,0.8493609666811478
2008,Q4,1,0,1.1804941463151386,1.194670472859707,0.5136971469729917,-0.2960053567725832,0.9628023561147301
2009,Q1,1,0,3.1078009989696627,1.994958315347334,0.18307750147059482,0.4338389778553179,2.4908845196437497
2009,Q2,1,0,2.35846221758885,1.9506759013437334,1.6441814982408864,-0.7074856204578588,1.4217663398058222
2009,Q3,0,0,2.3510538918817843,2.2494528136888583,0.4214418425158024,-0.44606518048123,2.375677229847212
2009,Q4,0,0,2.2313082778446005,2.5121563465712238,0.6290059163210516,-0.7144042446540373,2.3167066061775863
