date,fim_bars,fim_bars_ma,state_local_cont,federal_cont,taxes_transfers_cont,recession,state_health_outlays,state_social_benefits,state_noncorp_taxes,state_corporate_taxes,federal_health_outlays,federal_social_benefits,federal_noncorp_taxes,federal_corporate_taxes,health_outlays,social_benefits,noncorp_taxes,corporate_taxes,federal_nom,federal_cgrants,federal_igrants,pi_federal,state_local_nom,pi_state_local,pi_state_local_c,pi_state_local_i,gdp,gdppot,gdppoth,pi_gdp,pce,pi_pce,federal_cgrants_cont,federal_igrants_cont,federal_cont_0,state_local_cont_0,purchases_cont,health_outlays_net,social_benefits_net,noncorp_taxes_net,corporate_taxes_net,state_health_outlays_net,state_social_benefits_net,state_noncorp_taxes_net,state_corporate_taxes_net,federal_health_outlays_net,federal_social_benefits_net,federal_noncorp_taxes_net,federal_corporate_taxes_net,health_outlays_net_xmpc,state_health_outlays_net_xmpc,federal_health_outlays_net_xmpc,social_benefits_net_xmpc,state_social_benefits_net_xmpc,federal_social_benefits_net_xmpc,noncorp_taxes_net_xmpc,state_noncorp_taxes_net_xmpc,federal_noncorp_taxes_net_xmpc,corporate_taxes_net_xmpc,state_corporate_taxes_net_xmpc,federal_corporate_taxes_net_xmpc,transfers_net_taxes,state_transfers_net_taxes,federal_transfers_net_taxes,state_taxes_transfers_cont,federal_taxes_transfers_cont,health_cont,social_benefits_cont,noncorp_cont,corporate_cont
3/31/1970,NA,NA,NA,NA,6,0,0,0,-1.42E-14,0,-1.78E-15,0,0,0,0,0,0,0,0,1.78E-15,0,1.56E-17,0,-3.47E-18,2.08E-17,0,0,2.49E-05,2.49E-05,-4.68E-17,0,-3.99E-17,NA,NA,NA,NA,NA,0,0,0,0,0,0,-1.42E-14,0,-1.78E-15,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,6,6,6,6,6,6
6/30/1970,-0.00234568,NA,-0.000897113,-0.001448566,0,0,0,0,0,0,0,0,0,0,0,-7.11E-15,0,0,0,-1.78E-15,0,1.56E-17,0,-3.47E-18,2.08E-17,0,0,2.49E-05,2.49E-05,-4.68E-17,0,-3.99E-17,-0.000131655,-5.28E-05,-0.00126415,-0.00108153,-0.00234568,-0.0002984,-0.0012682,-0.005950593,-0.000763407,-5.75E-05,-0.000241207,-0.002131073,-9.45E-05,-0.000240863,-0.001026993,-0.003819519,-0.0006714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
9/30/1970,-0.000401537,NA,-0.000156489,-0.000245048,0,0,0,1.78E-15,-1.42E-14,0,0,0,0,0,-1.78E-15,0,0,0,0,0,0,-4.16E-17,0,-1.04E-17,1.39E-17,4.86E-17,0,4.30E-06,4.30E-06,1.73E-18,0,-3.47E-18,-2.43E-05,-8.42E-06,-0.00021237,-0.000189167,-0.000401537,-5.37E-05,-0.000260566,-0.001042694,-0.000132433,-1.05E-05,-4.43E-05,-0.00037666,-1.59E-05,-4.32E-05,-0.000216278,-0.000666034,-0.000116094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
12/31/1970,0.003396784,NA,0.0013259,0.002010059,6.08E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26E-17,0,-2.78E-17,-3.82E-17,4.86E-17,0,-3.56E-05,-3.56E-05,-2.95E-17,0,-1.39E-17,0.000212153,6.31E-05,0.001734804,0.001601156,0.003335959,0.000458946,0.00215598,0.008542094,0.001127798,9.22E-05,0.00039135,0.003191278,0.000135193,0.000366749,0.001764631,0.005350816,0.000992605,2.40E-05,5.43E-06,1.86E-05,0.000141123,2.38E-05,0.000117306,NA,NA,NA,NA,NA,NA,0.000165153,2.92E-05,0.00013591,1.08E-05,5.01E-05,8.85E-06,5.20E-05,NA,NA
3/31/1971,0.001619342,0.000567227,0.000585211,0.000875139,0.000158992,0,0,1.78E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16E-17,0,3.82E-17,-2.43E-17,3.47E-18,0,-1.54E-05,-1.54E-05,2.08E-17,0,-3.47E-18,9.39E-05,2.77E-05,0.000753602,0.000706749,0.001460351,0.000205861,0.000983216,0.003722395,0.000463955,4.19E-05,0.000178208,0.001405692,5.53E-05,0.000163916,0.000803472,0.002319776,0.000408649,7.03E-05,1.49E-05,5.55E-05,0.000362347,6.39E-05,0.000298087,NA,NA,NA,NA,NA,NA,0.000432695,7.88E-05,0.000353572,2.89E-05,0.000129918,2.58E-05,0.000133142,NA,NA
6/30/1971,-0.015581424,-0.002741709,-0.00601826,-0.008828372,-0.000734792,0,0,1.78E-15,0,0,0,7.11E-15,0,0,0,1.42E-14,2.84E-14,0,0,0,0,-1.04E-17,0,-1.39E-17,4.16E-17,3.47E-18,0,0.000160881,0.000160881,-3.30E-17,0,1.91E-17,-0.000962094,-0.000309744,-0.007556533,-0.007290099,-0.014846632,-0.002252334,-0.010505531,-0.039705437,-0.005469955,-0.000429825,-0.00194666,-0.015138905,-0.000659612,-0.001822509,-0.008558871,-0.024550445,-0.004810343,-0.000369287,-6.89E-05,-0.000300385,-0.001716053,-0.000319813,-0.001396585,NA,NA,NA,NA,NA,NA,-0.002085339,-0.000388714,-0.001696971,-0.000136968,-0.000597946,-0.000130122,-0.00060467,NA,NA
9/30/1971,-0.027885324,-0.009612655,-0.010203906,-0.015124143,-0.002557275,0,4.44E-16,1.78E-15,0,0,-1.78E-15,7.11E-15,0,0,0,0,0,0,0,0,0,-4.86E-17,0,8.67E-18,8.67E-18,1.91E-17,0,0.000275045,0.000275045,-3.47E-17,0,-5.20E-18,-0.001745377,-0.000600566,-0.0127782,-0.012549848,-0.025328049,-0.004015661,-0.019885775,-0.069036369,-0.009599081,-0.000782246,-0.003438066,-0.026679393,-0.00115519,-0.003233415,-0.016475213,-0.042356975,-0.008443891,-0.001260717,-0.000242534,-0.001018183,-0.006131725,-0.001083413,-0.005054846,NA,NA,NA,NA,NA,NA,-0.007392442,-0.001325947,-0.006073029,-0.000458686,-0.002100849,-0.000436121,-0.002121154,NA,NA
12/31/1971,-0.029787416,-0.017908705,-0.013005424,-0.018901844,0.002119851,0,4.44E-16,0,0,0,0,-7.11E-15,0,0,1.78E-15,0,0,0,0,0,0,-1.39E-17,0,-3.47E-18,-5.20E-18,1.04E-17,0,0.000348195,0.000348195,0,0,8.67E-19,-0.002184706,-0.00068072,-0.016036417,-0.01587085,-0.031907267,-0.005222923,-0.02503521,-0.088998604,-0.011873444,-0.001035301,-0.004422075,-0.034819485,-0.001532057,-0.004187622,-0.020578316,-0.054213938,-0.010376207,-0.002539138,-0.000496221,-0.002042917,-0.012249742,-0.002166433,-0.010082009,0.021030251,0.008162845,0.012870434,NA,NA,NA,0.006241371,0.005500191,0.000745509,0.001868113,0.000253208,-0.000862406,-0.004160565,0.007142821,NA
3/31/1972,-0.027762188,-0.025254088,-0.012216914,-0.017408018,0.001862744,0,4.44E-16,-1.78E-15,0,0,0,0,0,0,0,1.42E-14,0,0,0,0,0,-6.94E-18,0,-1.73E-17,-3.12E-17,-2.26E-17,0,0.000323985,0.000323985,6.94E-18,0,2.95E-17,-0.002128042,-0.000614491,-0.014665484,-0.014959447,-0.029624932,-0.00505417,-0.023618526,-0.084689748,-0.01120989,-0.001019162,-0.004211808,-0.033435279,-0.001457934,-0.004035008,-0.019406717,-0.051254469,-0.009751956,-0.003722645,-0.00073497,-0.002987675,-0.017785134,-0.003154187,-0.014629301,0.027050838,0.010574315,0.016479552,NA,NA,NA,0.005543059,0.006685158,-0.001137424,0.002246546,-0.000382231,-0.001250994,-0.00597669,0.009090427,NA
6/30/1972,-0.036963077,-0.030599501,-0.016190278,-0.023539985,0.002767186,0,4.44E-16,1.78E-15,0,0,-1.78E-15,0,0,0,0,0,0,0,0,3.55E-15,0,4.51E-17,0,-1.73E-18,-8.67E-18,3.47E-18,0,0.000433133,0.000433133,-8.67E-19,0,8.67E-19,-0.002834633,-0.000797984,-0.019907368,-0.019822895,-0.039730263,-0.007060069,-0.032528294,-0.122533347,-0.015939297,-0.00153074,-0.005803983,-0.046431866,-0.002165665,-0.005529329,-0.026724311,-0.076144795,-0.013773632,-0.004804385,-0.000982676,-0.003821709,-0.022740256,-0.004022085,-0.018716525,0.036057888,0.013929106,0.02213492,NA,NA,NA,0.008513247,0.008924345,-0.000403315,0.002900811,-0.000131095,-0.00156164,-0.0073916,0.011720425,NA
