date,recession,fim_total,fim_total_ma,state_local_cont,federal_cont,taxes_transfers_cont,total_purchases_cont,state_taxes_transfers_cont,federal_taxes_transfers_cont,health_cont,social_benefits_cont,noncorp_cont,corporate_cont
3/31/1970,1,NA,NA,NA,NA,44,NA,44,44,44,44,44,44
6/30/1970,1,-1.819645766,NA,-0.37163771,-1.448008056,0,-1.819645766,0,0,NA,NA,NA,NA
9/30/1970,1,-0.32929591,NA,0.382371016,-0.711666926,0,-0.32929591,0,0,NA,NA,NA,NA
12/31/1970,1,5.454124066,NA,-0.089459335,-0.539587682,6.083171084,-0.629047018,1.126877791,4.948006764,1.051350464,5.03182062,NA,NA
3/31/1971,0,-1.276032342,0.507287512,-0.079886951,-2.105615189,0.909469797,-2.185502139,0.147493538,0.762116168,0.087693371,0.821776426,NA,NA
6/30/1971,0,-0.213056997,0.908934704,-0.321007455,-0.543733351,0.651683809,-0.864740806,0.124520339,0.535225754,0.08942755,0.562256259,NA,NA
9/30/1971,0,-0.137428701,0.956901507,-0.083199703,-0.647437757,0.59320876,-0.73063746,0.079649044,0.505775838,0.08549715,0.50771161,NA,NA
12/31/1971,0,-5.706653572,-1.833292903,0.009601648,-1.38113965,-4.33511557,-1.371538002,-1.875081946,-2.452204632,0.096445808,0.336443193,-4.76800457,NA
3/31/1972,0,-0.386798314,-1.610984396,-0.234893159,-0.071439022,-0.080466133,-0.306332181,-0.163778666,0.081353278,0.098900574,0.3836071,-0.562973808,NA
6/30/1972,0,-0.958945391,-1.797456495,-2.954872316,2.661604085,-0.66567716,-0.293268231,-0.219464451,-0.460759789,0.084715597,-0.115534348,-0.63485841,NA
9/30/1972,0,-2.640848184,-2.423311365,2.606969906,-4.901049663,-0.346768426,-2.294079758,-0.157504782,-0.183264792,0.109139657,-0.068958524,-0.386949559,NA
12/31/1972,0,-0.17291634,-1.039877057,-3.846048476,3.869201184,-0.196069049,0.023152708,-0.237366161,0.04628925,0.07409894,0.544754728,-0.4417175,-0.373205217
3/31/1973,0,-0.218908103,-0.997904505,1.654416605,-1.536202657,-0.337122051,0.118213948,-0.19867057,-0.140908357,0.073868514,0.455276104,-0.791221168,-0.075045501
6/30/1973,0,-1.540101815,-1.143193611,0.287723352,-1.637848717,-0.189976449,-1.350125365,-0.106626313,-0.078564599,0.097586181,0.412120832,-0.633665742,-0.066017721
9/30/1973,0,-1.863363605,-0.948822466,0.495977324,-2.334376485,-0.024964444,-1.83839916,-0.11182982,0.100472046,0.066297,0.380617372,-0.441249865,-0.030628951
12/31/1973,1,-0.688044785,-1.077604577,0.177399072,-0.276559351,-0.588884505,-0.09916028,-0.034944268,-0.556515159,0.089414596,-0.203630684,-0.415823665,-0.058844752
3/31/1974,1,0.837957661,-0.813388136,0.675575279,0.247229402,-0.08484702,0.92280468,-0.051151556,-0.032131249,0.058430587,-0.13296535,-0.016005318,0.005693061
6/30/1974,1,0.016790378,-0.424165088,0.411534455,-0.657680554,0.262936476,-0.246146098,-0.003613703,0.271296675,0.068977117,0.109269637,0.08166149,0.003028232
9/30/1974,1,-0.192363799,-0.006415136,-0.504322023,-0.114935577,0.426893801,-0.6192576,-0.001797473,0.430876224,0.07109642,0.308321157,0.084776279,-0.037300055
