year,quarter,impact,recession,total,federal,state_local,consumption,projection
1999,Q4,-0.455375418,0,-0.046865976,0.231445128,0.140480813,-0.418791917,0
2000,Q1,-0.753640384,0,-1.886268442,-1.28923994,0.028993667,-0.626022168,0
2000,Q2,-0.615966953,0,-0.321900706,0.471781089,-0.513133382,-0.280548413,0
2000,Q3,-0.844259826,0,-1.122004178,-0.796027329,-0.23181382,-0.094163029,0
2000,Q4,-0.894790176,0,-0.248987376,0.049877215,-0.313468673,0.014604082,0
2001,Q1,-0.263374646,1,0.639393677,0.362012059,0.074669515,0.202712103,0
2001,Q2,0.060714573,1,0.974456171,0.220271367,0.417302281,0.336882524,0
2001,Q3,0.526503741,1,0.741152491,-0.182886637,-0.502633136,1.426672263,0
2001,Q4,1.064165348,1,1.901659053,0.106328621,0.529990139,1.265340293,0
2002,Q1,1.476976543,0,2.290638455,1.036894142,-0.296058387,1.5498027,0
2002,Q2,1.717777217,0,1.93765887,0.300650499,-0.249847076,1.886855447,0
2002,Q3,1.896258258,0,1.455076656,-0.081298841,-0.031591245,1.567966741,0
2002,Q4,1.748445191,0,1.310406784,0.334052046,-0.245099414,1.221454152,0
2003,Q1,1.37214918,0,0.785454412,0.050884326,-0.478075107,1.212645193,0
2003,Q2,1.216121411,0,1.313547792,1.615833179,-1.378272597,1.07598721,0
2003,Q3,0.99201681,0,0.558658254,-0.702945875,0.379447383,0.882156746,0
2003,Q4,0.840740594,0,0.705301918,0.540745624,-0.56429946,0.728855755,0
2004,Q1,0.687856554,0,0.173918254,-0.397355207,0.241820828,0.329452632,0
2004,Q2,0.345801181,0,-0.054673702,-0.269435082,-0.04179206,0.256553441,0
2004,Q3,0.093851731,0,-0.449139547,0.326130763,-0.702967988,-0.072302323,0
2004,Q4,-0.25740973,0,-0.699743925,-0.377021693,-0.184265278,-0.138456954,0
2005,Q1,-0.461165645,0,-0.641105406,0.015519109,-0.135737895,-0.52088662,0
2005,Q2,-0.709675823,0,-1.048714416,-0.233044954,-0.299138985,-0.516530477,0
2005,Q3,-0.788103209,0,-0.76284909,-0.124987661,-0.090806231,-0.547055197,0
2005,Q4,-0.832773608,0,-0.87842552,-0.223074881,-0.166381417,-0.488969222,0
2006,Q1,-0.685270774,0,-0.051094071,0.667861762,-0.113951703,-0.60500413,0
2006,Q2,-0.685299007,0,-1.048827347,-0.364663836,-0.050018311,-0.6341452,0
2006,Q3,-0.687441855,0,-0.771420481,-0.592021688,0.101548025,-0.280946819,0
2006,Q4,-0.477803176,0,-0.039870804,0.032885092,0.227465535,-0.300221431,0
2007,Q1,-0.612875254,0,-0.591382382,-0.374032555,0.120400909,-0.337750736,0
2007,Q2,-0.338781245,0,0.047548688,0.643032703,-0.312855669,-0.282628347,0
2007,Q3,-0.162304229,0,-0.065512418,-0.062627333,0.049156297,-0.052041381,0
2007,Q4,-0.079716163,1,0.290481459,0.145939978,0.102341317,0.042200164,0
2008,Q1,0.054099661,1,-0.056119086,0.344829113,-0.528316319,0.127368119,0
2008,Q2,0.692539374,1,2.601307543,0.434937045,-0.115783473,2.282153971,0
2008,Q3,1.049879611,1,1.36384853,0.122924593,0.160623512,1.080300425,0
2008,Q4,1.362899631,1,1.542561539,0.469354257,-0.281004981,1.354212263,0
2009,Q1,2.243829568,1,3.467600659,0.152846541,0.434529024,2.880225093,0
2009,Q2,2.301835984,1,2.833333208,1.632457935,-0.701841726,1.902716999,0
2009,Q3,2.650198389,0,2.757298151,0.420211026,-0.447248013,2.784335138,0
2009,Q4,2.865321113,0,2.403052432,0.624125766,-0.702359794,2.48128646,0
2010,Q1,2.397556009,0,1.596540247,0.479190143,-1.026092772,2.143442876,0
2010,Q2,2.003720863,0,1.257992622,0.253206982,-0.172942792,1.177728431,0
2010,Q3,1.394615173,0,0.320875392,0.243676662,-1.039376233,1.116574962,0
2010,Q4,0.864757464,0,0.283621597,-0.6415106,-0.106020766,1.031152963,0
2011,Q1,0.094989352,0,-1.482532203,-0.744300131,-0.530031452,-0.208200621,0
2011,Q2,-0.545906485,0,-1.305590727,-0.17062427,-0.653495387,-0.48147107,0
2011,Q3,-1.158639552,0,-2.130056874,-1.380823425,-0.059461228,-0.689772221,0
2011,Q4,-1.501340935,0,-1.087183935,-0.183635176,-0.15142628,-0.752122479,0
2012,Q1,-1.495096772,0,-1.457555552,-0.419705278,-0.213611109,-0.824239165,0
2012,Q2,-1.484584874,0,-1.263543134,-0.6198321,-0.085457261,-0.558253773,0
2012,Q3,-1.157839564,0,-0.823075635,-0.103556704,-0.320979994,-0.398538937,0
2012,Q4,-1.281306003,0,-1.581049692,-0.823402306,-0.249151904,-0.508495482,0
2013,Q1,-1.370927555,0,-1.81604176,-1.131716264,0.126655926,-0.810981422,0
2013,Q2,-1.381079621,0,-1.304151396,-0.320229347,-0.128894074,-0.855027975,0
2013,Q3,-1.464145354,0,-1.155338568,-0.604682599,-0.118935624,-0.431720345,0
2013,Q4,-1.417444002,0,-1.394244284,-0.916374964,0.007983041,-0.485852362,0
2014,Q1,-1.281583362,0,-1.2725992,-0.248116848,-0.37477086,-0.649711492,0
2014,Q2,-1.134283959,0,-0.714953784,-0.101824825,-0.122331756,-0.490797203,0
2014,Q3,-0.897067804,0,-0.206473946,0.059680435,0.113999438,-0.38015382,0
2014,Q4,-0.694617403,0,-0.584442682,-0.817873443,0.469974743,-0.236543982,0
2015,Q1,-0.358829288,0,0.070553261,-0.034462085,0.086038334,0.018977011,0
2015,Q2,-0.083604579,0,0.385945052,-0.015972255,0.408926565,-0.007009258,0
2015,Q3,-0.017033268,0,0.059811297,-0.087012546,0.135750856,0.011072987,0
2015,Q4,0.086035207,0,-0.172168783,-0.027506304,-0.094641827,-0.050020652,0
