date,MonthlyChange,MovingAverage,RecessionDummy
12/01/2008,,,1
01/01/2009,12000,5333,1
02/01/2009,-12000,-333,1
03/01/2009,-18000,-6000,1
04/01/2009,-8000,-12667,1
05/01/2009,2000,-8000,1
06/01/2009,5000,-333,1
07/01/2009,-67000,-20000,0
08/01/2009,17000,-15000,0
09/01/2009,-87000,-45667,0
10/01/2009,56000,-4667,0
11/01/2009,10000,-7000,0
12/01/2009,-40000,8667,0
01/01/2010,-20000,-16667,0
02/01/2010,-27000,-29000,0
03/01/2010,-9000,-18667,0
04/01/2010,-10000,-15333,0
05/01/2010,-5000,-8000,0
06/01/2010,-33000,-16000,0
07/01/2010,-29000,-22333,0
08/01/2010,-43000,-35000,0
09/01/2010,-97000,-56333,0
10/01/2010,53000,-29000,0
11/01/2010,-10000,-18000,0
12/01/2010,-25000,6000,0
01/01/2011,-6000,-13667,0
02/01/2011,-53000,-28000,0
03/01/2011,-19000,-26000,0
04/01/2011,-2000,-24667,0
05/01/2011,-61000,-27333,0
06/01/2011,13000,-16667,0
07/01/2011,-75000,-41000,0
08/01/2011,-1000,-21000,0
09/01/2011,-57000,-44333,0
10/01/2011,13000,-15000,0
11/01/2011,-20000,-21333,0
12/01/2011,-15000,-7333,0
01/01/2012,4000,-10333,0
02/01/2012,3000,-2667,0
03/01/2012,-2000,1667,0
04/01/2012,-22000,-7000,0
05/01/2012,-10000,-11333,0
06/01/2012,-19000,-17000,0
07/01/2012,33000,1333,0
08/01/2012,24000,12667,0
09/01/2012,-21000,12000,0
10/01/2012,-30000,-9000,0
11/01/2012,-9000,-20000,0
12/01/2012,20000,-6333,0
01/01/2013,-14000,-1000,0
02/01/2013,13000,6333,0
03/01/2013,-5000,-2000,0
04/01/2013,-9000,-333,0
05/01/2013,12000,-667,0
06/01/2013,-38000,-11667,0
07/01/2013,11000,-5000,0
08/01/2013,51000,8000,0
09/01/2013,-16000,15333,0
10/01/2013,-1000,11333,0
11/01/2013,11000,-2000,0
12/01/2013,-14000,-1333,0
01/01/2014,-5000,-2667,0
02/01/2014,14000,-1667,0
03/01/2014,5000,4667,0
04/01/2014,18000,12333,0
05/01/2014,-2000,7000,0
06/01/2014,14000,10000,0
07/01/2014,8000,6667,0
08/01/2014,1000,7667,0
09/01/2014,17000,8667,0
10/01/2014,8000,8667,0
11/01/2014,0,8333,0
12/01/2014,7000,5000,0
01/01/2015,4000,3667,0
02/01/2015,7000,6000,0
