date,MonthlyChange,MovingAverage,RecessionDummy
12/01/2008,,,1
01/01/2009,12000,5333,1
02/01/2009,-12000,-333,1
03/01/2009,-18000,-6000,1
04/01/2009,-8000,-12667,1
05/01/2009,2000,-8000,1
06/01/2009,5000,-333,1
07/01/2009,-67000,-20000,0
08/01/2009,17000,-15000,0
09/01/2009,-87000,-45667,0
10/01/2009,56000,-4667,0
11/01/2009,10000,-7000,0
12/01/2009,-40000,8667,0
01/01/2010,-31000,-20333,0
02/01/2010,-23000,-31333,0
03/01/2010,-8000,-20667,0
04/01/2010,-5000,-12000,0
05/01/2010,-7000,-6667,0
06/01/2010,-10000,-7333,0
07/01/2010,-42000,-19667,0
08/01/2010,-50000,-34000,0
09/01/2010,-88000,-60000,0
10/01/2010,45000,-31000,0
11/01/2010,-12000,-18333,0
12/01/2010,-27000,2000,0
01/01/2011,-6000,-15000,0
02/01/2011,-56000,-29667,0
03/01/2011,-20000,-27333,0
04/01/2011,6000,-23333,0
05/01/2011,-64000,-26000,0
06/01/2011,44000,-4667,0
07/01/2011,-114000,-44667,0
08/01/2011,5000,-21667,0
09/01/2011,-41000,-50000,0
10/01/2011,3000,-11000,0
11/01/2011,-21000,-19667,0
12/01/2011,-22000,-13333,0
01/01/2012,2000,-13667,0
02/01/2012,4000,-5333,0
03/01/2012,-2000,1333,0
04/01/2012,-6000,-1333,0
05/01/2012,-20000,-9333,0
06/01/2012,14000,-4000,0
07/01/2012,-2000,-2667,0
08/01/2012,9000,7000,0
09/01/2012,2000,3000,0
10/01/2012,-32000,-7000,0
11/01/2012,-3000,-11000,0
12/01/2012,1000,-11333,0
01/01/2013,-17000,-6333,0
02/01/2013,16000,0,0
03/01/2013,-2000,-1000,0
04/01/2013,13000,9000,0
05/01/2013,0,3667,0
06/01/2013,1000,4667,0
07/01/2013,-10000,-3000,0
08/01/2013,29000,6667,0
09/01/2013,16000,11667,0
10/01/2013,2000,15667,0
11/01/2013,-5000,4333,0
12/01/2013,1000,-667,0
01/01/2014,-7000,-3667,0
02/01/2014,24000,6000,0
03/01/2014,8000,8333,0
04/01/2014,26000,19333,0
05/01/2014,2000,12000,0
06/01/2014,4000,10667,0
07/01/2014,6000,4000,0
08/01/2014,0,3333,0
09/01/2014,22000,9333,0
10/01/2014,9000,10333,0
11/01/2014,2000,11000,0
