date,debt_actual,debt_proj,RecessionDummy
01/01/1977,27.1,,0
01/01/1978,26.6,,0
01/01/1979,24.9,,0
01/01/1980,25.5,,1
01/01/1981,25.2,,1
01/01/1982,27.9,,1
01/01/1983,32.1,,0
01/01/1984,33.1,,0
01/01/1985,35.3,,0
01/01/1986,38.4,,0
01/01/1987,39.5,,0
01/01/1988,39.8,,0
01/01/1989,39.3,,0
01/01/1990,40.8,,1
01/01/1991,44,,1
01/01/1992,46.6,,0
01/01/1993,47.8,,0
01/01/1994,47.7,,0
01/01/1995,47.5,,0
01/01/1996,46.8,,0
01/01/1997,44.5,,0
01/01/1998,41.6,,0
01/01/1999,38.2,,0
01/01/2000,33.6,,0
01/01/2001,31.4,,1
01/01/2002,32.6,,0
01/01/2003,34.5,,0
01/01/2004,35.5,,0
01/01/2005,35.6,,0
01/01/2006,35.3,,0
01/01/2007,35.2,,0
01/01/2008,39.3,,1
01/01/2009,52.3,,1
01/01/2010,60.9,,0
01/01/2011,65.9,,0
01/01/2012,70.4,,0
01/01/2013,72.6,,0
01/01/2014,74.4,,0
01/01/2015,73.6,,0
01/01/2016,,77,0
01/01/2017,,77.5,0
01/01/2018,,77.4,0
01/01/2019,,77.9,0
01/01/2020,,78.8,0
01/01/2021,,79.9,0
01/01/2022,,81.3,0
01/01/2023,,82.6,0
01/01/2024,,83.8,0
01/01/2025,,85.3,0
01/01/2026,,87,0
