date,fedmonthlych,fedmovingavg
29-Feb-04,0.3,
31-Mar-04,2.9,
30-Apr-04,23.3,8.83
31-May-04,-18,2.73
30-Jun-04,1,2.1
31-Jul-04,0.9,-5.37
31-Aug-04,0.8,0.9
30-Sep-04,1.4,1.03
31-Oct-04,-3.2,-0.33
30-Nov-04,4.1,0.77
31-Dec-04,0.1,0.33
31-Jan-05,-1.3,0.97
28-Feb-05,2.8,0.53
31-Mar-05,4.8,2.1
30-Apr-05,-2.5,1.7
31-May-05,1.9,1.4
30-Jun-05,-1,-0.53
31-Jul-05,-2.3,-0.47
31-Aug-05,1.6,-0.57
30-Sep-05,1.2,0.17
31-Oct-05,3.8,2.2
30-Nov-05,3.2,2.73
31-Dec-05,-5.9,0.37
31-Jan-06,-4.1,-2.27
28-Feb-06,5.1,-1.63
31-Mar-06,1.5,0.83
30-Apr-06,1.7,2.77
31-May-06,1.2,1.47
30-Jun-06,1,1.3
31-Jul-06,1.6,1.27
31-Aug-06,-2.1,0.17
30-Sep-06,-0.5,-0.33
31-Oct-06,-0.2,-0.93
30-Nov-06,-1.3,-0.67
31-Dec-06,0.4,-0.37
31-Jan-07,1.8,0.3
28-Feb-07,0.4,0.87
31-Mar-07,0.7,0.97
30-Apr-07,0.2,0.43
31-May-07,-2.4,-0.5
30-Jun-07,-2.9,-1.7
31-Jul-07,4.5,-0.27
31-Aug-07,2.3,1.3
30-Sep-07,-0.8,2
31-Oct-07,-0.3,0.4
30-Nov-07,4.1,1
31-Dec-07,4.6,2.8
31-Jan-08,6.6,5.1
29-Feb-08,5.9,5.7
31-Mar-08,4.5,5.67
30-Apr-08,5.7,5.37
31-May-08,5.7,5.3
30-Jun-08,4.9,5.43
31-Jul-08,9,6.53
31-Aug-08,6.6,6.83
30-Sep-08,5.1,6.9
31-Oct-08,6.6,6.1
30-Nov-08,8.7,6.8
31-Dec-08,2.9,6.07
31-Jan-09,7.9,6.5
28-Feb-09,7.7,6.17
31-Mar-09,0.8,5.47
30-Apr-09,11.8,6.77
31-May-09,7.8,6.8
30-Jun-09,17.4,12.33
31-Jul-09,15.8,13.67
31-Aug-09,8.9,14.03
30-Sep-09,3.9,9.53
31-Oct-09,11,7.93
30-Nov-09,6.4,7.1
31-Dec-09,9.2,8.87
31-Jan-10,5.4,7
28-Feb-10,3.7,6.1
31-Mar-10,6.1,5.07
30-Apr-10,0.4,3.4
31-May-10,21.3,9.27
30-Jun-10,3.1,8.27
31-Jul-10,6,10.13
31-Aug-10,5.7,4.93
30-Sep-10,1.1,4.27
31-Oct-10,4.6,3.8
30-Nov-10,2.6,2.77
31-Dec-10,6.1,4.43
31-Jan-11,5.9,4.87
28-Feb-11,2.6,4.87
31-Mar-11,3.5,4
30-Apr-11,1.6,2.57
31-May-11,1.5,2.2
30-Jun-11,-8.8,-1.9
31-Jul-11,-2.3,-3.2
31-Aug-11,-1.1,-4.07
30-Sep-11,-0.1,-1.17
31-Oct-11,-0.7,-0.63
30-Nov-11,-3,-1.27
31-Dec-11,-1.5,-1.73
31-Jan-12,-5.8,-3.43
29-Feb-12,-3.7,-3.67
31-Mar-12,1.4,-2.7
30-Apr-12,-0.7,-1
31-May-12,0.9,0.53
30-Jun-12,-0.2,
31-Jul-12,-8.4,-2.57
31-Aug-12,7.2,-0.47
30-Sep-12,6.3,1.7
31-Oct-12,-3.9,3.2
30-Nov-12,-0.6,0.6
31-Dec-12,-1.5,-2
31-Jan-13,-3.9,-2
28-Feb-13,-2.4,-2.6
31-Mar-13,-4.1,-3.47
30-Apr-13,-9.3,-5.27
31-May-13,-10.7,-8.03
30-Jun-13,-6.8,-8.93
31-Jul-13,-7.2,-8.23
31-Aug-13,-7.9,-7.3
30-Sep-13,-4.9,-6.67
31-Oct-13,-9.3,-7.37
30-Nov-13,4.2,-3.33
31-Dec-13,-6.3,-3.8
31-Jan-14,-5.6,-2.57
28-Feb-14,-6.3,-6.07
31-Mar-14,-4,-5.3
30-Apr-14,-2.8,-4.37
31-May-14,0.2,-2.2
30-Jun-14,,-0.87
31-Jul-14,1.6,0.6
